Pathway	ERR1995231_bin.1	ERR1995231_bin.10	ERR1995231_bin.11	ERR1995231_bin.12	ERR1995231_bin.13	ERR1995231_bin.14	ERR1995231_bin.15	ERR1995231_bin.16	ERR1995231_bin.17	ERR1995231_bin.18	ERR1995231_bin.19	ERR1995231_bin.2	ERR1995231_bin.20	ERR1995231_bin.21	ERR1995231_bin.22	ERR1995231_bin.23	ERR1995231_bin.24	ERR1995231_bin.25	ERR1995231_bin.26	ERR1995231_bin.27	ERR1995231_bin.28	ERR1995231_bin.29	ERR1995231_bin.3	ERR1995231_bin.30	ERR1995231_bin.31	ERR1995231_bin.32	ERR1995231_bin.33	ERR1995231_bin.4	ERR1995231_bin.5	ERR1995231_bin.6	ERR1995231_bin.7	ERR1995231_bin.8	ERR1995231_bin.9
Fumarate reductase, prokaryotes	2	2	1	2	1	2	2	2	1	2	2	1	2	1	4	2	1	2	1	1	2	2	2	3	1	2	1	2	1	2	1	2	1
Cytochrome bc1 complex respiratory unit	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cytochrome bc1 complex	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cytochrome bd ubiquinol oxidase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cytochrome c oxidase	0	0	0	0	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
Cytochrome c oxidase, prokaryotes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Cytochrome c oxidase, cbb3-type	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F-type ATPase, prokaryotes and chloroplasts	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F-type ATPase, eukaryotes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
V/A-type ATPase, prokaryotes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
V-type ATPase, eukaryotes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Photosystem II	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cytochrome b6f complex	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Photosystem I	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Reductive pentose phosphate cycle (Calvin cycle)	7	7	7	5	7	8	8	8	7	7	8	7	7	7	12	5	7	7	7	6	7	7	7	8	7	7	7	7	6	7	6	7	7
Reductive pentose phosphate cycle, ribulose-5P => glyceraldehyde-3P	4	4	4	2	4	4	4	4	4	4	5	4	4	4	4	2	4	4	4	3	4	4	4	3	4	4	4	4	3	3	2	4	4
Reductive pentose phosphate cycle, glyceraldehyde-3P => ribulose-5P	3	3	3	3	3	4	4	4	3	3	3	3	3	3	8	3	3	3	3	3	3	3	3	5	3	3	3	3	3	4	4	3	3
CAM (Crassulacean acid metabolism), dark	1	0	1	1	0	1	1	1	1	1	1	1	1	1	2	1	1	1	0	0	1	1	1	1	1	1	1	1	1	2	1	1	0
CAM (Crassulacean acid metabolism), light	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2
C4-dicarboxylic acid cycle, phosphoenolpyruvate carboxykinase type	1	1	1	0	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	0	1	1	1	1	1	1	1	2	1	1	1
C4-dicarboxylic acid cycle, NAD - malic enzyme type	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2
C4-dicarboxylic acid cycle, NADP - malic enzyme type	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
Reductive citrate cycle (Arnon-Buchanan cycle)	29	31	27	32	30	38	38	31	28	33	33	31	32	29	42	23	27	32	31	31	32	33	34	39	24	29	29	29	31	31	27	33	25
Methane oxidation, methanotroph, methane => formaldehyde	2	1	1	1	0	2	2	2	1	0	1	1	0	1	3	1	1	0	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1
Nitrogen fixation, nitrogen => ammonia	1	5	2	2	1	2	2	2	2	2	1	2	2	2	1	2	2	2	2	2	1	2	5	1	2	5	1	2	2	2	1	2	1
Assimilatory sulfate reduction, sulfate => H2S	6	8	5	5	5	9	9	8	4	9	5	5	6	6	10	4	4	6	6	6	6	6	6	5	6	10	6	6	8	4	2	5	2
Pyruvate oxidation, pyruvate => acetyl-CoA	11	11	11	11	11	11	11	11	11	11	11	11	11	10	11	9	11	11	11	11	11	11	11	11	8	11	10	10	11	11	9	11	8
Semi-phosphorylative Entner-Doudoroff pathway, gluconate => glycerate-3P	6	6	7	5	7	5	5	4	7	7	7	7	7	7	7	5	6	6	6	7	7	7	7	5	7	7	5	4	6	6	4	7	7
Non-phosphorylative Entner-Doudoroff pathway, gluconate/galactonate => glycerate	3	4	8	3	7	3	3	2	7	4	5	4	7	4	8	7	3	6	4	4	7	7	7	3	7	7	3	2	4	6	7	7	4
Cysteine biosynthesis, homocysteine + serine => cysteine	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
Formaldehyde assimilation, xylulose monophosphate pathway	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	1	1	1	1	1	1	2	1	2	1	1	1	0	1	1	1	1	1
Formaldehyde assimilation, ribulose monophosphate pathway	5	5	7	6	7	6	6	6	7	6	7	7	6	6	7	6	6	5	6	6	7	6	6	5	6	7	6	5	6	7	7	6	5
Formaldehyde assimilation, serine pathway	5	4	5	5	5	7	7	5	6	5	5	5	6	5	9	6	4	5	4	4	6	6	5	8	5	5	6	5	5	6	5	5	4
Methanogenesis, methanol => methane	10	5	8	7	6	11	11	10	7	7	7	6	7	7	14	5	7	7	7	7	6	11	9	12	6	6	7	11	5	8	6	9	6
Methanogenesis, acetate => methane	12	9	11	11	8	12	12	12	11	9	11	9	12	9	15	8	11	12	9	10	8	16	16	14	8	10	8	12	9	9	9	14	8
Coenzyme M biosynthesis	2	2	2	1	2	2	2	2	2	1	2	2	2	1	3	2	3	2	2	2	2	1	3	1	2	2	1	1	2	0	2	2	2
EHEC pathogenicity signature, Shiga toxin	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C10-C20 isoprenoid biosynthesis, bacteria	3	4	3	4	3	4	4	4	4	4	3	4	4	4	4	4	4	4	4	4	3	3	4	4	4	4	4	4	3	4	4	4	3
C10-C20 isoprenoid biosynthesis, archaea	1	2	1	2	1	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	1	1	2	2	2	2	2	2	1	2	2	2	1
C10-C20 isoprenoid biosynthesis, plants	1	2	1	2	1	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	1	1	2	2	2	2	2	2	1	2	2	2	1
C10-C20 isoprenoid biosynthesis, non-plant eukaryotes	0	1	0	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	0	1	1	1	0
Ethylene biosynthesis, methionine => ethylene	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
Cyanogenic glycoside biosynthesis, tyrosine => dhurrin	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glucosinolate biosynthesis, tryptophan => glucobrassicin	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Castasterone biosynthesis, campesterol => castasterone	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Abscisic acid biosynthesis, beta-carotene => abscisic acid	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ethylmalonyl pathway	8	5	8	7	7	11	10	8	9	7	8	7	8	6	13	11	4	4	6	6	7	8	6	5	7	8	7	8	6	6	6	6	7
Dicarboxylate-hydroxybutyrate cycle	16	16	14	18	16	19	19	16	15	18	17	16	17	14	21	15	12	15	16	16	15	15	16	17	14	15	16	15	15	15	14	15	13
Hydroxypropionate-hydroxybutylate cycle	10	12	12	16	15	15	15	11	11	15	12	12	14	10	17	14	11	9	13	12	10	12	10	11	13	15	11	12	11	11	11	9	13
3-Hydroxypropionate bi-cycle	11	11	15	12	11	15	15	15	11	11	11	14	14	10	20	13	10	10	12	10	12	11	10	9	11	12	12	14	10	11	11	10	11
Reductive acetyl-CoA pathway (Wood-Ljungdahl pathway)	6	9	8	7	8	8	8	6	10	7	8	8	11	9	6	9	8	11	7	8	9	10	11	8	7	9	9	6	7	7	8	11	7
F420 biosynthesis, archaea	1	3	3	0	1	2	2	2	3	3	2	1	2	1	4	1	1	2	2	2	2	3	3	3	1	2	1	3	2	1	2	2	1
Fatty acid elongation in endoplasmic reticulum	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Cytochrome aa3-600 menaquinol oxidase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cytochrome o ubiquinol oxidase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Toluene degradation, anaerobic, toluene => benzoyl-CoA	3	3	8	5	5	4	6	5	3	5	3	7	4	2	8	4	2	3	3	2	5	3	3	4	5	5	3	4	2	3	5	2	5
Cymene degradation, p-cymene => p-cumate	3	2	2	1	2	2	2	2	2	1	2	1	2	2	3	1	1	2	1	2	1	3	3	2	2	1	2	1	2	2	2	2	2
Acetyl-CoA pathway, CO2 => acetyl-CoA	1	3	2	2	1	1	1	1	3	1	3	2	4	2	1	2	3	4	1	2	2	4	4	2	2	3	2	1	1	1	2	4	1
Leucine biosynthesis, 2-oxoisovalerate => 2-oxoisocaproate	4	4	4	2	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	3	4	2	4	4	4
Lysine biosynthesis, 2-oxoglutarate => 2-oxoadipate	5	5	5	4	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	4	5	3	5	5	5
Lysine biosynthesis, acetyl-DAP pathway, aspartate => lysine	9	8	9	8	9	9	9	9	9	8	7	9	9	9	9	9	8	8	7	9	9	9	9	9	9	8	9	9	8	8	8	9	9
Lysine biosynthesis, DAP dehydrogenase pathway, aspartate => lysine	8	8	9	9	9	9	9	8	9	8	8	8	8	9	9	9	9	9	9	8	8	9	9	8	9	9	9	8	9	9	8	8	9
Lysine biosynthesis, DAP aminotransferase pathway, aspartate => lysine	10	10	10	10	10	10	10	10	10	10	9	10	10	10	10	10	10	10	9	10	10	10	10	10	10	10	10	10	10	9	10	10	10
Nitrification, ammonia => nitrite	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Denitrification, nitrate => nitrogen	0	0	0	1	0	2	1	0	0	0	1	0	0	0	7	0	1	0	1	0	1	2	1	8	0	0	0	0	0	3	0	0	0
Dissimilatory nitrate reduction, nitrate => ammonia	1	1	1	2	1	5	4	1	1	1	2	1	1	1	9	1	2	1	2	1	2	3	2	8	1	1	1	1	1	4	1	1	1
Assimilatory nitrate reduction, nitrate => ammonia	1	2	2	1	1	1	1	1	2	2	2	1	2	1	4	2	1	2	1	2	1	4	2	3	1	2	1	1	2	3	1	1	1
Photorespiration	9	6	8	5	7	9	9	10	8	7	6	5	5	6	11	7	5	5	5	7	5	6	6	7	8	6	5	9	5	5	7	7	6
Homoprotocatechuate degradation, homoprotocatechuate => 2-oxohept-3-enedioate	2	1	2	1	2	1	1	1	1	1	1	1	1	2	4	2	1	1	1	1	1	1	1	3	1	1	2	1	1	1	1	1	1
Naphthalene degradation, naphthalene => salicylate	4	4	4	3	3	3	3	3	4	2	2	4	4	4	7	3	3	2	3	3	3	3	4	3	4	3	4	2	3	4	4	3	4
Isoleucine biosynthesis, pyruvate => 2-oxobutanoate	4	4	4	2	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	3	4	2	4	4	4
Xylene degradation, xylene => methylbenzoate	2	2	1	2	2	3	3	2	3	2	2	1	2	1	3	2	2	1	2	2	1	3	3	2	2	2	2	1	2	1	1	3	2
Toluene degradation, toluene => benzoate	2	3	2	3	3	3	3	2	3	3	3	2	3	2	4	3	3	2	3	3	2	3	3	2	3	3	3	2	3	2	2	3	3
Cumate degradation, p-cumate => 2-oxopent-4-enoate + 2-methylpropanoate	3	1	5	3	4	4	3	3	3	2	3	2	3	1	8	1	3	2	3	2	2	2	3	3	4	2	2	5	2	2	2	2	3
Benzoate degradation, cyclohexanecarboxylic acid =>pimeloyl-CoA	3	2	5	5	5	5	5	3	2	5	2	5	2	2	5	5	2	2	2	2	4	2	2	4	4	5	2	3	2	1	4	1	4
Benzoyl-CoA degradation, benzoyl-CoA => 3-hydroxypimeloyl-CoA	0	3	7	5	4	3	3	0	3	4	3	4	5	2	9	7	4	4	3	3	4	5	3	8	5	7	3	0	3	4	4	3	5
EHEC/EPEC pathogenicity signature, T3SS and effectors	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Biphenyl degradation, biphenyl => 2-oxopent-4-enoate + benzoate	3	2	3	1	2	2	2	3	3	2	2	2	3	2	6	3	3	2	2	3	2	2	3	2	2	2	2	3	2	2	2	2	2
Carbazole degradation, carbazole => 2-oxopent-4-enoate + anthranilate	2	0	1	1	1	1	1	2	2	0	1	1	1	1	5	1	0	1	0	1	0	1	2	3	0	0	0	1	0	0	0	0	0
Trans-cinnamate degradation, trans-cinnamate => acetyl-CoA	6	5	6	5	6	6	6	6	5	5	5	5	5	5	11	5	5	5	5	5	6	5	5	8	5	6	5	6	5	4	6	5	5
Purine degradation, xanthine => urea	4	3	13	3	12	4	3	4	13	4	13	4	13	4	15	13	4	13	4	4	13	13	13	3	12	14	4	4	4	13	13	13	4
Benzene/toluene degradation, benzene => catechol / toluene => 3-methylcatechol	2	1	2	1	2	2	2	2	2	2	2	2	2	1	5	1	2	1	2	2	2	1	2	2	1	2	1	2	1	2	2	1	1
Benzene degradation, benzene => catechol	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Nucleotide sugar biosynthesis, glucose => UDP-glucose	4	4	4	5	4	5	5	4	4	5	4	5	5	5	4	4	4	5	4	4	5	4	4	4	4	5	5	4	4	4	5	4	5
Ascorbate degradation, ascorbate => D-xylulose-5P	2	3	4	6	4	3	3	5	5	4	5	5	3	4	7	2	4	4	4	3	4	3	4	3	3	4	4	5	2	4	3	4	5
Benzoate degradation, benzoate => catechol / methylbenzoate => methylcatechol	2	2	2	2	2	2	2	2	2	2	2	2	2	2	4	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
D-galactonate degradation, De Ley-Doudoroff pathway, D-galactonate => glycerate-3P	3	3	3	3	4	4	4	2	4	4	4	4	3	4	5	3	3	3	3	4	4	4	4	2	2	4	3	2	3	2	1	4	4
Nucleotide sugar biosynthesis, galactose => UDP-galactose	0	2	2	2	2	1	1	1	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	0	2	2	2	1	0	2	2	2	2
Betaine biosynthesis, choline => betaine	3	3	3	1	3	2	3	3	3	3	3	3	2	2	5	3	3	2	3	3	3	3	3	4	2	3	2	3	3	4	3	3	3
Methanogenesis, methylamine/dimethylamine/trimethylamine => methane	12	7	10	9	8	13	13	12	9	9	9	8	9	9	16	5	9	9	9	9	8	13	9	12	8	8	9	13	7	10	8	9	8
Helicobacter pylori pathogenicity signature, cagA pathogenicity island	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Trehalose biosynthesis, D-glucose 1P => trehalose	6	6	5	6	5	6	6	6	6	6	5	5	5	6	6	5	6	6	5	6	6	5	6	1	6	6	6	6	6	5	6	6	6
Methanogenesis, CO2 => methane	12	9	12	12	10	14	13	12	11	11	11	10	11	11	20	9	11	11	11	11	10	17	15	19	10	10	11	12	11	14	11	14	10
Catechol ortho-cleavage, catechol => 3-oxoadipate	3	2	3	2	3	3	3	3	3	3	2	3	3	3	3	3	2	3	3	3	3	2	3	2	3	3	3	2	3	3	3	3	3
Catechol meta-cleavage, catechol => acetyl-CoA / 4-methylcatechol => propanoyl-CoA	5	4	8	4	7	6	6	6	6	3	5	5	6	4	12	6	5	4	4	5	4	6	6	9	6	6	4	8	4	2	5	4	4
Isoleucine biosynthesis, threonine => 2-oxobutanoate => isoleucine	6	8	8	7	8	8	8	7	8	8	8	8	8	8	8	8	7	8	8	7	8	8	8	8	8	8	8	7	8	3	8	8	8
Pimeloyl-ACP biosynthesis, BioC-BioH pathway, malonyl-ACP => pimeloyl-ACP	8	8	8	8	7	9	9	8	8	6	6	8	8	8	8	8	4	7	7	8	7	8	8	8	8	8	8	8	8	7	8	8	8
Biotin biosynthesis, BioI pathway, long-chain-acyl-ACP => pimeloyl-ACP => biotin	3	3	4	3	4	4	4	3	4	3	4	4	3	4	4	4	4	4	4	4	4	4	4	3	4	4	4	3	3	4	4	4	4
Pertussis pathogenicity signature, pertussis toxin	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pertussis pathogenicity signature, T1SS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ETEC pathogenicity signature, heat-labile and heat-stable enterotoxins	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Biotin biosynthesis, BioW pathway, pimelate => pimeloyl-CoA => biotin	5	4	5	4	5	6	6	5	5	4	5	5	4	5	6	5	5	5	5	5	5	5	5	4	5	5	5	5	4	5	5	5	5
Phosphate acetyltransferase-acetate kinase pathway, acetyl-CoA => acetate	3	3	3	3	4	3	3	3	4	3	3	3	3	2	3	2	3	3	2	3	3	4	4	0	3	3	0	3	3	3	3	3	3
Pentose phosphate pathway, archaea, fructose 6P => ribose 5P	2	2	4	3	4	4	4	4	4	3	4	4	3	3	5	3	3	2	3	3	4	3	3	4	3	4	3	4	3	5	5	3	2
Thiosulfate oxidation by SOX complex, thiosulfate => sulfate	1	0	0	0	1	2	2	1	1	0	0	1	0	1	4	0	0	1	0	0	1	1	0	3	0	0	0	1	1	0	1	0	0
Dissimilatory sulfate reduction, sulfate => H2S	3	4	4	2	4	3	4	4	4	5	4	4	4	2	5	4	2	4	2	4	3	4	4	4	3	5	2	3	4	3	3	2	2
Anoxygenic photosystem II	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Anoxygenic photosystem I	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2-Oxocarboxylic acid chain extension, 2-oxoglutarate => 2-oxoadipate => 2-oxopimelate => 2-oxosuberate	4	4	4	3	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	3	4	2	4	4	4
Cysteine biosynthesis, methionine => cysteine	5	5	6	5	6	5	5	5	6	6	6	6	6	6	6	5	6	6	5	6	6	6	6	5	6	6	6	5	6	6	6	6	6
Oxygenic photosynthesis in plants and cyanobacteria	7	8	8	5	8	9	9	8	8	8	9	8	8	7	11	6	7	7	8	6	8	8	8	7	8	8	8	7	7	8	7	8	8
Anoxygenic photosynthesis in purple bacteria	7	8	8	5	8	9	9	8	8	8	9	8	8	7	11	6	7	7	8	6	8	8	8	7	8	8	8	7	7	8	7	8	8
Anoxygenic photosynthesis in green nonsulfur bacteria	19	21	21	24	22	26	26	24	19	23	20	24	25	18	34	21	16	19	21	19	22	21	19	22	21	21	21	22	19	17	20	19	21
Anoxygenic photosynthesis in green sulfur bacteria	27	28	24	29	27	34	34	28	26	30	30	28	29	28	38	21	24	29	28	27	29	28	30	34	23	26	28	25	28	28	24	29	24
Nitrate assimilation	1	2	2	1	1	1	1	1	2	2	2	1	2	1	4	2	1	2	1	2	1	4	2	3	1	2	1	1	2	3	1	1	1
Sulfate-sulfur assimilation	6	8	5	5	5	9	9	8	4	9	5	5	6	6	10	4	4	6	6	6	6	6	6	5	6	10	6	6	8	4	2	5	2
Methanogen	14	15	17	17	15	18	17	14	17	15	17	16	18	15	21	10	16	18	14	16	15	21	16	16	15	17	13	16	16	16	16	14	15
Acetogen	8	12	10	10	11	10	10	8	13	10	11	11	13	10	9	10	11	13	9	10	11	13	14	7	10	12	8	8	10	9	11	13	10
Incomplete reductive citrate cycle, acetyl-CoA => oxoglutarate	16	15	14	16	16	17	17	16	16	16	16	16	16	16	17	13	14	16	15	15	16	15	16	17	13	14	16	15	16	14	14	16	13
Nicotinate degradation, nicotinate => fumarate	2	3	6	2	5	2	3	1	6	3	3	3	5	3	5	5	1	5	3	3	5	5	5	5	4	5	3	2	2	4	5	5	3
Phthalate degradation, phthalate => protocatechuate	2	2	3	2	2	2	2	2	2	3	2	2	1	2	4	2	2	2	2	2	2	2	2	2	1	3	1	2	2	2	1	2	2
Terephthalate degradation, terephthalate => 3,4-dihydroxybenzoate	2	0	0	0	0	2	2	2	1	0	0	0	0	0	3	1	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0
Methicillin resistance	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-Lactam resistance, Bla system	0	1	1	1	1	1	2	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	2	1	1	1	0	1	1	1	1	1
D-Galacturonate degradation (fungi), D-galacturonate => glycerol	1	0	1	0	1	1	1	1	0	1	0	1	1	1	1	0	1	1	0	1	0	0	1	0	1	1	0	1	0	1	0	0	1
D-Galacturonate degradation (bacteria), D-galacturonate => pyruvate + D-glyceraldehyde 3P	7	1	2	2	7	7	3	2	7	4	2	7	7	7	7	6	7	7	1	7	7	4	3	4	2	2	2	2	1	2	3	4	7
Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P	2	4	4	4	4	3	3	3	4	4	4	4	4	4	4	4	4	4	4	2	4	4	4	1	4	4	4	3	1	4	4	4	4
Semi-phosphorylative Entner-Doudoroff pathway, gluconate/galactonate => glycerate-3P	4	5	5	4	5	3	3	3	5	5	4	5	5	5	5	5	4	4	5	5	5	5	5	4	5	5	4	3	5	4	5	5	5
Phthalate degradation, phthalate => protocatechuate	2	1	2	2	1	2	2	2	1	1	2	1	1	1	5	1	2	2	3	1	2	2	3	2	1	1	2	2	1	2	1	1	1
Anthranilate degradation, anthranilate => catechol	2	1	2	2	1	2	2	2	2	2	2	2	1	2	7	2	2	1	2	2	2	2	2	3	2	2	2	1	2	2	2	2	2
Salicylate degradation, salicylate => gentisate	1	1	1	1	1	1	1	1	1	0	1	1	1	1	4	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1
Multidrug resistance, efflux pump MexCD-OprJ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Multidrug resistance, efflux pump MexEF-OprN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Multidrug resistance, efflux pump MexJK-OprM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Multidrug resistance, efflux pump MexXY-OprM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Multidrug resistance, efflux pump AdeABC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vancomycin resistance, D-Ala-D-Lac type	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Vancomycin resistance, D-Ala-D-Ser type	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Xanthomonas spp. pathogenicity signature, T3SS and effectors	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Paspaline biosynthesis, geranylgeranyl-PP + indoleglycerol phosphate => paspaline	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nodulation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Penicillin biosynthesis, aminoadipate + cycteine + valine => penicillin	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	0	1	0	1	1	1	1	0	0	0	0
Cephamycin C biosynthesis, aminoadipate + cycteine + valine => cephamycin C	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	3	1	2	1	2	1	2	2	2	2	1	1	1	1
Clavaminate biosynthesis, arginine + glyceraldehyde-3P => clavaminate	2	3	3	1	3	2	2	3	1	2	2	2	2	1	3	1	2	2	2	2	2	0	3	2	2	2	1	3	2	1	1	1	1
Carbapenem-3-carboxylate biosynthesis, pyrroline-5-carboxylate + malonyl-CoA => carbapenem-3-carboxylate	0	1	2	2	2	2	2	1	0	2	1	2	1	0	2	1	1	1	1	1	2	0	1	1	2	2	0	1	1	1	1	0	1
Multidrug resistance, efflux pump AcrEF-TolC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Multidrug resistance, efflux pump MdtEF-TolC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Multidrug resistance, efflux pump BpeEF-OprC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Multidrug resistance, efflux pump AbcA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
