ko	pathway	ERR1995241_bin.1	ERR1995241_bin.10	ERR1995241_bin.11	ERR1995241_bin.12	ERR1995241_bin.13	ERR1995241_bin.14	ERR1995241_bin.15	ERR1995241_bin.16	ERR1995241_bin.17	ERR1995241_bin.18	ERR1995241_bin.19	ERR1995241_bin.2	ERR1995241_bin.20	ERR1995241_bin.21	ERR1995241_bin.22	ERR1995241_bin.23	ERR1995241_bin.24	ERR1995241_bin.25	ERR1995241_bin.26	ERR1995241_bin.27	ERR1995241_bin.28	ERR1995241_bin.29	ERR1995241_bin.3	ERR1995241_bin.30	ERR1995241_bin.31	ERR1995241_bin.32	ERR1995241_bin.33	ERR1995241_bin.34	ERR1995241_bin.35	ERR1995241_bin.4	ERR1995241_bin.5	ERR1995241_bin.6	ERR1995241_bin.7	ERR1995241_bin.8	ERR1995241_bin.9
ko00960	Tropane, piperidine and pyridine alkaloid biosynthesis	12	10	11	12	9	10	9	10	13	9	12	9	10	12	11	12	10	10	10	13	11	10	10	11	11	9	10	10	10	10	9	10	10	9	10
ko00965	Betalain biosynthesis	2	1	3	0	1	1	4	4	4	0	2	0	4	0	0	0	1	0	4	1	0	1	4	4	3	0	4	1	1	3	1	1	3	1	0
ko00966	Glucosinolate biosynthesis	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	1	1	2	2	2	2	2	2	2	1	2	2	2	2	2	2
ko00970	Aminoacyl-tRNA biosynthesis	31	36	37	38	35	30	29	30	34	35	34	34	30	32	36	30	34	31	30	30	32	29	30	33	37	36	30	32	30	35	34	36	30	33	34
ko00980	Metabolism of xenobiotics by cytochrome P450	8	6	6	6	6	8	6	7	9	8	8	8	8	7	8	8	7	4	7	8	7	8	7	5	5	8	7	5	6	9	7	7	8	4	8
ko00981	Insect hormone biosynthesis	1	1	1	1	1	1	1	1	1	1	1	2	1	2	2	1	1	1	2	2	2	1	1	1	1	1	1	1	2	2	1	2	1	1	2
ko00982	Drug metabolism - cytochrome P450	5	3	3	5	4	5	3	4	6	5	6	5	5	4	5	5	6	2	4	5	5	5	5	4	3	6	4	3	3	7	4	5	5	2	5
ko00983	Drug metabolism - other enzymes	16	15	9	15	15	16	14	16	21	15	14	15	17	16	14	14	15	16	17	12	15	17	17	15	15	12	17	11	14	17	13	13	16	11	13
ko00984	Steroid degradation	9	9	9	8	9	7	10	10	10	9	9	9	9	8	9	9	9	8	10	10	9	7	10	10	9	6	11	7	8	8	9	8	9	8	7
ko00996	Biosynthesis of various alkaloids	0	1	1	1	1	1	0	0	1	0	1	1	1	1	0	0	0	1	1	0	1	1	1	0	1	1	1	0	1	0	1	0	0	1	1
ko00997	Biosynthesis of various other secondary metabolites	5	4	6	5	4	4	6	4	8	4	5	4	6	4	6	5	5	5	5	6	6	5	3	4	6	5	5	6	4	5	6	4	4	6	4
ko00998	Biosynthesis of various antibiotics	18	19	17	13	21	18	19	25	25	14	21	20	22	20	21	13	23	18	21	20	11	18	20	20	20	21	20	20	19	20	20	20	20	22	22
ko00999	Biosynthesis of various plant secondary metabolites	8	7	8	7	7	11	6	12	8	7	11	7	10	7	7	6	8	7	11	6	3	11	9	10	7	6	12	7	7	7	8	6	7	7	7
ko01040	Biosynthesis of unsaturated fatty acids	3	5	4	3	6	3	3	4	6	4	6	6	3	5	4	2	4	4	3	3	4	3	3	5	5	3	3	4	3	4	5	3	4	5	4
ko01051	Biosynthesis of ansamycins	7	5	9	7	7	9	9	9	10	7	7	9	10	8	10	9	8	6	9	7	6	8	8	7	7	8	11	6	8	7	7	7	7	5	7
ko01052	Type I polyketide structures	4	3	5	14	5	6	13	6	17	4	5	13	15	5	8	13	5	5	9	6	6	6	13	13	4	6	17	6	6	13	5	5	13	4	6
ko01053	Biosynthesis of siderophore group nonribosomal peptides	8	10	8	9	12	9	7	10	13	8	8	7	12	8	8	7	13	8	12	9	4	12	12	13	12	11	13	9	10	9	6	13	11	7	12
ko01054	Nonribosomal peptide structures	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0
ko01055	Biosynthesis of vancomycin group antibiotics	9	11	9	10	9	12	9	8	13	6	10	11	12	9	6	4	7	11	12	6	10	10	9	9	10	7	12	6	10	5	9	6	7	9	11
ko01056	Biosynthesis of type II polyketide backbone	4	4	3	4	4	4	4	4	5	4	4	4	4	4	3	4	4	4	4	4	4	5	4	4	4	4	4	3	3	4	3	4	4	4	4
ko01057	Biosynthesis of type II polyketide products	18	17	15	17	17	16	15	17	29	18	19	20	17	18	23	19	17	17	20	16	17	17	16	18	17	15	24	17	16	17	16	17	15	15	16
ko01059	Biosynthesis of enediyne antibiotics	23	19	16	19	20	25	22	26	25	22	17	20	23	17	19	16	22	17	28	24	11	28	22	21	22	19	32	23	16	20	16	21	21	22	19
ko01100	Metabolic pathways	1728	1694	1417	1509	1631	1689	1656	1790	2181	1527	1714	1808	1850	1637	1585	1424	1624	1622	1819	1651	1429	1715	1663	1632	1560	1484	1853	1382	1569	1627	1473	1514	1607	1435	1697
ko01110	Biosynthesis of secondary metabolites	730	739	605	679	748	776	772	827	937	700	780	798	824	752	728	605	764	707	847	732	595	804	764	713	746	726	878	670	735	725	695	737	740	695	791
ko01120	Microbial metabolism in diverse environments	600	569	536	545	537	545	547	568	807	517	600	667	611	550	525	510	522	533	589	573	523	550	520	586	520	476	599	422	512	550	488	481	539	463	565
ko01200	Carbon metabolism	196	199	174	178	190	202	193	209	262	189	213	223	222	205	177	181	187	189	225	199	178	211	197	194	190	180	224	160	188	195	181	181	193	178	205
ko01210	2-Oxocarboxylic acid metabolism	53	53	50	47	53	51	50	52	52	53	53	53	51	52	52	38	53	53	51	49	50	52	51	49	53	53	52	50	36	53	53	53	50	50	53
ko01212	Fatty acid metabolism	30	41	33	32	43	34	34	34	44	31	42	46	40	44	13	23	30	43	40	28	40	33	39	39	44	28	39	25	40	26	44	28	29	44	33
ko01220	Degradation of aromatic compounds	82	69	90	78	65	78	90	80	114	74	83	97	88	73	81	77	69	65	85	82	79	76	76	77	64	60	91	46	78	72	66	56	73	58	75
ko01230	Biosynthesis of amino acids	191	196	164	169	190	188	187	200	205	190	196	187	197	193	188	144	196	190	198	187	165	194	194	192	192	193	200	175	172	194	185	191	192	182	189
ko01232	Nucleotide metabolism	67	59	46	53	62	57	55	56	78	53	54	64	58	59	49	60	51	59	58	49	62	60	58	62	48	49	57	45	52	61	52	49	60	42	45
ko01240	Biosynthesis of cofactors	223	230	176	210	238	236	210	246	267	183	218	222	248	217	190	156	233	200	242	218	180	227	219	222	216	196	246	193	210	218	176	201	221	191	247
ko01250	Biosynthesis of nucleotide sugars	117	119	97	94	116	122	120	134	127	103	123	105	129	107	117	95	118	128	126	116	68	111	109	105	98	121	128	103	118	106	102	113	103	106	120
ko01501	beta-Lactam resistance	5	5	4	2	5	4	2	7	4	4	4	5	3	3	5	3	5	3	7	4	3	8	7	3	3	5	7	4	8	4	3	4	4	3	7
ko01502	Vancomycin resistance	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	6	7	7	6	6	7	7	7	7	7	7	7	7	6	7	7
ko01503	Cationic antimicrobial peptide (CAMP) resistance	9	8	6	11	8	10	10	10	12	7	7	8	10	7	8	8	9	8	9	9	6	10	7	8	8	9	11	8	8	8	9	9	8	7	11
ko01521	EGFR tyrosine kinase inhibitor resistance	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko01522	Endocrine resistance	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko01523	Antifolate resistance	4	3	2	4	4	4	4	4	4	4	4	4	3	2	2	3	3	2	4	4	4	4	4	2	2	2	4	3	4	3	3	2	4	4	4
ko01524	Platinum drug resistance	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ko02010	ABC transporters	1	0	0	0	0	1	0	0	1	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1
ko02020	Two-component system	19	21	22	33	19	26	23	26	44	21	14	23	28	20	19	23	21	18	28	23	18	26	25	24	17	16	28	14	28	24	21	20	21	16	28
ko02024	Quorum sensing	18	20	13	15	18	16	16	21	27	15	16	17	22	18	13	9	19	15	20	16	13	18	19	16	19	14	21	17	19	16	16	17	18	17	18
ko02025	Biofilm formation - Pseudomonas aeruginosa	7	8	5	6	9	8	7	8	9	6	7	7	8	7	5	4	9	7	8	8	6	8	6	9	8	6	8	8	8	7	9	8	9	7	8
ko02026	Biofilm formation - Escherichia coli	4	4	1	1	4	3	2	3	5	4	3	3	2	4	3	2	3	4	2	4	2	3	3	3	3	3	2	3	2	4	4	3	3	4	2
ko02030	Bacterial chemotaxis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko02040	Flagellar assembly	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko02060	Phosphotransferase system (PTS)	50	22	1	13	14	3	1	3	59	52	56	14	1	46	12	24	9	44	3	25	1	3	3	13	39	10	3	11	1	21	52	14	10	24	5
ko03008	Ribosome biogenesis in eukaryotes	1	1	1	0	1	1	1	1	1	1	1	1	1	0	0	0	1	0	1	1	0	1	1	1	1	1	1	0	1	1	1	0	1	1	1
ko03010	Ribosome	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko03013	Nucleocytoplasmic transport	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko03015	mRNA surveillance pathway	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko03018	RNA degradation	3	3	2	2	3	3	3	3	3	3	3	3	3	3	2	2	3	3	3	3	3	3	3	3	3	3	3	3	2	3	3	3	3	3	3
ko03020	RNA polymerase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko03022	Basal transcription factors	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko03030	DNA replication	2	2	3	1	2	2	2	2	2	2	2	2	2	3	3	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2
ko03040	Spliceosome	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko03050	Proteasome	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko03060	Protein export	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko03070	Bacterial secretion system	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko03230	Viral genome structure	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko03240	Viral replication	1	1	0	0	0	1	1	1	1	0	1	1	1	1	0	1	0	0	1	0	0	0	0	1	0	0	1	0	1	1	0	0	1	0	1
ko03250	Viral life cycle - HIV-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko03320	PPAR signaling pathway	4	7	6	5	9	5	7	7	8	5	7	10	7	8	5	4	5	8	7	4	6	5	6	9	9	3	7	5	7	3	9	5	5	9	6
ko03410	Base excision repair	1	1	2	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1
ko03420	Nucleotide excision repair	1	1	2	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1
ko03430	Mismatch repair	1	1	2	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1
ko03440	Homologous recombination	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko03450	Non-homologous end-joining	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ko03460	Fanconi anemia pathway	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04010	MAPK signaling pathway	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04011	MAPK signaling pathway - yeast	0	0	1	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1
ko04012	ErbB signaling pathway	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04013	MAPK signaling pathway - fly	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04014	Ras signaling pathway	1	1	0	0	1	1	1	1	0	0	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	0	1	1	0	1	1	1	0	1	1
ko04015	Rap1 signaling pathway	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04016	MAPK signaling pathway - plant	1	1	2	1	1	2	2	1	3	1	1	1	3	1	1	1	1	1	3	1	1	2	3	1	1	1	3	1	1	1	1	1	1	1	3
ko04020	Calcium signaling pathway	1	1	1	0	0	1	1	1	2	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	0	0	1	0	0	0	1	0	1	1	2
ko04022	cGMP-PKG signaling pathway	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ko04024	cAMP signaling pathway	1	2	1	0	2	1	1	1	0	0	2	2	1	2	1	0	1	2	1	1	2	0	1	2	2	0	1	1	0	1	2	1	0	2	1
ko04060	Cytokine-cytokine receptor interaction	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04061	Viral protein interaction with cytokine and cytokine receptor	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04062	Chemokine signaling pathway	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04064	NF-kappa B signaling pathway	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04066	HIF-1 signaling pathway	7	8	5	6	8	8	7	7	10	8	7	7	9	7	6	6	6	6	8	7	6	7	6	7	8	8	8	6	6	7	7	6	7	7	9
ko04068	FoxO signaling pathway	0	0	1	0	0	0	1	0	1	0	0	2	1	0	1	0	0	0	1	0	1	0	1	0	1	0	1	0	0	1	0	0	0	0	3
ko04070	Phosphatidylinositol signaling system	3	6	2	2	2	5	5	5	6	2	2	3	5	1	6	5	3	2	4	3	2	4	5	2	1	2	4	2	4	2	2	1	5	3	5
ko04071	Sphingolipid signaling pathway	3	3	2	0	3	2	3	3	2	3	3	4	3	1	3	3	3	3	3	4	2	0	2	3	1	0	3	2	1	2	2	4	2	3	3
ko04072	Phospholipase D signaling pathway	4	4	3	1	3	4	4	4	2	3	3	4	4	2	4	3	4	4	3	4	3	1	4	4	2	1	3	2	2	3	4	2	3	4	2
ko04075	Plant hormone signal transduction	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04080	Neuroactive ligand-receptor interaction	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04110	Cell cycle	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04111	Cell cycle - yeast	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04112	Cell cycle - Caulobacter	3	3	3	2	3	2	2	2	3	3	3	2	2	3	2	2	3	3	2	3	2	2	2	2	2	2	2	3	2	3	2	3	2	2	2
ko04113	Meiosis - yeast	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ko04114	Oocyte meiosis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04115	p53 signaling pathway	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04120	Ubiquitin mediated proteolysis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04122	Sulfur relay system	13	13	11	15	9	9	10	10	16	10	11	11	8	13	11	9	9	10	12	11	11	9	10	12	10	9	12	8	8	11	9	9	12	8	10
ko04130	SNARE interactions in vesicular transport	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04136	Autophagy - other	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04137	Mitophagy - animal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04138	Autophagy - yeast	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04139	Mitophagy - yeast	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04140	Autophagy - animal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04141	Protein processing in endoplasmic reticulum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04142	Lysosome	4	4	1	2	3	12	12	12	8	1	2	3	12	2	12	3	1	10	13	7	1	13	12	1	4	2	12	2	11	5	6	6	2	4	11
ko04144	Endocytosis	1	1	0	0	1	1	1	1	0	0	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	0	1	1	0	1	1	1	0	1	1
ko04145	Phagosome	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04146	Peroxisome	12	11	10	9	10	8	9	9	18	9	13	11	11	13	11	8	8	12	8	11	8	7	9	15	11	8	9	7	8	9	9	7	9	8	12
ko04150	mTOR signaling pathway	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04151	PI3K-Akt signaling pathway	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2
ko04152	AMPK signaling pathway	1	2	1	1	2	2	1	1	3	2	1	3	2	2	2	2	1	1	1	1	1	1	1	2	3	2	1	2	1	1	1	1	1	2	2
ko04210	Apoptosis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04211	Longevity regulating pathway	0	0	1	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1
ko04212	Longevity regulating pathway - worm	0	0	1	1	0	0	1	1	2	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	1	1	0	0	1	0	0	0	0	1
ko04213	Longevity regulating pathway - multiple species	0	0	1	0	1	0	1	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	1
ko04214	Apoptosis - fly	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04215	Apoptosis - multiple species	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04216	Ferroptosis	2	1	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	1	2	2	2	2	2
ko04217	Necroptosis	3	3	2	1	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
ko04218	Cellular senescence	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04260	Cardiac muscle contraction	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04261	Adrenergic signaling in cardiomyocytes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04270	Vascular smooth muscle contraction	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04310	Wnt signaling pathway	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04320	Dorso-ventral axis formation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04330	Notch signaling pathway	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04340	Hedgehog signaling pathway	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04341	Hedgehog signaling pathway - fly	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04350	TGF-beta signaling pathway	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04360	Axon guidance	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04361	Axon regeneration	2	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	0	1	1	0	0	0	0	1	1	1	1	1	1	0
ko04370	VEGF signaling pathway	1	1	1	0	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	0	0	1	0	0	0	1	0	1	1	1
ko04371	Apelin signaling pathway	1	1	1	0	0	1	1	1	2	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	0	0	1	0	0	0	1	0	1	1	2
ko04380	Osteoclast differentiation	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
ko04390	Hippo signaling pathway	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04391	Hippo signaling pathway - fly	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04392	Hippo signaling pathway - multiple species	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04510	Focal adhesion	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04512	ECM-receptor interaction	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04514	Cell adhesion molecules	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04520	Adherens junction	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04530	Tight junction	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04540	Gap junction	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04550	Signaling pathways regulating pluripotency of stem cells	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04610	Complement and coagulation cascades	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04611	Platelet activation	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ko04612	Antigen processing and presentation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04613	Neutrophil extracellular trap formation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04614	Renin-angiotensin system	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04620	Toll-like receptor signaling pathway	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04621	NOD-like receptor signaling pathway	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04622	RIG-I-like receptor signaling pathway	0	0	1	0	0	0	0	0	1	1	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04623	Cytosolic DNA-sensing pathway	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
