Pathway	ERR1995223_bin.1	ERR1995223_bin.2	ERR1995223_bin.3	ERR1995223_bin.4	ERR1995223_bin.5	ERR1995223_bin.6	ERR1995223_bin.7
Staurosporine biosynthesis, tryptophan => staurosporine	0	3	3	2	0	0	1
Violacein biosynthesis, tryptophan => violacein	0	1	1	0	0	0	0
Nicotine degradation, pyridine pathway, nicotine => 2,6-dihydroxypyridine/succinate semialdehyde	1	8	7	6	0	1	1
Nicotine degradation, pyrrolidine pathway, nicotine => succinate semialdehyde	3	4	4	3	1	1	3
Acarbose biosynthesis, sedoheptulopyranose-7P => acarbose	6	6	6	3	3	5	4
Validamycin A biosynthesis, sedoheptulopyranose-7P => validamycin A	6	7	9	3	3	4	4
Pentalenolactone biosynthesis, farnesyl-PP => pentalenolactone	1	2	2	1	1	1	1
Chlortetracycline biosynthesis, pretetramide => chlortetracycline	2	5	5	2	1	2	2
9-membered enediyne core biosynthesis, malonyl-CoA => 3-hydroxyhexadeca-4,6,8,10,12,14-hexaenoyl-ACP => 9-membered enediyne core	1	1	1	1	0	1	1
10-membered enediyne core biosynthesis, malonyl-CoA => 3-hydroxyhexadeca-4,6,8,10,12,14-hexaenoyl-ACP => 10-membered enediyne core	1	1	1	1	0	1	1
C-1027 benzoxazolinate moiety biosynthesis, chorismate => benzoxazolinyl-CoA	4	2	4	3	1	5	2
C-1027 beta-amino acid moiety biosynthesis, tyrosine => 3-chloro-4,5-dihydroxy-beta-phenylalanyl-PCP	2	3	4	2	1	1	0
Maduropeptin beta-hydroxy acid moiety biosynthesis, tyrosine => 3-(4-hydroxyphenyl)-3-oxopropanoyl-PCP	2	2	3	2	1	1	0
3,6-Dimethylsalicylyl-CoA biosynthesis, malonyl-CoA => 6-methylsalicylate => 3,6-dimethylsalicylyl-CoA	2	2	2	2	1	1	1
Neocarzinostatin naphthoate moiety biosynthesis, malonyl-CoA => 2-hydroxy-5-methyl-1-naphthoate => 2-hydroxy-7-methoxy-5-methyl-1-naphthoyl-CoA	2	3	3	3	1	1	1
Kedarcidin 2-hydroxynaphthoate moiety biosynthesis, malonyl-CoA => 3,6,8-trihydroxy-2-naphthoate => 3-hydroxy-7,8-dimethoxy-6-isopropoxy-2-naphthoyl-CoA	0	0	0	2	0	0	0
Kedarcidin 2-aza-3-chloro-beta-tyrosine moiety biosynthesis, azatyrosine => 2-aza-3-chloro-beta-tyrosyl-PCP	1	2	1	3	0	1	0
Calicheamicin biosynthesis, calicheamicinone => calicheamicin	1	2	1	3	0	1	1
Calicheamicin orsellinate moiety biosynthesis, malonyl-CoA => orsellinate-ACP => 5-iodo-2,3-dimethoxyorsellinate-ACP	1	2	1	2	0	1	1
Pyocyanine biosynthesis, chorismate => pyocyanine	3	5	5	2	1	3	2
Coenzyme F430 biosynthesis, sirohydrochlorin => coenzyme F430	3	2	2	4	2	3	2
Prodigiosin biosynthesis, L-proline => prodigiosin	5	7	7	6	2	5	4
Undecylprodigiosin biosynthesis, L-proline => undecylprodigiosin	6	9	8	7	2	5	5
Tetrahydrofolate biosynthesis, mediated by ribA and trpF, GTP => THF	1	5	5	5	0	2	1
Tetrahydrofolate biosynthesis, mediated by PTPS, GTP => THF	1	3	3	3	1	1	1
Tetrahydrobiopterin biosynthesis, GTP => BH4	0	2	2	2	0	1	0
L-threo-Tetrahydrobiopterin biosynthesis, GTP => L-threo-BH4	1	3	3	3	1	2	1
Arginine biosynthesis, ornithine => arginine	4	4	4	4	2	4	4
Arginine biosynthesis, glutamate => acetylcitrulline => arginine	7	7	7	7	4	7	5
Siroheme biosynthesis, glutamyl-tRNA => siroheme	5	11	11	10	3	3	4
Heme biosynthesis, archaea, siroheme => heme	3	3	3	2	2	3	3
Aurachin biosynthesis, anthranilate => aurachin A	2	3	3	2	2	2	2
C5 isoprenoid biosynthesis, mevalonate pathway, archaea	4	6	6	5	2	4	3
Vibrio cholerae pathogenicity signature, cholera toxins	0	0	0	0	0	0	0
Carbapenem resistance	0	0	0	0	0	0	0
Vibrio cholerae pathogenicity signature, toxin coregulated pilus	0	0	0	0	0	0	0
ETEC pathogenicity signature, colonization factors	0	0	0	0	0	0	0
Glycogen biosynthesis, glucose-1P => glycogen/starch	4	5	5	3	4	5	2
Glycogen degradation, glycogen => glucose-6P	7	7	7	2	7	7	2
Salmonella enterica pathogenicity signature, typhoid toxin	0	0	0	0	0	0	0
Salmonella enterica pathogenicity signature, Vi antigen	1	2	2	2	1	1	1
Bacillus anthracis pathogenicity signature, anthrax toxin	0	0	0	0	0	0	0
Bacillus anthracis pathogenicity signature, polyglutamic acid capsule biosynthesis	0	0	0	0	0	0	0
beta-Oxidation, peroxisome, VLCFA	0	1	2	0	0	0	0
beta-Oxidation, peroxisome, tri/dihydroxycholestanoyl-CoA => choloyl/chenodeoxycholoyl-CoA	0	1	1	0	0	0	0
KDO2-lipid A biosynthesis, Raetz pathway, non-LpxL-LpxM type	6	9	9	9	3	6	5
KDO2-lipid A modification pathway	2	4	2	2	2	2	2
Heme biosynthesis, animals and fungi, glycine => heme	1	8	8	7	1	1	1
O-glycan biosynthesis, mannose type (core M3)	0	0	0	0	0	0	0
Fatty acid biosynthesis in mitochondria, animals	3	4	4	3	1	2	2
Fatty acid biosynthesis in mitochondria, fungi	3	4	4	3	1	3	3
Staphyloferrin B biosynthesis, L-serine => staphyloferrin B	2	3	3	3	1	2	2
Staphyloferrin A biosynthesis, L-ornithine => staphyloferrin A	1	1	1	1	1	1	0
Kanosamine biosynthesis, glucose 6-phosphate => kanosamine	2	3	3	2	3	2	2
Phenylacetate degradation, phenylaxetate => acetyl-CoA/succinyl-CoA	5	7	11	6	1	4	4
Arginine succinyltransferase pathway, arginine => glutamate	2	5	5	2	1	2	1
Molybdenum cofactor biosynthesis, GTP => molybdenum cofactor	1	8	8	6	1	1	1
Lipoic acid biosynthesis, plants and bacteria, octanoyl-ACP => dihydrolipoyl-E2/H	0	2	2	1	0	0	0
Lipoic acid biosynthesis, eukaryotes, octanoyl-ACP => dihydrolipoyl-H	0	2	2	1	0	0	0
Lipoic acid biosynthesis, animals and bacteria, octanoyl-ACP => dihydrolipoyl-H => dihydrolipoyl-E2	0	4	4	1	0	0	0
Lipoic acid biosynthesis, octanoyl-CoA => dihydrolipoyl-E2	0	1	1	1	0	0	0
Puromycin biosynthesis, ATP => puromycin	0	0	0	0	0	0	0
Roseoflavin biosynthesis, FMN => roseoflavin	0	0	0	0	0	0	0
Ditryptophenaline biosynthesis, tryptophan + phenylalanine => ditryptophenaline	0	0	0	0	0	0	0
UDP-N-acetyl-D-glucosamine biosynthesis, eukaryotes, glucose => UDP-GlcNAc	3	3	3	3	3	3	3
Lovastatin biosynthesis, malonyl-CoA => lovastatin acid	0	0	0	0	0	0	0
Cannabidiol biosynthesis, malonyl-CoA => cannabidiol/dronabinol	0	0	0	4	0	0	0
Thiamine biosynthesis, prokaryotes, AIR (+ DXP/glycine) => TMP/TPP	7	9	9	9	4	8	6
Thiamine biosynthesis, archaea, AIR (+ NAD+) => TMP/TPP	3	6	6	6	3	4	2
Thiamine biosynthesis, plants, AIR (+ NAD+) => TMP/thiamine/TPP	1	2	2	2	2	1	1
Thiamine biosynthesis, pyridoxal-5P => TMP/thiamine/TPP	1	0	0	0	1	1	1
Thiamine salvage pathway, HMP/HET => TMP	2	5	5	5	3	3	0
Crocin biosynthesis, crocetin => crocin	0	0	0	0	0	0	0
Fumiquinazoline biosynthesis, tryptophan + alanine + anthranilate => fumiquinazoline	0	0	0	0	0	0	0
Podophyllotoxin biosynthesis, coniferyl alcohol => podophyllotoxin	0	1	1	0	0	0	1
Fosfomycin biosynthesis, phosphoenolpyruvate => fosfomycin	1	3	2	3	0	1	1
Dapdiamides biosynthesis, L-2,3-diaminopropanoate => dapdiamide A/B/C	1	1	1	1	1	1	1
Grixazone biosynthesis, aspartate 4-semialdehyde => grixazone B	0	1	1	0	0	0	0
Ethynylserine biosynthesis, lysine => ethynylserine	1	1	1	1	0	1	0
UDP-N-acetyl-D-glucosamine biosynthesis, prokaryotes, glucose => UDP-GlcNAc	7	7	7	7	7	6	7
Phenylalanine biosynthesis, chorismate => arogenate => phenylalanine	2	2	2	1	1	2	1
Riboflavin biosynthesis, fungi, GTP => riboflavin/FMN/FAD	1	5	5	6	1	1	2
NAD biosynthesis, tryptophan => quinolinate => NAD	7	7	7	6	6	7	7
Pantothenate biosynthesis, 2-oxoisovalerate/spermine => pantothenate	2	4	4	3	2	2	2
Coenzyme A biosynthesis, archaea, 2-oxoisovalerate => 4-phosphopantoate => CoA	3	5	5	4	1	2	2
Caffeine degradation, caffeine => xanthine	0	0	3	0	0	0	0
Pyridoxal-P biosynthesis, R5P + glyceraldehyde-3P + glutamine => pyridoxal-P	2	1	1	1	0	2	1
Phytosterol biosynthesis, squalene 2,3-epoxide => campesterol/sitosterol	1	2	2	2	1	1	1
Aerobactin biosynthesis, lysine => aerobactin	0	1	1	0	0	0	0
Ectoine degradation, ectoine => aspartate	3	4	4	3	2	3	2
Cyclooctatin biosynthesis, dimethylallyl-PP + isopentenyl-PP => cyclooctatin	1	1	1	1	0	1	0
CMP-Neu5Ac biosynthesis	0	1	1	2	1	0	1
UDP-L-FucNAm biosynthesis	1	1	1	1	1	1	1
Cobalamin biosynthesis, anaerobic, uroporphyrinogen III => sirohydrochlorin => cobyrinate a,c-diamide	7	14	13	20	3	5	7
Cobalamin biosynthesis, aerobic, uroporphyrinogen III => precorrin 2 => cobyrinate a,c-diamide	6	12	12	15	2	4	6
Heme biosynthesis, bacteria, glutamyl-tRNA => coproporphyrin III => heme	4	9	9	10	2	3	3
Gibberellin A12 biosynthesis, GAPP => GA12	0	0	0	0	0	0	0
Gibberellin A4/A1 biosynthesis, GA12/GA53 => GA4/GA1	0	0	0	0	0	0	0
Gibberellin A1 biosynthesis, GGPP => GA1	0	0	0	0	0	0	0
Menaquinone biosynthesis, futalosine pathway	2	5	5	3	2	2	2
Menaquinone biosynthesis, modified futalosine pathway	1	3	3	2	1	1	1
Phylloquinone biosynthesis, chorismate (+ phytyl-PP) => phylloquinol	8	11	11	11	5	7	3
Plastoquinone biosynthesis, homogentisate + solanesyl-PP => plastoquinol	0	0	0	0	0	0	0
Mycinamicin biosynthesis, malonyl-CoA + methylmalonyl-CoA => protomycinolide IV => mycinamicin II	0	0	0	0	0	0	0
Methanofuran biosynthesis	4	5	4	4	4	4	4
Melatonin biosynthesis, plants, tryptophan => serotonin => melatonin	0	1	2	0	0	0	0
Aflatoxin biosynthesis, malonyl-CoA => aflatoxin B1	0	0	0	0	0	0	0
Pyrimidine deoxyribonucleotide biosynthesis, UDP => dTTP	3	6	6	6	3	3	4
Pyrimidine degradation, uracil => 3-hydroxypropanoate	4	7	7	5	4	5	4
Flavanone biosynthesis, p-coumaroyl-CoA => liquiritigenin	0	0	0	0	0	0	0
Isoflavone biosynthesis, liquiritigenin/naringenin => daidzein/genistein	0	0	0	0	0	0	0
Pterocarpan biosynthesis, daidzein => medicarpin	1	1	1	1	1	1	1
Reticuline biosynthesis, dopamine + 4HPAA => (S)-reticuline	0	0	0	0	0	0	0
Morphine biosynthesis, (S)-reticuline => morphine	0	0	0	0	0	0	0
Sanguinarine biosynthesis, (S)-reticuline => sanguinarine	0	0	0	0	1	0	0
Noscapine biosynthesis, (S)-reticuline => noscapine	0	0	0	0	0	0	0
D-Arginine racemization, D-arginine => L-arginine	1	1	1	1	0	1	1
Hydroxyproline degradation, trans-4-hydroxy-L-proline => 2-oxoglutarate	6	5	7	6	4	6	5
Staphylopine biosynthesis, L-histidine => staphylopine	0	0	0	0	0	0	0
Biotin biosynthesis, BioU pathway, pimeloyl-ACP/CoA => biotin	3	3	3	3	2	3	2
Adenine ribonucleotide degradation, AMP => Urate	2	18	17	12	5	2	2
Guanine ribonucleotide degradation, GMP => Urate	3	18	17	13	7	3	4
