ko	pathway	ERR1995223_bin.1	ERR1995223_bin.2	ERR1995223_bin.3	ERR1995223_bin.4	ERR1995223_bin.5	ERR1995223_bin.6	ERR1995223_bin.7
ko05208	Chemical carcinogenesis - reactive oxygen species	4	6	7	3	2	4	4
ko05210	Colorectal cancer	0	0	0	0	0	0	0
ko05211	Renal cell carcinoma	1	1	1	1	1	1	1
ko05212	Pancreatic cancer	1	0	0	0	1	0	1
ko05213	Endometrial cancer	0	0	0	0	0	0	0
ko05214	Glioma	0	0	0	0	0	0	0
ko05215	Prostate cancer	0	0	0	0	0	0	0
ko05216	Thyroid cancer	0	0	0	0	0	0	0
ko05217	Basal cell carcinoma	0	0	0	0	0	0	0
ko05218	Melanoma	0	0	0	0	0	0	0
ko05219	Bladder cancer	1	1	1	1	1	0	1
ko05220	Chronic myeloid leukemia	0	0	0	0	0	0	0
ko05221	Acute myeloid leukemia	0	0	0	0	0	0	0
ko05222	Small cell lung cancer	0	1	1	0	0	0	0
ko05223	Non-small cell lung cancer	0	0	0	0	0	0	0
ko05224	Breast cancer	0	0	0	0	0	0	0
ko05225	Hepatocellular carcinoma	1	2	2	1	0	1	1
ko05226	Gastric cancer	0	0	0	0	0	0	0
ko05230	Central carbon metabolism in cancer	6	9	9	7	4	7	5
ko05231	Choline metabolism in cancer	2	1	1	2	2	0	3
ko05235	PD-L1 expression and PD-1 checkpoint pathway in cancer	0	0	0	0	0	0	0
ko05310	Asthma	0	0	0	0	0	0	0
ko05320	Autoimmune thyroid disease	0	0	0	0	0	0	0
ko05321	Inflammatory bowel disease	0	0	0	0	0	0	0
ko05322	Systemic lupus erythematosus	0	0	0	0	0	0	0
ko05323	Rheumatoid arthritis	0	0	0	0	0	0	0
ko05330	Allograft rejection	0	0	0	0	0	0	0
ko05332	Graft-versus-host disease	0	0	0	0	0	0	0
ko05340	Primary immunodeficiency	0	1	1	1	0	0	0
ko05410	Hypertrophic cardiomyopathy	0	0	0	0	0	0	0
ko05412	Arrhythmogenic right ventricular cardiomyopathy	0	0	0	0	0	0	0
ko05414	Dilated cardiomyopathy	0	0	0	0	0	0	0
ko05415	Diabetic cardiomyopathy	5	7	7	5	4	5	5
ko05416	Viral myocarditis	0	0	0	0	0	0	0
ko05417	Lipid and atherosclerosis	0	1	1	0	0	0	0
ko05418	Fluid shear stress and atherosclerosis	2	4	4	2	0	2	2
