ko	pathway	ERR1995263_bin.1	ERR1995263_bin.10	ERR1995263_bin.11	ERR1995263_bin.12	ERR1995263_bin.13	ERR1995263_bin.14	ERR1995263_bin.15	ERR1995263_bin.16	ERR1995263_bin.17	ERR1995263_bin.18	ERR1995263_bin.19	ERR1995263_bin.2	ERR1995263_bin.20	ERR1995263_bin.21	ERR1995263_bin.22	ERR1995263_bin.23	ERR1995263_bin.24	ERR1995263_bin.25	ERR1995263_bin.26	ERR1995263_bin.27	ERR1995263_bin.28	ERR1995263_bin.29	ERR1995263_bin.3	ERR1995263_bin.30	ERR1995263_bin.31	ERR1995263_bin.32	ERR1995263_bin.33	ERR1995263_bin.34	ERR1995263_bin.35	ERR1995263_bin.36	ERR1995263_bin.37	ERR1995263_bin.38	ERR1995263_bin.39	ERR1995263_bin.4	ERR1995263_bin.5	ERR1995263_bin.6	ERR1995263_bin.7	ERR1995263_bin.8	ERR1995263_bin.9
ko00906	Carotenoid biosynthesis	14	15	15	13	13	14	14	13	15	14	13	14	13	14	13	14	14	14	14	13	14	15	12	15	13	13	13	13	14	13	14	13	11	13	14	15	14	13	14
ko00908	Zeatin biosynthesis	1	1	1	1	2	2	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	1	1	1	1	0	1	1	2	1
ko00909	Sesquiterpenoid and triterpenoid biosynthesis	1	1	2	2	1	0	0	1	1	1	1	1	1	0	0	1	1	1	1	1	1	2	1	0	1	1	1	2	2	1	1	1	2	1	1	2	1	1	2
ko00910	Nitrogen metabolism	16	15	16	18	13	17	10	23	15	23	25	21	19	14	19	15	18	17	17	17	15	17	15	20	13	15	18	16	16	25	16	15	19	17	17	17	25	29	13
ko00920	Sulfur metabolism	35	43	38	48	35	42	32	48	32	54	52	50	38	35	40	44	50	39	34	40	37	38	45	39	42	36	40	37	34	44	38	42	37	28	39	37	51	59	38
ko00930	Caprolactam degradation	6	8	12	10	6	14	10	14	7	10	15	13	13	7	10	6	11	11	11	11	11	5	15	16	11	14	11	8	8	10	12	12	9	13	7	12	10	7	8
ko00940	Phenylpropanoid biosynthesis	1	4	2	3	0	1	1	3	0	2	3	3	2	1	2	4	3	1	2	1	1	1	2	1	3	1	2	2	2	2	1	3	1	2	1	0	3	2	1
ko00941	Flavonoid biosynthesis	3	1	0	1	0	0	0	4	3	0	4	1	1	3	1	1	1	0	1	0	0	0	1	1	1	0	1	1	0	0	0	1	0	1	0	0	1	0	0
ko00942	Anthocyanin biosynthesis	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0
ko00943	Isoflavonoid biosynthesis	2	1	1	1	1	1	1	2	2	1	2	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ko00944	Flavone and flavonol biosynthesis	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	0	0	1	1	1	1	0	1	1	0	1
ko00945	Stilbenoid, diarylheptanoid and gingerol biosynthesis	1	2	1	2	1	1	1	2	1	1	2	2	2	1	2	2	2	1	2	1	1	1	2	2	2	1	2	2	1	1	1	2	1	2	1	1	2	1	1
ko00950	Isoquinoline alkaloid biosynthesis	7	7	6	7	7	6	8	9	7	6	7	7	6	6	7	6	7	7	6	7	7	6	7	6	7	7	8	7	6	6	7	6	8	7	6	6	7	6	6
ko00960	Tropane, piperidine and pyridine alkaloid biosynthesis	11	10	11	10	9	11	11	11	11	11	10	10	11	11	10	10	10	10	10	10	9	10	10	11	9	9	10	9	11	11	12	9	9	9	12	11	10	11	10
ko00965	Betalain biosynthesis	0	4	3	4	3	0	1	5	3	3	4	4	1	0	1	4	4	0	1	1	0	0	4	1	4	0	4	1	3	0	1	4	1	0	0	0	4	3	0
ko00966	Glucosinolate biosynthesis	2	2	2	2	2	2	1	2	1	1	2	2	2	2	2	1	2	2	1	2	2	2	2	2	2	1	2	2	1	2	2	2	2	2	1	1	2	2	1
ko00970	Aminoacyl-tRNA biosynthesis	35	29	29	30	35	30	34	30	30	37	30	29	34	34	33	31	30	31	37	32	34	36	29	34	29	35	29	30	30	37	32	30	36	33	30	37	30	36	30
ko00980	Metabolism of xenobiotics by cytochrome P450	8	4	8	5	8	6	6	8	3	5	8	8	6	6	7	4	8	6	7	6	6	5	7	8	6	7	7	8	4	6	7	7	7	8	8	8	7	6	4
ko00981	Insect hormone biosynthesis	2	1	1	1	1	1	0	1	1	1	1	1	2	1	1	0	1	2	1	2	1	2	1	1	1	1	1	2	1	1	2	1	1	1	1	1	1	1	0
ko00982	Drug metabolism - cytochrome P450	5	2	5	2	5	5	4	5	2	4	5	5	3	3	4	3	5	4	5	3	3	4	5	6	3	6	4	5	2	4	4	5	5	5	5	5	4	4	2
ko00983	Drug metabolism - other enzymes	13	14	16	16	14	15	15	15	15	13	17	17	15	14	15	13	15	16	14	16	15	13	15	13	14	14	15	12	14	16	15	14	10	14	14	14	16	12	15
ko00984	Steroid degradation	7	11	8	10	7	11	8	10	10	9	10	10	9	10	9	10	10	8	10	8	8	6	10	9	9	7	10	8	9	9	8	9	8	8	9	8	11	10	9
ko00996	Biosynthesis of various alkaloids	0	0	0	1	0	1	1	1	1	1	1	0	0	0	1	0	0	1	1	1	0	0	1	1	0	1	1	0	1	1	1	0	0	0	0	1	0	0	1
ko00997	Biosynthesis of various other secondary metabolites	5	6	5	4	5	6	3	5	4	4	6	5	5	4	4	6	3	6	5	5	6	4	4	5	6	4	3	6	6	6	4	3	5	4	5	6	4	7	4
ko00998	Biosynthesis of various antibiotics	24	18	19	24	14	18	12	22	20	10	22	18	20	19	19	18	21	20	20	21	25	21	19	20	14	19	21	20	14	22	22	18	18	16	13	23	25	19	14
ko00999	Biosynthesis of various plant secondary metabolites	7	6	8	11	7	7	6	11	5	7	10	10	7	5	7	5	6	7	4	7	8	6	8	7	6	7	6	7	5	10	6	5	6	7	5	5	12	6	5
ko01040	Biosynthesis of unsaturated fatty acids	2	3	3	4	3	6	5	3	4	3	3	3	3	3	5	6	4	5	5	5	3	2	3	6	3	4	3	3	5	6	4	3	3	4	2	3	4	4	6
ko01051	Biosynthesis of ansamycins	7	9	9	9	8	9	8	10	7	4	10	8	8	8	7	7	9	6	6	8	9	7	8	9	9	6	7	9	9	7	9	9	7	9	7	7	9	5	8
ko01052	Type I polyketide structures	3	14	12	6	5	8	5	14	12	13	15	13	5	5	5	13	13	5	6	4	8	5	13	6	13	2	5	7	6	6	6	13	5	4	13	5	6	5	4
ko01053	Biosynthesis of siderophore group nonribosomal peptides	12	8	6	11	8	11	5	11	6	5	11	12	12	9	11	10	11	8	5	7	8	10	10	9	7	3	10	9	8	13	12	7	13	9	7	11	10	10	9
ko01054	Nonribosomal peptide structures	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1
ko01055	Biosynthesis of vancomycin group antibiotics	4	6	5	9	6	11	8	9	8	12	12	7	7	3	9	9	8	11	11	9	6	6	10	10	9	8	9	5	7	11	9	9	5	8	4	10	9	8	10
ko01056	Biosynthesis of type II polyketide backbone	2	4	2	4	2	4	3	4	2	5	4	5	4	2	4	4	4	4	4	4	2	4	4	4	4	1	4	4	2	6	4	4	4	1	4	4	4	4	2
ko01057	Biosynthesis of type II polyketide products	15	38	18	17	16	23	18	16	15	20	17	19	16	15	17	16	16	19	17	15	24	15	11	19	13	12	14	17	14	18	20	15	15	14	18	14	17	41	14
ko01059	Biosynthesis of enediyne antibiotics	13	25	18	23	15	24	16	21	14	23	28	29	20	14	23	21	22	18	19	17	19	21	17	20	19	9	17	25	12	25	20	17	19	15	17	17	26	25	12
ko01100	Metabolic pathways	1483	1640	1568	1747	1456	1718	1320	1824	1381	1501	1841	1789	1620	1492	1623	1494	1693	1664	1460	1565	1537	1446	1640	1634	1577	1448	1608	1588	1306	1692	1648	1642	1451	1456	1434	1528	1780	1678	1319
ko01110	Biosynthesis of secondary metabolites	685	802	700	815	677	795	559	814	619	683	825	826	739	635	755	720	788	731	679	714	724	710	771	717	736	596	741	736	570	764	763	763	694	653	589	695	830	785	590
ko01120	Microbial metabolism in diverse environments	471	534	566	555	470	603	465	591	459	538	610	570	552	508	562	500	579	551	479	526	486	467	549	541	529	506	529	534	466	598	545	559	486	470	512	517	561	601	435
ko01200	Carbon metabolism	172	188	205	205	164	211	170	219	171	174	221	210	197	179	199	177	198	198	172	191	169	175	196	192	187	167	199	195	168	203	203	202	181	167	182	196	204	207	164
ko01210	2-Oxocarboxylic acid metabolism	53	50	45	52	51	52	38	51	48	47	51	52	53	44	53	29	52	53	30	53	52	53	50	53	49	35	51	51	32	52	53	52	53	53	37	50	52	52	33
ko01212	Fatty acid metabolism	17	35	13	39	14	44	36	39	23	34	39	35	32	15	44	37	34	44	40	44	20	28	40	41	35	14	39	29	32	43	43	35	28	27	25	45	34	31	33
ko01220	Degradation of aromatic compounds	61	89	92	76	68	86	65	85	67	77	89	82	66	73	71	82	99	71	69	65	71	56	89	81	87	73	89	76	62	85	70	96	60	71	78	69	78	80	56
ko01230	Biosynthesis of amino acids	188	186	169	197	176	196	132	198	170	173	197	198	193	170	193	150	192	191	141	195	186	191	188	192	178	164	193	191	146	192	198	187	186	188	140	187	200	196	140
ko01232	Nucleotide metabolism	45	56	67	58	48	61	57	55	52	46	58	60	58	50	56	51	54	59	56	58	57	45	52	46	55	57	54	53	58	52	57	51	41	56	61	53	56	56	58
ko01240	Biosynthesis of cofactors	184	221	175	239	184	227	149	241	166	211	246	240	219	196	229	222	237	201	228	202	179	201	216	208	209	175	214	183	181	242	216	229	190	179	162	169	248	233	179
ko01250	Biosynthesis of nucleotide sugars	108	111	114	131	114	108	90	119	103	100	129	122	117	102	107	113	113	129	113	102	121	113	119	119	112	118	118	117	79	118	110	124	103	108	98	112	135	121	107
ko01501	beta-Lactam resistance	5	3	4	7	4	5	4	4	3	3	3	8	3	4	4	5	3	3	3	5	5	5	8	4	2	3	6	3	2	2	6	7	4	2	3	1	7	6	4
ko01502	Vancomycin resistance	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7
ko01503	Cationic antimicrobial peptide (CAMP) resistance	7	10	7	10	7	8	7	10	7	10	10	10	7	9	8	9	10	8	10	7	9	9	10	7	10	5	10	9	6	11	7	10	10	5	8	7	10	9	7
ko01521	EGFR tyrosine kinase inhibitor resistance	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko01522	Endocrine resistance	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko01523	Antifolate resistance	4	4	1	4	4	4	0	4	3	4	3	4	3	2	4	4	4	2	4	2	2	2	4	4	4	4	3	2	3	2	2	4	2	4	3	3	4	2	3
ko01524	Platinum drug resistance	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko02010	ABC transporters	1	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0
ko02020	Two-component system	21	25	24	26	18	23	16	24	14	23	28	28	18	24	16	27	23	18	21	18	21	16	29	19	22	17	24	18	16	25	19	26	20	14	24	16	24	27	25
ko02024	Quorum sensing	13	16	11	21	15	17	11	18	16	14	21	19	17	13	18	15	18	15	13	17	14	13	18	17	15	12	20	16	13	16	19	14	15	14	9	15	22	16	15
ko02025	Biofilm formation - Pseudomonas aeruginosa	6	7	5	8	5	8	5	8	5	7	8	8	9	5	8	8	8	7	7	6	5	6	8	7	7	4	8	8	4	8	8	7	8	6	5	8	8	8	5
ko02026	Biofilm formation - Escherichia coli	3	2	3	2	3	3	2	2	2	1	2	3	4	4	4	2	1	4	1	4	4	3	3	4	2	4	3	3	3	1	4	2	3	4	2	3	3	2	3
ko02030	Bacterial chemotaxis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko02040	Flagellar assembly	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko02060	Phosphotransferase system (PTS)	14	10	9	3	2	12	4	1	2	13	1	3	22	2	22	1	4	45	1	28	2	10	1	22	1	53	3	13	1	1	28	2	14	13	24	32	3	19	1
ko03008	Ribosome biogenesis in eukaryotes	0	1	0	1	0	1	0	1	1	0	1	1	1	1	1	1	1	0	1	0	0	1	1	1	1	1	1	1	0	0	0	1	0	1	0	1	1	0	1
ko03010	Ribosome	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko03013	Nucleocytoplasmic transport	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko03015	mRNA surveillance pathway	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko03018	RNA degradation	2	3	3	3	2	3	2	3	3	2	3	3	3	3	3	3	3	3	3	3	2	3	3	3	3	3	3	3	2	3	3	3	3	2	2	3	3	3	2
ko03020	RNA polymerase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko03022	Basal transcription factors	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko03030	DNA replication	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
ko03040	Spliceosome	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko03050	Proteasome	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko03060	Protein export	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko03070	Bacterial secretion system	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko03230	Viral genome structure	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko03240	Viral replication	1	0	0	1	1	0	0	1	0	0	1	1	0	0	1	1	1	0	0	1	0	0	1	0	1	1	0	1	0	0	1	1	0	0	1	1	1	0	0
ko03250	Viral life cycle - HIV-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko03320	PPAR signaling pathway	5	8	4	7	5	9	8	7	7	5	7	7	5	3	9	7	7	8	7	9	3	3	7	7	8	2	7	6	6	8	9	7	5	3	4	9	7	5	7
ko03410	Base excision repair	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ko03420	Nucleotide excision repair	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ko03430	Mismatch repair	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ko03440	Homologous recombination	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko03450	Non-homologous end-joining	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko03460	Fanconi anemia pathway	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04010	MAPK signaling pathway	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04011	MAPK signaling pathway - yeast	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04012	ErbB signaling pathway	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04013	MAPK signaling pathway - fly	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04014	Ras signaling pathway	0	1	1	1	0	1	1	1	0	0	1	0	0	0	1	1	0	1	1	1	1	0	0	0	1	1	1	1	0	0	1	0	0	0	1	1	1	0	1
ko04015	Rap1 signaling pathway	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04016	MAPK signaling pathway - plant	1	1	1	1	1	1	2	1	1	2	3	2	1	1	1	2	2	1	2	1	1	1	1	1	2	1	1	1	1	2	1	1	1	1	1	1	1	1	1
ko04020	Calcium signaling pathway	0	1	0	1	1	1	1	0	1	0	1	1	0	0	1	1	1	1	0	0	1	0	0	1	1	0	1	0	1	0	0	1	0	0	1	0	0	0	1
ko04022	cGMP-PKG signaling pathway	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04024	cAMP signaling pathway	0	1	1	1	0	2	2	1	0	0	1	0	0	0	2	2	0	2	1	2	1	0	0	1	1	1	1	1	1	1	2	0	0	0	0	2	1	0	2
ko04060	Cytokine-cytokine receptor interaction	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04061	Viral protein interaction with cytokine and cytokine receptor	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04062	Chemokine signaling pathway	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04064	NF-kappa B signaling pathway	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04066	HIF-1 signaling pathway	6	6	7	7	7	8	5	7	8	6	9	7	8	6	7	7	7	6	8	8	5	8	6	7	7	8	7	8	7	7	7	8	6	6	7	7	7	7	6
ko04068	FoxO signaling pathway	1	1	0	0	2	0	1	0	1	0	1	0	0	1	0	1	1	0	0	0	0	0	0	0	2	0	0	1	0	1	0	0	0	0	0	1	0	0	0
ko04070	Phosphatidylinositol signaling system	3	5	2	6	2	6	3	5	2	4	5	5	3	3	2	5	5	2	2	1	4	2	5	2	5	2	2	2	3	2	2	5	1	5	5	1	4	4	6
ko04071	Sphingolipid signaling pathway	0	2	2	3	2	2	4	2	3	1	3	2	1	1	3	3	2	3	1	1	3	0	1	4	3	4	4	2	3	2	3	2	1	1	3	2	3	0	4
ko04072	Phospholipase D signaling pathway	1	4	3	4	3	4	4	3	2	1	4	3	2	2	3	4	3	4	2	2	3	1	2	3	4	2	4	2	3	2	3	3	1	2	3	2	2	1	4
ko04075	Plant hormone signal transduction	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04080	Neuroactive ligand-receptor interaction	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04110	Cell cycle	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04111	Cell cycle - yeast	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04112	Cell cycle - Caulobacter	2	2	2	2	2	2	3	2	2	2	2	2	3	3	3	2	2	3	2	3	3	2	2	3	2	3	2	3	2	3	2	2	3	2	2	2	2	3	2
ko04113	Meiosis - yeast	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04114	Oocyte meiosis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04115	p53 signaling pathway	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04120	Ubiquitin mediated proteolysis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04122	Sulfur relay system	10	9	11	9	10	12	11	8	10	14	8	9	10	10	12	9	10	10	10	12	10	10	9	11	10	11	9	8	9	12	12	9	9	7	9	8	10	14	9
ko04130	SNARE interactions in vesicular transport	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04136	Autophagy - other	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04137	Mitophagy - animal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04138	Autophagy - yeast	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04139	Mitophagy - yeast	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04140	Autophagy - animal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04141	Protein processing in endoplasmic reticulum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04142	Lysosome	10	10	2	11	11	2	3	12	1	1	12	13	2	8	3	3	6	5	0	1	2	1	12	4	12	3	12	3	2	2	7	5	7	2	3	7	12	1	2
ko04144	Endocytosis	0	1	1	1	0	1	1	1	0	0	1	0	0	0	1	1	0	1	0	1	1	0	0	0	1	1	1	1	0	0	1	0	0	0	0	1	1	0	1
ko04145	Phagosome	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04146	Peroxisome	10	8	8	8	11	15	15	7	11	11	11	8	10	7	12	8	9	12	7	12	7	8	10	10	9	10	8	9	13	15	13	7	7	7	8	11	9	11	13
ko04150	mTOR signaling pathway	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04151	PI3K-Akt signaling pathway	1	1	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0
ko04152	AMPK signaling pathway	2	2	1	1	3	2	2	1	3	1	2	1	2	1	1	1	1	1	2	2	1	2	1	1	2	2	1	3	2	2	2	2	1	1	2	2	1	3	2
ko04210	Apoptosis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04211	Longevity regulating pathway	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04212	Longevity regulating pathway - worm	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ko04213	Longevity regulating pathway - multiple species	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04214	Apoptosis - fly	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04215	Apoptosis - multiple species	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04216	Ferroptosis	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2
ko04217	Necroptosis	3	3	3	2	3	3	2	3	3	2	3	3	3	3	3	3	2	3	2	3	3	3	3	3	3	3	3	3	3	2	3	3	3	3	3	3	3	3	3
ko04218	Cellular senescence	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04260	Cardiac muscle contraction	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04261	Adrenergic signaling in cardiomyocytes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04270	Vascular smooth muscle contraction	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04310	Wnt signaling pathway	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04320	Dorso-ventral axis formation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
