Pathway	ERR1995253_bin.1	ERR1995253_bin.10	ERR1995253_bin.2	ERR1995253_bin.3	ERR1995253_bin.4	ERR1995253_bin.5	ERR1995253_bin.6	ERR1995253_bin.7	ERR1995253_bin.8	ERR1995253_bin.9
Nocardicin A biosynthesis, L-pHPG + arginine + serine => nocardicin A	1	2	2	4	2	2	0	2	0	2
Methylaspartate cycle	6	6	4	8	6	6	6	1	2	6
Propanoyl-CoA metabolism, propanoyl-CoA => succinyl-CoA	12	12	9	12	9	10	10	0	8	12
Cationic antimicrobial peptide (CAMP) resistance, protease PgtE	0	0	0	0	0	0	0	0	0	0
Imipenem resistance, repression of porin OprD	0	0	0	0	0	0	0	0	0	0
Multidrug resistance, repression of porin OmpF	0	0	0	0	0	0	0	0	0	0
Undecaprenylphosphate alpha-L-Ara4N biosynthesis, UDP-GlcA => undecaprenyl phosphate alpha-L-Ara4N	3	4	3	4	3	3	3	4	3	3
Ornithine biosynthesis, mediated by LysW, glutamate => ornithine	5	5	5	5	5	5	5	2	3	5
Multidrug resistance, efflux pump MexPQ-OpmE	0	0	0	0	0	0	0	0	0	0
Tylosin biosynthesis, methylmalonyl-CoA + malonyl-CoA => tylactone => tylosin	0	8	8	8	0	0	0	0	0	8
Erythromycin biosynthesis, propanoyl-CoA + methylmalonyl-CoA => deoxyerythronolide B => erythromycin A/B	1	4	1	2	1	1	2	1	1	2
Oleandomycin biosynthesis, malonyl-CoA + methylmalonyl-CoA => 8,8a-deoxyoleandolide => oleandomycin	1	1	1	0	0	0	1	0	0	0
Pikromycin/methymycin biosynthesis, methylmalonyl-CoA + malonyl-CoA => narbonolide/10-deoxymethynolide => pikromycin/methymycin	0	0	0	0	0	0	0	0	0	0
Avermectin biosynthesis, 2-methylbutanoyl-CoA/isobutyryl-CoA => 6,8a-Seco-6,8a-deoxy-5-oxoavermectin 1a/1b aglycone => avermectin A1a/B1a/A1b/B1b	3	4	3	3	1	3	3	1	2	3
Type II polyketide backbone biosynthesis, acyl-CoA + malonyl-CoA => polyketide	5	5	4	6	1	5	5	3	5	5
Dihydrokalafungin biosynthesis, octaketide => dihydrokalafungin	1	2	0	4	2	2	3	0	1	2
Tetracycline/oxytetracycline biosynthesis, pretetramide => tetracycline/oxytetracycline	1	3	1	4	1	1	2	1	1	2
Nogalavinone/aklavinone biosynthesis, deoxynogalonate/deoxyaklanonate => nogalavinone/aklavinone	2	2	2	2	1	1	2	0	1	2
Mithramycin biosynthesis, 4-demethylpremithramycinone => mithramycin	0	0	0	0	0	0	0	0	0	0
Tetracenomycin C/8-demethyltetracenomycin C biosynthesis, tetracenomycin F2 => tetracenomycin C/8-demethyltetracenomycin C	0	0	0	0	0	0	1	0	0	0
Elloramycin biosynthesis, 8-demethyltetracenomycin C => elloramycin A	3	3	3	3	3	3	3	0	0	3
Cycloserine biosynthesis, arginine/serine => cycloserine	5	6	1	5	5	5	5	0	0	6
Fumitremorgin alkaloid biosynthesis, tryptophan + proline => fumitremorgin C/A	0	0	0	0	0	0	0	0	0	0
Bacilysin biosynthesis, prephenate => bacilysin	4	5	5	5	4	5	5	4	5	4
Terpentecin biosynthesis, GGAP => terpentecin	0	0	0	0	0	0	0	0	0	0
Rebeccamycin biosynthesis, tryptophan => rebeccamycin	0	1	0	1	1	0	6	0	6	0
Pyrrolnitrin biosynthesis, tryptophan => pyrrolnitrin	1	2	1	2	2	1	1	0	1	1
dTDP-L-rhamnose biosynthesis	4	5	5	4	5	5	5	3	5	5
dTDP-6-deoxy-D-allose biosynthesis	1	2	2	1	2	2	2	0	2	2
dTDP-beta-L-noviose biosynthesis	0	2	2	0	2	2	2	0	2	2
dTDP-D-mycaminose biosynthesis	1	2	0	1	1	2	2	0	1	2
dTDP-D-desosamine biosynthesis	3	5	1	4	2	5	5	2	3	3
dTDP-L-mycarose biosynthesis	2	3	3	1	3	3	3	1	3	3
dTDP-L-oleandrose biosynthesis	1	2	2	1	2	2	2	1	2	2
dTDP-L-megosamine biosynthesis	2	3	2	2	2	4	3	1	3	2
dTDP-L-olivose biosynthesis	1	2	1	1	1	1	2	0	1	1
dTDP-D-forosamine biosynthesis	2	3	0	3	3	4	3	2	1	3
dTDP-D-angolosamine biosynthesis	1	1	1	1	1	2	1	1	2	1
Complete nitrification, comammox, ammonia => nitrite => nitrate	2	2	3	3	0	0	0	0	0	1
Staurosporine biosynthesis, tryptophan => staurosporine	2	3	4	3	0	2	3	2	1	2
Violacein biosynthesis, tryptophan => violacein	0	0	0	1	0	0	0	0	0	0
Nicotine degradation, pyridine pathway, nicotine => 2,6-dihydroxypyridine/succinate semialdehyde	6	1	2	8	0	6	6	0	2	2
Nicotine degradation, pyrrolidine pathway, nicotine => succinate semialdehyde	4	3	4	4	0	5	5	0	3	2
Acarbose biosynthesis, sedoheptulopyranose-7P => acarbose	3	6	3	6	5	5	4	3	4	6
Validamycin A biosynthesis, sedoheptulopyranose-7P => validamycin A	4	8	5	7	7	7	6	2	4	8
Pentalenolactone biosynthesis, farnesyl-PP => pentalenolactone	1	1	1	2	1	1	1	1	1	1
Chlortetracycline biosynthesis, pretetramide => chlortetracycline	2	4	2	5	2	2	3	1	2	3
9-membered enediyne core biosynthesis, malonyl-CoA => 3-hydroxyhexadeca-4,6,8,10,12,14-hexaenoyl-ACP => 9-membered enediyne core	1	1	1	1	1	1	1	0	1	1
10-membered enediyne core biosynthesis, malonyl-CoA => 3-hydroxyhexadeca-4,6,8,10,12,14-hexaenoyl-ACP => 10-membered enediyne core	1	1	1	1	1	1	1	0	1	1
C-1027 benzoxazolinate moiety biosynthesis, chorismate => benzoxazolinyl-CoA	2	5	2	2	2	3	2	1	2	6
C-1027 beta-amino acid moiety biosynthesis, tyrosine => 3-chloro-4,5-dihydroxy-beta-phenylalanyl-PCP	2	3	1	3	1	2	1	1	0	3
Maduropeptin beta-hydroxy acid moiety biosynthesis, tyrosine => 3-(4-hydroxyphenyl)-3-oxopropanoyl-PCP	2	3	2	2	2	2	1	1	0	3
3,6-Dimethylsalicylyl-CoA biosynthesis, malonyl-CoA => 6-methylsalicylate => 3,6-dimethylsalicylyl-CoA	2	3	2	2	1	2	1	1	1	3
Neocarzinostatin naphthoate moiety biosynthesis, malonyl-CoA => 2-hydroxy-5-methyl-1-naphthoate => 2-hydroxy-7-methoxy-5-methyl-1-naphthoyl-CoA	3	3	2	2	1	2	1	1	1	3
Kedarcidin 2-hydroxynaphthoate moiety biosynthesis, malonyl-CoA => 3,6,8-trihydroxy-2-naphthoate => 3-hydroxy-7,8-dimethoxy-6-isopropoxy-2-naphthoyl-CoA	2	2	0	0	0	2	2	0	0	2
Kedarcidin 2-aza-3-chloro-beta-tyrosine moiety biosynthesis, azatyrosine => 2-aza-3-chloro-beta-tyrosyl-PCP	3	3	0	2	0	3	3	0	0	3
Calicheamicin biosynthesis, calicheamicinone => calicheamicin	3	5	1	2	0	1	2	0	1	1
Calicheamicin orsellinate moiety biosynthesis, malonyl-CoA => orsellinate-ACP => 5-iodo-2,3-dimethoxyorsellinate-ACP	2	1	1	2	0	1	1	0	1	1
Pyocyanine biosynthesis, chorismate => pyocyanine	2	4	3	5	2	2	3	1	2	4
Coenzyme F430 biosynthesis, sirohydrochlorin => coenzyme F430	4	2	3	2	2	4	4	2	2	3
Prodigiosin biosynthesis, L-proline => prodigiosin	5	8	5	8	3	6	5	3	4	7
Undecylprodigiosin biosynthesis, L-proline => undecylprodigiosin	6	9	5	10	3	7	5	4	5	8
Tetrahydrofolate biosynthesis, mediated by ribA and trpF, GTP => THF	5	5	4	5	3	3	3	0	1	5
Tetrahydrofolate biosynthesis, mediated by PTPS, GTP => THF	3	3	2	3	3	2	3	2	1	3
Tetrahydrobiopterin biosynthesis, GTP => BH4	2	2	0	2	1	2	1	2	0	2
L-threo-Tetrahydrobiopterin biosynthesis, GTP => L-threo-BH4	3	3	1	3	2	3	2	3	1	3
Arginine biosynthesis, ornithine => arginine	4	4	4	4	4	4	4	1	4	4
Arginine biosynthesis, glutamate => acetylcitrulline => arginine	7	7	7	7	7	7	7	4	5	7
Siroheme biosynthesis, glutamyl-tRNA => siroheme	11	7	11	11	6	10	6	1	4	8
Heme biosynthesis, archaea, siroheme => heme	2	3	2	3	3	3	3	2	3	3
Aurachin biosynthesis, anthranilate => aurachin A	2	2	2	3	1	3	3	2	2	3
C5 isoprenoid biosynthesis, mevalonate pathway, archaea	6	6	4	6	3	6	6	2	3	6
Vibrio cholerae pathogenicity signature, cholera toxins	0	0	0	0	0	0	0	0	0	0
Carbapenem resistance	0	0	0	0	0	0	0	0	0	0
Vibrio cholerae pathogenicity signature, toxin coregulated pilus	0	0	0	0	0	0	0	0	0	0
ETEC pathogenicity signature, colonization factors	0	0	0	0	0	0	0	0	0	0
Glycogen biosynthesis, glucose-1P => glycogen/starch	3	5	2	5	5	4	5	4	2	5
Glycogen degradation, glycogen => glucose-6P	2	8	2	7	7	7	7	8	2	8
Salmonella enterica pathogenicity signature, typhoid toxin	0	0	0	0	0	0	0	0	0	0
Salmonella enterica pathogenicity signature, Vi antigen	2	2	1	2	2	1	1	0	1	2
Bacillus anthracis pathogenicity signature, anthrax toxin	0	0	0	0	0	0	0	0	0	0
Bacillus anthracis pathogenicity signature, polyglutamic acid capsule biosynthesis	0	0	0	0	0	0	0	0	0	0
beta-Oxidation, peroxisome, VLCFA	0	0	0	1	0	0	2	0	0	0
beta-Oxidation, peroxisome, tri/dihydroxycholestanoyl-CoA => choloyl/chenodeoxycholoyl-CoA	0	0	0	1	0	0	1	0	0	0
KDO2-lipid A biosynthesis, Raetz pathway, non-LpxL-LpxM type	10	10	9	9	4	6	5	3	5	10
KDO2-lipid A modification pathway	2	4	1	3	1	2	2	2	2	4
Heme biosynthesis, animals and fungi, glycine => heme	7	4	6	8	1	6	1	1	1	4
O-glycan biosynthesis, mannose type (core M3)	0	1	0	0	2	1	1	2	0	2
Fatty acid biosynthesis in mitochondria, animals	3	3	3	4	4	3	2	1	2	3
Fatty acid biosynthesis in mitochondria, fungi	3	3	3	4	4	3	3	1	3	3
Staphyloferrin B biosynthesis, L-serine => staphyloferrin B	3	3	3	3	2	3	2	1	2	2
Staphyloferrin A biosynthesis, L-ornithine => staphyloferrin A	1	1	0	1	0	1	1	0	0	1
Kanosamine biosynthesis, glucose 6-phosphate => kanosamine	2	3	0	3	3	3	3	2	2	3
Phenylacetate degradation, phenylaxetate => acetyl-CoA/succinyl-CoA	7	7	6	7	4	4	6	1	5	7
Arginine succinyltransferase pathway, arginine => glutamate	2	1	2	5	2	2	2	1	1	2
Molybdenum cofactor biosynthesis, GTP => molybdenum cofactor	6	4	8	8	1	1	6	1	1	1
Lipoic acid biosynthesis, plants and bacteria, octanoyl-ACP => dihydrolipoyl-E2/H	1	2	0	2	0	1	1	0	0	2
Lipoic acid biosynthesis, eukaryotes, octanoyl-ACP => dihydrolipoyl-H	1	2	0	2	0	1	1	0	0	2
Lipoic acid biosynthesis, animals and bacteria, octanoyl-ACP => dihydrolipoyl-H => dihydrolipoyl-E2	1	4	0	4	2	1	1	0	0	2
Lipoic acid biosynthesis, octanoyl-CoA => dihydrolipoyl-E2	1	1	0	1	0	1	1	0	0	1
Puromycin biosynthesis, ATP => puromycin	0	0	0	0	0	0	0	0	0	0
Roseoflavin biosynthesis, FMN => roseoflavin	0	0	0	0	0	0	0	0	0	0
Ditryptophenaline biosynthesis, tryptophan + phenylalanine => ditryptophenaline	0	0	0	0	0	0	0	0	0	0
UDP-N-acetyl-D-glucosamine biosynthesis, eukaryotes, glucose => UDP-GlcNAc	3	4	2	3	3	4	4	3	3	3
Lovastatin biosynthesis, malonyl-CoA => lovastatin acid	0	0	0	0	0	0	0	0	0	0
Cannabidiol biosynthesis, malonyl-CoA => cannabidiol/dronabinol	4	4	0	0	0	0	0	0	0	4
Thiamine biosynthesis, prokaryotes, AIR (+ DXP/glycine) => TMP/TPP	7	9	9	9	8	9	8	4	6	8
Thiamine biosynthesis, archaea, AIR (+ NAD+) => TMP/TPP	5	6	6	6	6	6	5	3	2	6
Thiamine biosynthesis, plants, AIR (+ NAD+) => TMP/thiamine/TPP	1	3	2	2	3	3	2	2	1	3
Thiamine biosynthesis, pyridoxal-5P => TMP/thiamine/TPP	0	1	0	0	1	1	1	1	1	1
Thiamine salvage pathway, HMP/HET => TMP	5	5	5	5	5	5	5	4	0	5
Crocin biosynthesis, crocetin => crocin	0	0	0	0	0	0	0	0	0	0
Fumiquinazoline biosynthesis, tryptophan + alanine + anthranilate => fumiquinazoline	0	0	0	0	0	0	0	0	0	0
Podophyllotoxin biosynthesis, coniferyl alcohol => podophyllotoxin	0	1	1	1	1	1	0	0	0	1
Fosfomycin biosynthesis, phosphoenolpyruvate => fosfomycin	3	1	2	3	1	1	3	0	1	3
Dapdiamides biosynthesis, L-2,3-diaminopropanoate => dapdiamide A/B/C	1	1	0	1	1	1	1	1	1	1
Grixazone biosynthesis, aspartate 4-semialdehyde => grixazone B	0	1	0	1	0	0	1	0	0	1
Ethynylserine biosynthesis, lysine => ethynylserine	1	1	1	1	1	1	1	0	0	1
UDP-N-acetyl-D-glucosamine biosynthesis, prokaryotes, glucose => UDP-GlcNAc	7	7	6	7	7	7	7	7	7	7
Phenylalanine biosynthesis, chorismate => arogenate => phenylalanine	2	2	2	2	2	2	2	1	2	2
Riboflavin biosynthesis, fungi, GTP => riboflavin/FMN/FAD	6	6	4	5	2	5	1	0	2	6
NAD biosynthesis, tryptophan => quinolinate => NAD	5	7	6	7	6	7	7	5	7	7
Pantothenate biosynthesis, 2-oxoisovalerate/spermine => pantothenate	3	4	4	4	2	2	2	2	2	4
Coenzyme A biosynthesis, archaea, 2-oxoisovalerate => 4-phosphopantoate => CoA	4	3	3	5	2	2	2	1	2	3
Caffeine degradation, caffeine => xanthine	0	0	0	0	0	0	0	0	0	0
Pyridoxal-P biosynthesis, R5P + glyceraldehyde-3P + glutamine => pyridoxal-P	1	1	1	1	2	2	2	0	1	1
Phytosterol biosynthesis, squalene 2,3-epoxide => campesterol/sitosterol	2	2	2	3	1	2	2	2	1	2
Aerobactin biosynthesis, lysine => aerobactin	0	1	1	1	0	0	1	1	0	0
Ectoine degradation, ectoine => aspartate	3	2	3	4	3	4	3	2	2	3
Cyclooctatin biosynthesis, dimethylallyl-PP + isopentenyl-PP => cyclooctatin	1	1	1	1	1	1	1	0	0	1
CMP-Neu5Ac biosynthesis	2	1	1	1	0	1	2	1	0	2
UDP-L-FucNAm biosynthesis	1	1	1	1	1	1	1	1	1	1
Cobalamin biosynthesis, anaerobic, uroporphyrinogen III => sirohydrochlorin => cobyrinate a,c-diamide	20	12	10	14	8	20	20	6	7	17
Cobalamin biosynthesis, aerobic, uroporphyrinogen III => precorrin 2 => cobyrinate a,c-diamide	14	11	8	12	6	14	13	5	6	14
Heme biosynthesis, bacteria, glutamyl-tRNA => coproporphyrin III => heme	10	6	9	9	4	8	4	1	3	6
Gibberellin A12 biosynthesis, GAPP => GA12	0	0	0	0	0	0	0	0	0	0
Gibberellin A4/A1 biosynthesis, GA12/GA53 => GA4/GA1	0	0	0	0	0	0	0	0	0	0
Gibberellin A1 biosynthesis, GGPP => GA1	0	0	0	0	0	0	0	0	0	0
Menaquinone biosynthesis, futalosine pathway	3	4	3	5	3	7	6	2	2	4
Menaquinone biosynthesis, modified futalosine pathway	2	3	2	3	1	5	4	1	1	3
Phylloquinone biosynthesis, chorismate (+ phytyl-PP) => phylloquinol	11	11	11	11	7	8	7	4	3	10
Plastoquinone biosynthesis, homogentisate + solanesyl-PP => plastoquinol	0	0	0	0	0	0	0	0	0	0
Mycinamicin biosynthesis, malonyl-CoA + methylmalonyl-CoA => protomycinolide IV => mycinamicin II	0	0	0	0	0	0	0	0	0	0
Methanofuran biosynthesis	5	3	4	5	4	4	4	3	3	3
Melatonin biosynthesis, plants, tryptophan => serotonin => melatonin	0	0	0	1	0	1	0	0	0	1
Aflatoxin biosynthesis, malonyl-CoA => aflatoxin B1	0	0	0	0	0	0	0	0	0	0
Pyrimidine deoxyribonucleotide biosynthesis, UDP => dTTP	6	6	6	6	3	2	4	2	4	6
Pyrimidine degradation, uracil => 3-hydroxypropanoate	5	5	5	7	5	5	4	3	4	5
Flavanone biosynthesis, p-coumaroyl-CoA => liquiritigenin	0	0	0	0	0	0	0	0	0	0
Isoflavone biosynthesis, liquiritigenin/naringenin => daidzein/genistein	0	0	0	0	0	0	0	0	0	0
Pterocarpan biosynthesis, daidzein => medicarpin	1	1	1	1	1	1	1	1	1	1
Reticuline biosynthesis, dopamine + 4HPAA => (S)-reticuline	0	0	0	0	0	0	0	0	0	0
Morphine biosynthesis, (S)-reticuline => morphine	0	0	0	0	0	0	0	0	0	0
Sanguinarine biosynthesis, (S)-reticuline => sanguinarine	0	1	0	0	0	0	0	0	0	1
Noscapine biosynthesis, (S)-reticuline => noscapine	0	0	0	0	0	0	0	0	0	0
D-Arginine racemization, D-arginine => L-arginine	1	1	1	1	1	2	1	0	1	1
Hydroxyproline degradation, trans-4-hydroxy-L-proline => 2-oxoglutarate	5	5	6	5	5	6	5	3	5	5
Staphylopine biosynthesis, L-histidine => staphylopine	0	0	0	0	0	0	0	0	0	0
Biotin biosynthesis, BioU pathway, pimeloyl-ACP/CoA => biotin	3	3	2	3	2	3	3	2	2	3
Adenine ribonucleotide degradation, AMP => Urate	13	5	2	18	3	12	15	5	2	6
Guanine ribonucleotide degradation, GMP => Urate	14	7	4	18	3	12	16	7	4	8
