ko	pathway	ERR1995267_bin.1	ERR1995267_bin.2	ERR1995267_bin.4	ERR1995267_bin.5	ERR1995267_bin.6	ERR1995267_bin.7	ERR1995267_bin.8
ko05208	Chemical carcinogenesis - reactive oxygen species	5	4	6	1	5	4	6
ko05210	Colorectal cancer	0	0	0	0	0	0	0
ko05211	Renal cell carcinoma	1	1	1	1	1	1	1
ko05212	Pancreatic cancer	1	0	0	0	1	0	0
ko05213	Endometrial cancer	0	0	0	0	0	0	0
ko05214	Glioma	0	0	0	0	0	0	0
ko05215	Prostate cancer	0	0	0	0	0	0	1
ko05216	Thyroid cancer	0	0	0	0	0	0	0
ko05217	Basal cell carcinoma	0	0	0	0	0	0	0
ko05218	Melanoma	0	0	0	0	0	0	0
ko05219	Bladder cancer	1	1	1	1	0	0	1
ko05220	Chronic myeloid leukemia	0	0	0	0	0	0	0
ko05221	Acute myeloid leukemia	0	0	0	0	0	0	0
ko05222	Small cell lung cancer	0	0	1	0	0	0	1
ko05223	Non-small cell lung cancer	0	0	0	0	0	0	0
ko05224	Breast cancer	0	0	0	0	0	0	0
ko05225	Hepatocellular carcinoma	1	1	2	0	1	2	3
ko05226	Gastric cancer	0	0	0	0	0	0	0
ko05230	Central carbon metabolism in cancer	7	6	9	3	7	6	9
ko05231	Choline metabolism in cancer	2	0	1	1	2	1	1
ko05235	PD-L1 expression and PD-1 checkpoint pathway in cancer	0	0	0	0	0	0	0
ko05310	Asthma	0	0	0	0	0	0	0
ko05320	Autoimmune thyroid disease	0	0	0	0	0	0	0
ko05321	Inflammatory bowel disease	0	0	0	0	0	0	0
ko05322	Systemic lupus erythematosus	0	0	0	0	0	0	0
ko05323	Rheumatoid arthritis	0	0	0	0	1	0	0
ko05330	Allograft rejection	0	0	0	0	0	0	0
ko05332	Graft-versus-host disease	0	0	0	0	0	0	0
ko05340	Primary immunodeficiency	1	0	1	0	1	1	1
ko05410	Hypertrophic cardiomyopathy	0	0	0	0	0	0	0
ko05412	Arrhythmogenic right ventricular cardiomyopathy	0	0	0	0	0	0	0
ko05414	Dilated cardiomyopathy	0	0	0	0	0	0	0
ko05415	Diabetic cardiomyopathy	5	5	7	3	4	5	7
ko05416	Viral myocarditis	0	0	0	0	0	0	0
ko05417	Lipid and atherosclerosis	0	0	1	0	0	0	1
ko05418	Fluid shear stress and atherosclerosis	2	2	4	0	2	3	5
