ko	pathway	ERR1995234_bin.1	ERR1995234_bin.10	ERR1995234_bin.11	ERR1995234_bin.12	ERR1995234_bin.13	ERR1995234_bin.14	ERR1995234_bin.15	ERR1995234_bin.16	ERR1995234_bin.17	ERR1995234_bin.18	ERR1995234_bin.19	ERR1995234_bin.2	ERR1995234_bin.20	ERR1995234_bin.21	ERR1995234_bin.22	ERR1995234_bin.23	ERR1995234_bin.24	ERR1995234_bin.25	ERR1995234_bin.26	ERR1995234_bin.27	ERR1995234_bin.28	ERR1995234_bin.29	ERR1995234_bin.30	ERR1995234_bin.31	ERR1995234_bin.32	ERR1995234_bin.33	ERR1995234_bin.34	ERR1995234_bin.36	ERR1995234_bin.37	ERR1995234_bin.38	ERR1995234_bin.39	ERR1995234_bin.4	ERR1995234_bin.40	ERR1995234_bin.41	ERR1995234_bin.42	ERR1995234_bin.43	ERR1995234_bin.44	ERR1995234_bin.45	ERR1995234_bin.46	ERR1995234_bin.47	ERR1995234_bin.48	ERR1995234_bin.49	ERR1995234_bin.5	ERR1995234_bin.50	ERR1995234_bin.6	ERR1995234_bin.7	ERR1995234_bin.8	ERR1995234_bin.9
ko00650	Butanoate metabolism	51	63	53	64	70	61	55	58	67	52	46	67	45	49	67	48	32	62	69	60	62	69	55	54	56	59	63	53	47	40	72	66	55	68	59	46	54	56	59	70	54	58	60	39	47	56	64	51
ko00660	C5-Branched dibasic acid metabolism	10	10	13	11	14	10	9	7	11	9	10	10	6	11	14	4	1	12	11	11	10	11	10	10	9	14	10	7	9	3	17	15	10	12	11	3	10	9	12	18	11	15	8	3	9	8	10	11
ko00670	One carbon pool by folate	19	22	16	21	26	16	16	17	16	17	22	26	19	20	16	21	9	21	19	25	22	16	23	21	25	28	10	14	16	16	18	24	16	22	10	14	15	19	25	20	22	20	18	14	22	24	21	20
ko00680	Methane metabolism	84	83	76	87	88	88	84	66	87	88	63	93	62	74	94	80	66	85	78	100	84	87	80	78	88	91	84	69	73	57	78	87	70	88	73	67	77	76	81	96	75	82	78	54	79	72	90	84
ko00710	Carbon fixation in photosynthetic organisms	12	14	15	15	16	14	16	13	13	13	14	17	13	14	16	16	14	16	16	17	16	14	14	14	15	18	15	10	13	13	16	17	16	15	14	11	16	11	14	16	14	16	14	11	11	12	16	12
ko00720	Carbon fixation pathways in prokaryotes	70	71	73	76	75	73	72	63	69	69	64	81	46	61	80	60	36	72	69	79	74	75	71	66	75	79	64	62	57	45	67	70	63	75	67	62	67	65	72	75	62	72	60	52	54	58	73	57
ko00730	Thiamine metabolism	21	18	17	22	20	20	21	15	21	21	20	20	15	23	18	19	14	20	20	22	20	23	21	18	20	21	18	12	20	17	18	21	18	22	16	9	21	20	16	19	19	20	21	10	20	22	20	20
ko00740	Riboflavin metabolism	19	28	20	30	29	25	25	16	24	29	19	31	16	21	30	24	19	29	28	33	26	28	20	23	24	31	28	17	18	24	22	30	24	26	19	16	30	23	24	29	25	22	17	19	18	18	30	30
ko00750	Vitamin B6 metabolism	8	10	10	10	11	11	9	9	12	9	10	13	8	10	13	10	7	12	12	10	12	11	11	9	9	13	12	6	8	7	12	11	10	13	8	5	9	10	11	11	13	11	8	6	9	11	13	12
ko00760	Nicotinate and nicotinamide metabolism	35	40	50	49	39	34	35	36	38	37	31	38	41	50	54	45	29	35	50	56	36	47	35	31	49	39	37	30	44	28	57	59	46	38	50	32	39	42	33	38	37	49	47	30	42	47	35	51
ko00770	Pantothenate and CoA biosynthesis	25	28	27	27	30	25	28	23	28	28	23	31	20	27	30	20	15	30	29	27	29	29	25	22	29	30	26	17	25	17	28	23	27	22	19	15	31	23	24	32	24	26	18	15	21	19	29	26
ko00780	Biotin metabolism	15	17	16	16	17	16	15	11	18	13	13	18	11	15	17	15	7	18	14	16	14	16	15	12	14	18	16	12	16	8	17	13	12	16	12	12	15	14	17	16	16	15	11	14	15	15	17	15
ko00785	Lipoic acid metabolism	1	5	0	1	4	0	0	4	1	0	4	6	0	1	5	1	0	0	1	1	1	0	1	0	1	4	3	0	0	0	3	4	0	1	0	0	0	0	3	1	1	0	4	1	0	5	6	1
ko00790	Folate biosynthesis	30	48	28	40	45	33	26	32	43	32	44	48	31	28	43	33	18	43	52	52	44	33	34	42	49	46	40	22	29	28	27	47	28	54	24	23	43	34	43	45	44	29	30	19	33	35	50	36
ko00791	Atrazine degradation	6	1	3	7	2	6	12	3	4	3	5	2	3	1	10	3	3	2	8	9	8	6	7	6	12	1	2	4	3	1	4	5	6	7	7	4	6	5	2	6	6	1	4	4	4	4	2	7
ko00830	Retinol metabolism	6	8	6	8	8	7	8	8	8	7	7	8	6	7	8	6	5	8	8	8	8	7	8	8	8	8	8	7	6	5	8	8	6	6	8	7	8	4	6	7	8	7	6	6	6	5	8	6
ko00860	Porphyrin metabolism	63	52	59	68	58	64	57	47	64	59	35	71	38	64	74	63	29	60	58	72	55	68	60	43	69	75	50	35	58	39	63	52	45	55	42	35	55	62	68	81	61	64	44	37	57	61	56	62
ko00900	Terpenoid backbone biosynthesis	23	30	29	28	30	28	28	13	30	28	27	30	20	28	29	28	19	28	30	27	30	29	29	27	29	25	28	22	29	25	28	28	26	28	27	24	30	29	27	28	28	29	26	24	28	16	32	22
ko00901	Indole alkaloid biosynthesis	2	1	0	0	2	0	2	0	1	1	2	1	0	1	0	2	0	0	3	1	2	0	1	1	2	0	1	1	0	0	0	0	1	1	1	0	3	1	0	1	1	2	0	0	2	1	3	2
ko00902	Monoterpenoid biosynthesis	5	8	6	6	8	6	6	3	6	5	7	8	6	8	8	6	3	5	8	7	5	6	6	4	6	8	5	4	7	3	4	4	6	6	3	4	4	9	5	4	7	8	3	4	7	3	8	5
ko00903	Limonene and pinene degradation	7	10	10	10	9	7	6	7	7	6	6	9	10	8	10	8	6	10	8	6	9	9	6	7	5	5	6	10	7	4	10	10	8	9	9	10	7	5	9	8	10	9	8	7	5	8	6	7
ko00904	Diterpenoid biosynthesis	5	5	5	5	5	5	9	5	5	5	0	5	0	5	5	0	0	5	0	6	5	5	5	5	5	5	5	4	5	5	5	1	5	0	5	0	5	5	5	5	5	5	5	0	5	5	1	5
ko00905	Brassinosteroid biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00906	Carotenoid biosynthesis	12	12	14	13	13	12	13	12	14	13	13	14	12	13	12	13	12	14	14	13	13	12	14	13	13	13	13	14	12	11	15	14	14	15	14	15	16	14	12	13	15	13	11	15	14	14	13	14
ko00908	Zeatin biosynthesis	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	2	1	1	2	2	1	1	1	0	1	1	2	1	2	1	2	1	1	1	1	1	2	1	1	1	1	1	2	1	2
ko00909	Sesquiterpenoid and triterpenoid biosynthesis	1	1	1	0	1	0	2	0	2	1	1	2	0	1	1	0	1	1	1	1	1	1	2	1	2	1	0	2	1	1	1	0	1	0	0	2	2	1	1	1	0	1	2	1	1	0	1	1
ko00910	Nitrogen metabolism	18	15	17	19	19	20	19	13	18	16	15	24	15	15	15	20	9	16	24	22	19	20	17	15	21	26	12	8	15	11	16	15	15	22	12	11	16	19	16	25	16	18	13	7	15	14	20	16
ko00920	Sulfur metabolism	37	47	35	40	46	39	36	35	42	40	26	54	30	37	39	41	27	49	39	48	45	36	34	33	40	51	36	30	36	37	42	44	37	53	32	31	36	31	40	44	33	41	36	26	30	34	43	37
ko00930	Caprolactam degradation	6	14	10	10	15	5	7	6	13	6	6	15	8	8	12	12	7	12	14	12	11	10	7	6	10	9	10	8	4	3	14	11	11	12	10	7	7	8	9	10	13	11	8	5	8	10	12	8
ko00940	Phenylpropanoid biosynthesis	1	2	1	2	3	1	1	1	1	1	2	3	2	1	3	2	0	2	3	2	2	1	1	0	2	3	3	0	1	1	1	2	1	0	1	0	1	3	3	2	2	1	0	0	3	2	3	2
ko00941	Flavonoid biosynthesis	0	1	0	1	1	0	0	0	0	0	1	4	0	0	1	0	0	1	1	1	1	0	0	3	1	1	1	0	0	1	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	0	1	4
ko00942	Anthocyanin biosynthesis	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00943	Isoflavonoid biosynthesis	1	1	1	1	1	1	1	1	1	0	1	2	0	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	2
ko00944	Flavone and flavonol biosynthesis	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	0	1	1	1	1	1	0	1	0	1	0	1	0	1	0	0	1	1	0	1	1	0	0	1	0	1	0
ko00945	Stilbenoid, diarylheptanoid and gingerol biosynthesis	1	2	1	2	2	1	1	1	1	0	2	2	0	1	2	1	1	2	2	2	2	1	1	1	2	2	2	1	1	2	1	1	1	1	1	1	1	2	2	1	2	1	1	1	2	1	2	2
ko00950	Isoquinoline alkaloid biosynthesis	6	7	6	7	8	7	8	7	8	7	6	7	6	6	7	6	6	6	7	8	6	6	7	6	7	7	6	2	8	6	7	7	7	7	8	3	7	7	6	6	7	7	6	3	8	6	7	7
ko00960	Tropane, piperidine and pyridine alkaloid biosynthesis	9	10	12	10	10	10	10	9	9	10	9	10	8	10	12	8	9	10	9	12	10	10	10	11	10	10	8	7	10	9	10	11	9	11	11	5	10	10	9	11	9	10	10	6	9	10	8	10
ko00965	Betalain biosynthesis	0	4	0	1	2	3	1	1	0	0	0	4	0	0	1	0	0	4	2	4	1	0	0	0	5	4	4	0	0	1	3	3	0	0	1	0	1	1	4	0	1	1	0	0	2	0	4	2
ko00966	Glucosinolate biosynthesis	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	0	2	2	2	2	2	2	2	2	2	2	0	2	0	2	2	2	2	1	0	2	2	2	2	2	2	1	0	2	2	2	2
ko00970	Aminoacyl-tRNA biosynthesis	34	30	31	33	30	34	36	29	34	33	34	30	30	32	36	34	34	31	33	33	33	34	36	34	33	30	29	34	33	29	30	30	33	38	34	34	36	36	28	37	34	31	30	33	30	29	29	33
ko00980	Metabolism of xenobiotics by cytochrome P450	5	8	4	8	8	6	7	7	8	7	8	8	3	6	8	5	4	7	8	8	8	6	7	8	8	7	7	6	5	3	7	6	6	6	6	6	6	7	5	6	8	6	5	5	6	2	8	5
ko00981	Insect hormone biosynthesis	2	1	2	1	1	2	2	2	1	2	1	1	1	2	1	1	1	2	1	1	2	1	1	1	1	0	1	1	1	1	2	2	1	1	0	1	2	2	1	1	2	2	1	2	1	1	1	1
ko00982	Drug metabolism - cytochrome P450	3	5	2	6	5	4	5	5	5	4	5	5	2	3	5	3	3	5	6	6	5	4	5	5	6	4	5	5	2	4	5	4	3	5	4	5	5	7	2	5	6	3	2	5	3	1	5	3
ko00983	Drug metabolism - other enzymes	14	14	16	15	17	14	13	13	13	13	13	17	12	16	15	14	14	17	15	15	15	15	14	12	16	14	12	13	15	14	16	15	15	15	15	14	14	18	14	16	14	15	14	14	13	14	14	12
ko00984	Steroid degradation	8	9	8	10	8	8	8	8	8	8	7	9	8	7	7	7	6	10	9	8	9	9	8	8	8	10	10	7	4	8	11	10	8	9	8	7	9	8	10	9	9	8	9	6	6	6	9	8
ko00996	Biosynthesis of various alkaloids	0	1	1	1	1	0	0	0	0	0	0	1	1	0	1	0	0	1	1	0	1	1	0	0	0	0	0	1	0	0	1	1	0	1	1	1	0	0	1	1	1	1	1	0	0	1	0	0
ko00997	Biosynthesis of various other secondary metabolites	4	4	6	4	4	3	6	4	5	6	4	7	2	4	5	6	2	4	6	4	6	5	4	5	6	4	5	3	4	3	5	5	7	5	4	3	5	5	4	6	5	4	6	2	5	3	5	5
ko00998	Biosynthesis of various antibiotics	21	19	19	19	18	12	20	13	21	21	12	21	10	22	23	16	12	19	22	21	23	20	19	23	18	21	19	20	20	11	12	17	25	12	12	17	20	19	15	22	24	22	21	17	19	11	15	20
ko00999	Biosynthesis of various plant secondary metabolites	5	5	7	6	11	6	6	5	7	7	8	10	5	7	11	6	4	6	11	7	7	5	6	6	6	12	5	4	8	5	7	7	8	6	7	4	6	6	11	10	7	7	5	4	4	4	7	5
ko01040	Biosynthesis of unsaturated fatty acids	3	3	4	5	3	5	3	2	4	3	4	3	5	4	4	2	2	4	6	4	6	6	3	2	4	4	3	1	3	3	6	4	3	2	5	1	3	2	4	6	6	5	4	1	4	6	3	3
ko01051	Biosynthesis of ansamycins	8	8	6	6	8	7	7	9	9	9	6	10	6	8	8	8	4	8	7	7	8	7	8	6	6	8	10	6	7	6	8	6	10	6	8	7	8	5	7	7	8	9	8	5	7	7	10	5
ko01052	Type I polyketide structures	6	6	5	5	6	11	5	4	6	5	2	15	4	4	5	5	2	13	5	13	7	3	6	3	12	5	14	5	6	0	5	12	8	14	4	6	6	3	6	6	5	5	4	4	5	7	14	2
ko01053	Biosynthesis of siderophore group nonribosomal peptides	10	10	8	10	9	13	13	7	12	12	9	11	6	7	8	3	7	11	7	9	10	13	12	11	12	10	6	4	5	6	12	7	8	11	7	5	12	9	10	13	9	7	8	1	9	9	11	8
ko01054	Nonribosomal peptide structures	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1
ko01055	Biosynthesis of vancomycin group antibiotics	5	10	8	9	12	8	6	4	8	5	6	12	6	6	12	6	3	10	10	5	9	10	5	4	6	7	8	10	8	3	8	7	6	10	8	9	6	4	6	11	9	9	8	6	7	7	9	6
ko01056	Biosynthesis of type II polyketide backbone	4	4	4	4	4	4	4	2	4	4	1	4	2	4	4	4	2	4	4	4	4	4	4	2	4	4	4	4	4	2	3	2	2	5	3	4	4	3	4	6	4	4	2	4	4	2	4	2
ko01057	Biosynthesis of type II polyketide products	18	16	17	17	17	16	15	16	18	16	14	18	16	16	18	16	4	17	19	20	19	16	16	14	16	17	18	12	13	6	18	25	24	20	17	10	19	9	16	18	18	15	14	13	14	19	19	16
ko01059	Biosynthesis of enediyne antibiotics	18	17	17	23	25	20	23	14	20	20	13	28	11	16	18	15	9	22	14	25	23	22	19	16	22	26	19	16	14	12	15	18	20	25	15	17	18	20	22	26	18	16	16	15	14	14	20	17
ko01100	Metabolic pathways	1467	1638	1600	1647	1699	1538	1520	1304	1701	1484	1378	1838	1165	1525	1734	1418	1027	1668	1695	1765	1636	1647	1485	1443	1627	1747	1574	1188	1447	1129	1664	1636	1529	1609	1340	1181	1494	1490	1570	1695	1630	1604	1342	1097	1456	1324	1682	1477
ko01110	Biosynthesis of secondary metabolites	701	764	694	764	784	705	741	613	779	700	607	828	496	693	782	627	434	786	776	779	773	736	701	668	740	767	742	523	678	475	695	696	728	712	568	522	729	656	718	765	727	723	592	513	652	570	781	633
ko01120	Microbial metabolism in diverse environments	487	548	527	567	546	510	487	454	554	498	442	605	401	491	608	491	323	538	591	622	531	584	482	462	559	562	533	390	444	362	579	608	484	592	478	388	489	495	514	607	517	551	467	327	483	472	578	516
ko01200	Carbon metabolism	177	195	187	202	206	188	181	163	187	178	161	222	143	171	217	172	121	188	196	213	198	200	183	169	194	206	183	147	161	125	195	197	169	191	170	148	169	179	184	205	182	202	175	125	165	165	200	167
ko01210	2-Oxocarboxylic acid metabolism	52	50	52	53	51	53	53	46	53	53	52	51	26	53	53	34	18	51	53	53	53	53	53	53	53	51	51	13	50	23	49	48	52	49	38	13	53	47	52	52	53	52	36	17	52	48	52	52
ko01212	Fatty acid metabolism	29	40	43	44	34	28	28	16	40	29	22	39	31	33	32	27	7	39	42	29	45	44	28	17	27	34	35	32	24	12	36	30	20	38	36	34	29	19	33	43	41	44	32	24	28	34	34	17
ko01220	Degradation of aromatic compounds	60	89	59	75	80	72	61	72	83	62	69	88	58	62	82	60	47	86	82	85	62	83	67	65	77	78	95	58	54	53	88	96	70	84	65	57	68	62	74	87	77	73	61	49	65	60	102	70
ko01230	Biosynthesis of amino acids	184	188	188	193	189	190	192	160	191	185	188	199	123	193	195	161	114	190	194	196	196	188	187	185	190	189	182	98	179	139	184	169	185	183	138	106	190	182	184	193	196	196	152	104	179	155	193	180
ko01232	Nucleotide metabolism	53	51	59	58	59	45	49	48	51	46	48	58	53	60	58	55	51	53	55	62	49	55	49	43	56	54	52	46	59	50	70	59	58	55	57	52	45	60	54	52	47	59	54	48	56	54	52	53
ko01240	Biosynthesis of cofactors	207	218	200	231	236	206	203	162	229	209	178	245	158	207	249	192	121	229	221	241	215	225	204	177	226	245	208	132	192	145	214	216	175	220	151	135	217	197	223	242	216	206	168	132	193	200	234	215
ko01250	Biosynthesis of nucleotide sugars	112	119	128	115	122	115	113	92	130	98	89	128	62	106	127	94	84	123	122	117	121	110	98	106	104	125	106	115	128	79	100	97	121	90	89	112	106	101	100	117	120	112	93	111	113	65	122	103
ko01501	beta-Lactam resistance	4	8	3	4	4	4	4	4	4	4	3	4	4	4	4	4	3	7	4	5	4	4	4	5	5	7	7	7	5	5	5	5	5	2	4	8	4	5	4	2	4	4	4	7	4	4	8	2
ko01502	Vancomycin resistance	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	6	7	7	7	7	7	7	7	7	7
ko01503	Cationic antimicrobial peptide (CAMP) resistance	7	10	10	7	10	8	8	8	9	7	5	10	6	7	10	5	8	8	7	8	8	7	7	8	8	10	9	10	9	6	9	8	9	11	7	9	8	7	9	11	7	7	7	10	8	6	10	8
ko01521	EGFR tyrosine kinase inhibitor resistance	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko01522	Endocrine resistance	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko01523	Antifolate resistance	2	4	2	4	4	2	2	3	2	2	4	4	4	2	2	4	1	4	4	4	3	2	4	4	4	4	1	3	2	3	2	4	2	4	0	3	2	3	4	2	4	2	3	2	4	4	4	3
ko01524	Platinum drug resistance	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	1	0	0	0	0
ko02010	ABC transporters	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0
ko02020	Two-component system	16	30	18	17	26	23	20	13	24	18	14	28	14	21	22	19	13	23	18	23	17	22	19	19	19	26	20	17	19	16	27	23	20	35	18	16	16	23	23	25	19	25	20	11	18	15	25	16
ko02024	Quorum sensing	16	19	14	18	16	19	17	13	21	18	13	20	11	17	15	12	10	19	17	16	19	19	17	13	16	20	15	10	14	11	14	17	14	15	11	11	17	15	18	16	17	17	13	8	15	13	16	12
ko02025	Biofilm formation - Pseudomonas aeruginosa	8	8	7	8	8	10	8	5	10	8	6	8	4	7	7	5	5	6	7	6	8	8	10	6	6	8	7	7	6	5	6	8	5	6	5	7	9	7	6	8	7	7	4	6	7	5	8	4
ko02026	Biofilm formation - Escherichia coli	3	3	3	4	3	3	3	3	2	3	4	2	3	4	3	4	2	3	4	4	3	4	3	2	4	2	2	2	4	2	2	2	4	1	2	2	3	4	3	1	4	4	3	3	3	2	2	4
ko02030	Bacterial chemotaxis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko02040	Flagellar assembly	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko02060	Phosphotransferase system (PTS)	5	1	44	22	3	2	14	1	8	21	14	1	2	23	57	53	10	3	55	22	10	36	21	11	28	3	10	15	22	8	1	1	2	13	14	15	10	22	1	1	22	45	1	15	15	1	2	13
ko03008	Ribosome biogenesis in eukaryotes	1	1	0	1	1	0	0	1	1	1	1	1	0	0	0	0	1	1	1	1	1	0	1	0	0	1	0	1	1	1	0	0	0	1	0	1	1	1	1	0	1	0	0	1	1	0	1	1
ko03010	Ribosome	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko03013	Nucleocytoplasmic transport	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko03015	mRNA surveillance pathway	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko03018	RNA degradation	3	2	3	3	3	3	3	1	3	3	2	3	3	3	2	2	3	3	3	3	3	3	3	2	3	3	3	3	3	3	2	3	2	2	2	3	3	3	2	3	3	3	2	3	3	2	3	3
ko03020	RNA polymerase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko03022	Basal transcription factors	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko03030	DNA replication	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	3	2	1	2	2	2	2	2	2	2	2	2
ko03040	Spliceosome	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko03050	Proteasome	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko03060	Protein export	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko03070	Bacterial secretion system	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko03230	Viral genome structure	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko03240	Viral replication	1	1	0	0	1	1	0	0	0	1	1	1	0	0	0	0	0	0	1	1	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	1	0
ko03250	Viral life cycle - HIV-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko03320	PPAR signaling pathway	5	7	8	9	5	6	5	5	9	6	3	7	8	6	2	2	4	6	7	4	9	9	6	5	3	7	7	3	3	2	8	8	3	7	8	3	5	3	6	8	7	9	6	1	4	8	7	3
ko03410	Base excision repair	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	0	1	1	1	1	1	1	1	1	1
ko03420	Nucleotide excision repair	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	0	1	1	1	1	1	1	1	1	1
ko03430	Mismatch repair	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	0	1	1	1	1	1	1	1	1	1
ko03440	Homologous recombination	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko03450	Non-homologous end-joining	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ko03460	Fanconi anemia pathway	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04010	MAPK signaling pathway	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04011	MAPK signaling pathway - yeast	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ko04012	ErbB signaling pathway	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04013	MAPK signaling pathway - fly	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04014	Ras signaling pathway	1	0	1	1	1	1	1	0	0	1	0	1	0	1	0	0	1	1	0	0	1	1	1	0	1	1	0	0	1	0	1	1	1	0	1	0	0	1	1	0	0	1	0	0	1	0	1	0
ko04015	Rap1 signaling pathway	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04016	MAPK signaling pathway - plant	1	1	1	1	2	1	1	1	2	1	1	3	1	1	2	2	1	2	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	2	2	1	1	1	1	2	1	1	1	0	2	1	1	1
ko04020	Calcium signaling pathway	0	0	1	1	1	1	0	1	0	0	0	1	1	0	0	1	0	0	1	1	1	1	0	0	1	1	1	2	0	1	1	1	1	0	1	0	0	0	0	0	1	1	1	0	1	1	1	0
ko04022	cGMP-PKG signaling pathway	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04024	cAMP signaling pathway	1	0	2	2	1	1	1	0	1	1	0	1	1	1	0	0	1	1	1	0	2	2	1	0	1	1	0	0	1	0	2	2	1	0	2	0	0	1	1	1	1	2	1	0	1	1	1	0
ko04060	Cytokine-cytokine receptor interaction	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
