ko	pathway	ERR1995254_bin.1	ERR1995254_bin.10	ERR1995254_bin.11	ERR1995254_bin.12	ERR1995254_bin.13	ERR1995254_bin.14	ERR1995254_bin.15	ERR1995254_bin.16	ERR1995254_bin.17	ERR1995254_bin.18	ERR1995254_bin.19	ERR1995254_bin.2	ERR1995254_bin.20	ERR1995254_bin.21	ERR1995254_bin.22	ERR1995254_bin.23	ERR1995254_bin.24	ERR1995254_bin.25	ERR1995254_bin.26	ERR1995254_bin.27	ERR1995254_bin.28	ERR1995254_bin.29	ERR1995254_bin.3	ERR1995254_bin.30	ERR1995254_bin.31	ERR1995254_bin.32	ERR1995254_bin.33	ERR1995254_bin.34	ERR1995254_bin.35	ERR1995254_bin.36	ERR1995254_bin.37	ERR1995254_bin.38	ERR1995254_bin.39	ERR1995254_bin.4	ERR1995254_bin.40	ERR1995254_bin.41	ERR1995254_bin.42	ERR1995254_bin.43	ERR1995254_bin.44	ERR1995254_bin.5	ERR1995254_bin.6	ERR1995254_bin.7	ERR1995254_bin.8	ERR1995254_bin.9
ko00760	Nicotinate and nicotinamide metabolism	38	55	38	49	49	34	39	35	47	34	47	33	38	46	50	38	46	21	36	37	36	35	35	34	32	27	34	27	36	36	50	45	34	47	31	34	37	34	24	54	51	34	42	36
ko00770	Pantothenate and CoA biosynthesis	30	26	24	27	24	28	21	30	26	23	29	17	26	27	20	22	28	21	27	32	20	24	29	27	23	23	26	19	30	28	29	27	27	21	26	24	29	28	14	23	27	26	30	19
ko00780	Biotin metabolism	18	16	18	16	15	14	16	14	16	17	16	9	16	16	13	14	12	12	14	16	9	12	17	14	13	14	16	10	18	17	16	14	16	14	18	15	15	15	5	16	16	16	15	9
ko00785	Lipoic acid metabolism	6	1	7	1	0	1	1	1	1	4	1	0	1	0	5	0	0	4	0	1	0	3	3	5	4	4	1	3	0	5	1	2	0	0	1	0	0	1	0	1	1	1	3	3
ko00790	Folate biosynthesis	47	37	37	40	29	41	40	44	32	47	42	26	33	29	25	39	29	29	31	45	29	47	42	39	45	36	37	20	41	46	39	48	32	26	39	26	27	45	18	45	37	36	49	26
ko00791	Atrazine degradation	2	7	1	6	1	6	5	8	4	1	6	6	6	1	4	7	6	3	8	6	5	2	2	2	1	3	6	3	1	1	7	7	6	3	2	5	7	8	3	7	7	4	7	1
ko00830	Retinol metabolism	6	8	8	7	8	8	6	8	6	8	6	8	8	7	8	8	6	8	7	7	7	7	7	6	8	7	8	6	8	8	6	6	7	6	8	8	8	8	2	8	6	8	6	8
ko00860	Porphyrin metabolism	70	66	49	68	65	68	46	54	61	49	59	28	72	65	58	44	50	37	45	82	38	51	70	49	49	34	65	41	61	61	66	53	64	57	64	53	57	57	25	60	63	66	50	41
ko00900	Terpenoid backbone biosynthesis	28	30	29	28	27	25	29	30	28	29	23	18	29	28	26	28	26	27	29	28	26	25	29	27	29	26	28	26	30	31	29	29	28	24	28	28	27	29	16	29	28	30	29	27
ko00901	Indole alkaloid biosynthesis	1	2	1	0	2	1	2	2	2	0	3	0	1	0	1	2	1	0	0	1	1	0	0	1	0	2	1	0	0	0	0	1	0	0	0	1	1	2	0	1	1	1	0	0
ko00902	Monoterpenoid biosynthesis	8	5	7	6	8	5	6	5	5	5	6	4	5	8	3	6	6	3	6	4	5	7	8	8	6	7	5	4	5	8	7	7	6	3	8	5	5	6	4	6	5	6	5	4
ko00903	Limonene and pinene degradation	9	10	9	10	9	7	6	9	8	9	9	7	10	7	8	7	8	6	7	8	8	5	9	7	6	5	7	9	10	10	10	9	7	10	6	6	6	10	3	10	7	10	9	7
ko00904	Diterpenoid biosynthesis	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	0	0	5	5	5	5	5	5	5	5	5	5	5	5	0	5	5	5	0	0
ko00905	Brassinosteroid biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00906	Carotenoid biosynthesis	14	14	13	13	13	13	13	13	13	12	13	12	13	13	14	14	13	12	13	13	14	14	13	14	13	13	13	14	14	13	13	13	12	14	13	14	15	13	12	13	13	13	14	12
ko00908	Zeatin biosynthesis	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1
ko00909	Sesquiterpenoid and triterpenoid biosynthesis	1	1	1	0	0	1	1	1	2	2	1	1	0	1	0	0	1	1	1	1	0	1	1	1	1	0	2	2	1	1	1	2	0	1	1	2	2	1	0	1	2	1	1	2
ko00910	Nitrogen metabolism	25	17	23	19	18	18	17	19	20	19	18	9	22	16	18	16	15	10	15	25	13	15	17	15	13	15	19	13	16	21	19	19	20	16	21	18	17	17	11	17	18	20	26	12
ko00920	Sulfur metabolism	50	41	47	40	40	35	39	45	39	40	44	31	43	38	36	41	37	30	37	44	39	42	41	42	34	26	40	32	48	52	44	41	39	38	48	40	40	42	28	39	41	38	57	39
ko00930	Caprolactam degradation	14	13	14	10	12	8	11	11	10	11	14	7	12	8	11	9	11	6	8	10	7	6	10	11	8	6	7	11	12	11	13	10	5	9	7	8	7	10	4	15	8	12	8	6
ko00940	Phenylpropanoid biosynthesis	3	2	2	2	1	2	1	2	2	3	2	0	2	1	1	1	1	1	1	2	1	4	3	3	3	1	2	1	2	2	3	2	1	2	3	1	1	2	0	2	2	2	2	1
ko00941	Flavonoid biosynthesis	4	4	1	1	0	1	1	1	1	1	1	0	1	0	0	0	0	0	0	0	0	1	1	1	1	0	1	0	1	1	1	1	0	0	1	0	0	1	0	1	1	1	0	0
ko00942	Anthocyanin biosynthesis	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00943	Isoflavonoid biosynthesis	2	2	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1
ko00944	Flavone and flavonol biosynthesis	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1	0	0	1	1	1	1	1	0	1	0	0	1	0	1	1	1	0	1
ko00945	Stilbenoid, diarylheptanoid and gingerol biosynthesis	1	2	2	2	1	2	2	2	2	2	2	1	2	1	1	1	1	1	1	1	1	2	2	2	2	1	2	0	2	2	2	2	1	1	2	1	1	2	1	1	2	2	1	1
ko00950	Isoquinoline alkaloid biosynthesis	7	7	6	7	7	6	8	6	6	6	7	7	7	6	6	6	7	7	7	6	7	6	7	7	7	6	6	6	6	7	8	7	7	6	7	6	6	8	6	6	7	7	6	6
ko00960	Tropane, piperidine and pyridine alkaloid biosynthesis	10	11	10	10	12	9	10	10	10	12	10	9	11	12	9	11	9	11	10	11	11	9	9	9	10	9	10	11	10	10	10	10	10	12	9	9	10	10	7	10	10	10	9	11
ko00965	Betalain biosynthesis	1	2	1	1	1	1	1	1	1	4	5	0	1	0	3	3	0	0	0	0	0	4	4	4	4	0	1	3	4	1	1	1	3	0	4	0	0	2	0	1	1	1	4	3
ko00966	Glucosinolate biosynthesis	2	2	2	2	2	2	1	2	2	1	2	0	2	2	2	2	2	1	2	2	1	1	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	0	2	2	2	2	2
ko00970	Aminoacyl-tRNA biosynthesis	28	33	28	33	32	32	34	33	34	30	34	33	34	32	29	36	34	31	36	37	30	30	28	30	30	33	34	31	31	30	36	35	34	30	27	36	36	33	34	34	35	31	37	30
ko00980	Metabolism of xenobiotics by cytochrome P450	6	7	8	7	7	7	6	8	5	7	6	6	8	6	8	7	6	5	7	6	6	4	6	6	6	8	7	4	7	7	6	5	6	4	7	8	7	7	3	7	6	7	6	8
ko00981	Insect hormone biosynthesis	1	1	1	1	2	1	2	2	1	1	1	1	2	2	1	1	1	0	1	1	1	0	1	1	0	1	1	0	2	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1
ko00982	Drug metabolism - cytochrome P450	3	5	5	4	4	6	4	5	3	4	4	5	6	3	5	5	3	4	4	5	4	3	3	3	4	5	5	4	5	4	3	2	4	2	4	6	6	6	3	5	3	4	4	5
ko00983	Drug metabolism - other enzymes	15	14	16	15	16	12	15	15	15	16	16	13	16	16	15	13	15	12	14	16	11	13	15	14	15	13	14	13	17	17	15	16	14	13	15	13	13	14	11	14	16	15	14	13
ko00984	Steroid degradation	9	8	8	9	8	8	9	9	8	10	9	7	8	7	7	8	8	9	7	9	9	10	10	10	9	6	8	10	10	11	10	10	8	8	10	6	6	7	6	10	7	9	8	9
ko00996	Biosynthesis of various alkaloids	1	1	1	1	1	0	0	1	0	1	1	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	1	1	1	1	0	1	0	1	0	1	0	1	0	1	1	0
ko00997	Biosynthesis of various other secondary metabolites	6	6	5	4	4	5	5	6	4	4	6	3	6	4	6	6	6	3	4	6	4	6	4	6	1	5	5	4	4	5	3	6	3	6	4	5	4	6	2	5	4	4	7	5
ko00998	Biosynthesis of various antibiotics	21	20	19	18	22	19	22	23	21	17	22	16	21	20	19	23	25	16	21	22	11	16	20	12	19	12	24	10	19	20	19	16	14	13	19	20	22	21	5	18	24	18	13	20
ko00999	Biosynthesis of various plant secondary metabolites	10	5	11	6	10	7	7	7	8	10	7	6	7	7	7	5	8	4	7	10	6	4	11	6	5	8	5	6	8	10	7	7	7	5	12	6	6	7	2	7	7	7	7	5
ko01040	Biosynthesis of unsaturated fatty acids	3	4	3	5	5	4	4	6	4	3	5	1	5	4	4	4	3	3	4	6	3	6	4	3	3	4	3	5	4	3	5	5	5	5	4	3	2	4	1	6	3	6	4	3
ko01051	Biosynthesis of ansamycins	11	5	8	6	8	7	8	8	8	9	7	6	7	8	9	9	10	6	7	7	6	7	8	9	9	6	8	6	9	7	6	6	7	9	9	8	7	6	3	6	7	5	6	9
ko01052	Type I polyketide structures	8	3	6	5	4	6	4	7	6	13	6	3	6	6	12	3	8	3	5	6	3	13	6	13	13	2	4	1	13	5	4	4	11	6	6	6	5	4	0	5	4	3	13	11
ko01053	Biosynthesis of siderophore group nonribosomal peptides	11	8	11	10	7	5	11	10	13	10	10	3	11	7	6	12	8	4	8	13	8	10	11	7	10	9	11	8	11	11	13	11	13	8	5	11	10	8	3	9	12	13	7	8
ko01054	Nonribosomal peptide structures	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1
ko01055	Biosynthesis of vancomycin group antibiotics	12	10	8	9	9	5	9	9	7	11	9	4	9	7	3	6	6	4	8	11	4	8	8	7	9	4	8	8	11	10	11	9	8	7	6	7	7	10	3	11	6	10	12	5
ko01056	Biosynthesis of type II polyketide backbone	4	4	3	4	4	1	4	4	4	4	4	2	4	4	2	3	2	2	4	6	1	1	4	1	4	3	4	2	4	4	4	4	4	2	4	4	4	4	1	4	4	4	4	2
ko01057	Biosynthesis of type II polyketide products	18	16	15	17	15	15	16	19	18	14	16	12	20	21	14	14	23	15	12	18	12	16	17	15	12	14	14	9	17	16	17	16	16	14	16	16	16	15	2	22	16	17	18	17
ko01059	Biosynthesis of enediyne antibiotics	23	22	24	22	16	22	18	23	19	18	22	7	17	21	11	15	19	13	23	26	12	22	23	22	19	9	18	13	21	25	23	21	20	10	24	19	22	22	9	22	19	21	21	15
ko01100	Metabolic pathways	1724	1649	1667	1615	1601	1474	1575	1641	1566	1610	1637	1135	1639	1533	1465	1513	1534	1118	1451	1697	1217	1424	1673	1576	1411	1298	1590	1245	1686	1665	1712	1631	1545	1334	1620	1478	1489	1525	831	1683	1625	1592	1612	1350
ko01110	Biosynthesis of secondary metabolites	773	705	782	753	725	670	698	774	710	741	758	468	766	716	620	698	727	513	664	770	524	676	767	730	652	579	745	546	799	779	748	747	707	560	743	720	731	729	331	746	744	747	711	610
ko01120	Microbial metabolism in diverse environments	570	595	569	560	553	484	509	534	522	508	560	368	545	499	539	513	486	370	485	603	415	469	523	524	435	423	513	429	543	531	574	569	509	488	533	475	485	490	260	573	542	527	591	443
ko01200	Carbon metabolism	209	204	209	196	205	169	181	198	192	192	191	126	201	181	198	176	171	150	173	206	150	164	190	184	164	155	189	168	195	201	198	201	188	175	195	180	181	183	108	210	190	191	197	163
ko01210	2-Oxocarboxylic acid metabolism	51	51	50	53	49	50	52	53	53	34	53	23	53	52	44	53	52	27	53	52	34	28	50	49	32	52	53	36	51	52	53	53	53	33	49	53	53	51	17	53	53	53	52	44
ko01212	Fatty acid metabolism	38	36	31	44	44	25	30	45	32	39	45	9	43	34	14	19	20	17	29	43	16	30	35	28	34	23	29	25	39	39	44	42	28	36	32	28	28	36	4	43	31	44	33	17
ko01220	Degradation of aromatic compounds	75	89	85	72	76	62	65	63	60	81	72	53	70	65	82	70	71	57	68	85	58	79	78	89	79	66	68	70	85	77	69	70	72	65	78	63	67	61	24	78	64	80	85	66
ko01230	Biosynthesis of amino acids	192	183	189	188	191	179	194	196	195	153	190	128	195	189	170	193	185	127	183	193	140	144	191	183	136	185	194	138	192	193	196	195	189	144	182	192	191	182	95	193	192	198	181	161
ko01232	Nucleotide metabolism	56	59	58	56	60	43	50	49	59	55	59	48	55	63	59	44	57	40	47	52	47	50	54	53	53	44	48	50	52	59	60	57	45	61	52	49	47	45	42	58	61	47	54	52
ko01240	Biosynthesis of cofactors	238	225	217	229	206	214	186	218	209	215	222	127	226	205	183	178	181	152	185	243	155	206	234	205	202	171	215	154	225	231	232	221	209	185	220	196	205	214	102	211	218	218	217	152
ko01250	Biosynthesis of nucleotide sugars	119	108	97	114	102	95	120	121	112	125	116	98	108	108	89	103	120	71	106	118	91	112	123	108	121	65	128	81	132	109	126	111	116	70	106	119	113	117	67	115	122	105	101	110
ko01501	beta-Lactam resistance	4	2	7	4	4	5	4	4	5	4	5	4	4	4	4	5	5	2	4	2	4	5	7	2	3	3	4	4	7	7	5	4	4	2	7	5	5	4	3	4	5	5	7	4
ko01502	Vancomycin resistance	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	6	7	7	7	7	7	7	7	5	7	7	7	7	7
ko01503	Cationic antimicrobial peptide (CAMP) resistance	10	8	9	7	7	8	8	9	7	11	9	7	9	6	7	8	9	7	8	11	7	8	10	9	9	5	8	8	9	10	8	7	8	6	10	9	9	8	6	10	7	8	9	9
ko01521	EGFR tyrosine kinase inhibitor resistance	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko01522	Endocrine resistance	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko01523	Antifolate resistance	4	3	2	4	2	3	3	3	3	4	3	3	4	2	1	2	2	4	4	2	3	4	4	2	4	2	4	2	4	4	3	4	2	3	4	2	2	3	1	4	3	4	4	1
ko01524	Platinum drug resistance	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ko02010	ABC transporters	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko02020	Two-component system	25	18	22	16	25	15	19	17	22	23	19	12	18	21	21	24	21	12	17	25	18	21	23	18	26	15	21	20	24	26	22	18	22	18	24	16	16	18	13	18	20	17	28	18
ko02024	Quorum sensing	19	18	19	18	17	17	14	20	19	18	20	10	20	15	12	15	14	15	16	16	10	12	18	13	15	15	17	9	18	19	22	19	20	12	17	13	13	17	6	18	18	20	16	13
ko02025	Biofilm formation - Pseudomonas aeruginosa	8	7	8	8	6	7	6	8	9	8	8	4	8	7	5	6	5	5	7	8	5	6	6	5	8	6	8	4	8	8	9	8	10	4	7	6	6	6	5	8	8	9	8	4
ko02026	Biofilm formation - Escherichia coli	2	4	2	4	4	4	3	3	3	4	4	2	3	4	2	3	4	1	2	1	2	2	3	2	3	4	4	2	3	3	4	3	3	2	3	3	3	4	2	4	3	3	1	4
ko02030	Bacterial chemotaxis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko02040	Flagellar assembly	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko02060	Phosphotransferase system (PTS)	1	13	3	22	23	21	11	10	11	4	22	10	11	22	4	14	2	0	11	1	1	1	3	1	1	14	10	1	3	3	22	20	2	1	3	10	10	12	15	22	11	38	14	12
ko03008	Ribosome biogenesis in eukaryotes	1	1	1	1	0	0	1	1	1	1	1	1	1	1	0	0	0	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0
ko03010	Ribosome	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko03013	Nucleocytoplasmic transport	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko03015	mRNA surveillance pathway	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko03018	RNA degradation	3	3	2	3	2	3	3	3	3	2	3	3	3	3	2	2	2	2	2	3	3	2	3	3	2	2	3	2	3	2	3	3	3	2	3	3	3	3	3	3	3	3	2	3
ko03020	RNA polymerase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko03022	Basal transcription factors	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko03030	DNA replication	2	2	1	2	2	2	2	2	2	2	2	1	2	1	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2
ko03040	Spliceosome	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko03050	Proteasome	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko03060	Protein export	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko03070	Bacterial secretion system	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko03230	Viral genome structure	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko03240	Viral replication	1	0	0	0	1	0	0	0	1	0	1	0	1	1	0	1	0	0	0	0	1	1	1	1	0	1	1	0	0	0	1	1	1	0	1	0	0	0	1	1	1	1	0	0
ko03250	Viral life cycle - HIV-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko03320	PPAR signaling pathway	6	5	5	9	9	6	4	9	5	7	9	2	8	5	3	6	3	4	6	8	3	6	6	7	6	3	5	5	7	7	9	9	6	6	7	3	3	4	4	8	5	8	5	4
ko03410	Base excision repair	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ko03420	Nucleotide excision repair	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ko03430	Mismatch repair	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ko03440	Homologous recombination	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko03450	Non-homologous end-joining	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko03460	Fanconi anemia pathway	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04010	MAPK signaling pathway	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04011	MAPK signaling pathway - yeast	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04012	ErbB signaling pathway	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04013	MAPK signaling pathway - fly	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04014	Ras signaling pathway	0	1	1	1	1	1	1	1	1	0	0	1	0	1	1	0	1	1	0	0	1	1	0	1	1	0	1	0	1	1	1	1	0	0	1	0	0	1	0	1	1	0	0	1
ko04015	Rap1 signaling pathway	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04016	MAPK signaling pathway - plant	2	1	2	1	1	1	1	1	1	2	1	0	1	1	1	1	1	1	1	2	1	2	1	2	1	1	1	1	2	3	1	1	1	1	1	1	1	1	1	1	1	1	2	1
ko04020	Calcium signaling pathway	1	0	1	1	1	1	1	1	0	1	1	0	1	0	1	1	1	1	0	0	1	1	1	1	1	0	0	1	0	1	1	1	1	1	1	0	0	0	0	1	0	1	0	1
ko04022	cGMP-PKG signaling pathway	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04024	cAMP signaling pathway	0	1	1	2	2	1	1	2	1	0	1	1	1	1	1	0	1	1	0	1	1	2	0	1	1	0	1	1	1	1	2	2	0	1	1	0	0	1	0	2	1	1	0	1
ko04060	Cytokine-cytokine receptor interaction	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04061	Viral protein interaction with cytokine and cytokine receptor	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04062	Chemokine signaling pathway	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04064	NF-kappa B signaling pathway	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04066	HIF-1 signaling pathway	7	8	8	5	6	7	7	8	8	6	5	6	7	6	6	7	5	5	6	8	7	2	6	7	6	6	7	6	7	6	8	7	8	6	8	8	8	8	4	8	8	6	6	8
ko04068	FoxO signaling pathway	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	1	0	2	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1
ko04070	Phosphatidylinositol signaling system	5	2	4	2	2	3	2	3	3	2	1	5	2	1	2	6	4	3	2	2	6	5	2	5	2	4	3	2	5	4	6	2	3	3	4	2	2	0	2	5	2	5	5	5
ko04071	Sphingolipid signaling pathway	2	2	1	2	3	3	5	3	2	1	2	1	2	1	3	2	2	5	1	3	3	3	2	3	2	1	1	1	1	2	3	3	1	3	4	0	0	2	1	3	2	2	1	2
ko04072	Phospholipase D signaling pathway	3	3	2	3	4	3	3	4	3	3	3	3	3	2	4	2	3	4	0	2	3	4	3	4	4	1	3	3	3	3	4	4	3	3	3	1	1	2	1	4	3	2	1	3
ko04075	Plant hormone signal transduction	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04080	Neuroactive ligand-receptor interaction	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04110	Cell cycle	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04111	Cell cycle - yeast	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04112	Cell cycle - Caulobacter	2	3	2	3	3	3	3	3	3	2	3	2	3	3	2	2	3	3	3	3	2	2	2	2	2	3	3	2	2	2	3	3	3	2	2	2	2	3	3	3	3	3	2	2
ko04113	Meiosis - yeast	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ko04114	Oocyte meiosis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04115	p53 signaling pathway	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04120	Ubiquitin mediated proteolysis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04122	Sulfur relay system	8	12	10	12	11	8	8	9	9	11	14	8	9	12	10	8	10	6	8	11	10	9	9	10	9	7	10	5	9	10	12	10	10	9	10	9	10	9	8	11	9	10	15	9
