ko	pathway	ERR1995224_bin.1	ERR1995224_bin.2	ERR1995224_bin.3	ERR1995224_bin.4	ERR1995224_bin.5	ERR1995224_bin.6	ERR1995224_bin.7	ERR1995224_bin.8	ERR1995224_bin.9
ko04977	Vitamin digestion and absorption	0	0	0	0	0	0	0	0	0
ko04978	Mineral absorption	0	0	0	0	0	0	0	0	0
ko04979	Cholesterol metabolism	0	0	0	0	0	0	0	0	0
ko05010	Alzheimer disease	2	2	2	2	2	2	3	2	3
ko05012	Parkinson disease	1	1	1	1	1	1	1	1	1
ko05014	Amyotrophic lateral sclerosis	1	0	1	2	1	1	3	1	2
ko05016	Huntington disease	1	0	1	1	0	1	1	1	0
ko05017	Spinocerebellar ataxia	0	0	0	0	0	0	0	0	0
ko05020	Prion disease	0	0	0	0	0	0	0	0	0
ko05022	Pathways of neurodegeneration - multiple diseases	2	1	2	3	2	2	4	2	3
ko05030	Cocaine addiction	1	1	1	1	1	1	1	1	1
ko05031	Amphetamine addiction	1	1	1	1	1	1	1	1	1
ko05032	Morphine addiction	0	0	0	0	0	0	0	0	0
ko05033	Nicotine addiction	0	0	0	0	0	0	0	0	0
ko05034	Alcoholism	1	1	1	1	1	1	1	1	1
ko05100	Bacterial invasion of epithelial cells	0	0	0	0	0	0	0	0	0
ko05110	Vibrio cholerae infection	1	0	1	0	0	0	0	0	1
ko05111	Biofilm formation - Vibrio cholerae	6	5	6	5	4	6	9	6	4
ko05120	Epithelial cell signaling in Helicobacter pylori infection	0	0	0	0	0	1	1	1	0
ko05130	Pathogenic Escherichia coli infection	1	1	1	1	1	1	1	1	1
ko05131	Shigellosis	0	0	0	1	0	0	0	1	0
ko05132	Salmonella infection	1	1	1	1	1	1	1	1	1
ko05133	Pertussis	0	0	0	0	0	0	2	0	1
ko05134	Legionellosis	1	1	1	1	1	1	1	1	1
ko05135	Yersinia infection	0	0	0	0	0	0	0	0	0
ko05140	Leishmaniasis	0	0	0	0	0	0	1	0	1
ko05142	Chagas disease	0	0	0	0	0	0	1	0	1
ko05143	African trypanosomiasis	0	0	0	0	0	0	0	0	0
ko05144	Malaria	0	0	0	0	0	0	0	0	0
ko05145	Toxoplasmosis	0	0	0	0	0	0	1	0	1
ko05146	Amoebiasis	1	1	1	2	1	1	3	1	2
ko05150	Staphylococcus aureus infection	2	1	2	2	2	2	2	1	2
ko05152	Tuberculosis	1	0	1	1	1	0	1	1	1
ko05160	Hepatitis C	0	0	0	0	0	0	0	0	0
ko05161	Hepatitis B	0	0	0	0	0	0	0	0	0
ko05162	Measles	0	0	0	0	0	0	0	0	0
ko05163	Human cytomegalovirus infection	0	0	0	0	0	0	0	0	0
ko05164	Influenza A	0	0	0	0	0	0	0	0	0
ko05165	Human papillomavirus infection	1	1	1	1	1	1	1	1	1
ko05166	Human T-cell leukemia virus 1 infection	0	0	0	0	0	0	0	0	0
ko05167	Kaposi sarcoma-associated herpesvirus infection	0	0	0	0	0	0	0	0	0
ko05168	Herpes simplex virus 1 infection	0	0	0	0	0	0	0	0	0
ko05169	Epstein-Barr virus infection	0	0	0	0	0	0	0	0	0
ko05170	Human immunodeficiency virus 1 infection	0	0	0	0	0	0	0	0	0
ko05171	Coronavirus disease - COVID-19	0	0	0	0	0	0	0	0	0
ko05200	Pathways in cancer	3	3	2	3	2	3	4	2	3
ko05202	Transcriptional misregulation in cancer	0	0	0	0	0	0	0	0	0
ko05203	Viral carcinogenesis	1	1	1	1	1	1	1	1	1
ko05204	Chemical carcinogenesis - DNA adducts	1	1	1	1	1	1	3	1	1
ko05205	Proteoglycans in cancer	0	0	0	0	0	0	0	0	0
ko05206	MicroRNAs in cancer	3	2	2	2	2	2	2	1	1
ko05207	Chemical carcinogenesis - receptor activation	0	0	0	1	1	1	2	0	0
ko05208	Chemical carcinogenesis - reactive oxygen species	4	4	3	6	5	5	6	3	4
ko05210	Colorectal cancer	0	0	0	0	0	0	0	0	0
ko05211	Renal cell carcinoma	1	1	1	1	1	1	1	1	1
ko05212	Pancreatic cancer	1	1	1	1	1	1	0	0	1
ko05213	Endometrial cancer	0	0	0	0	0	0	0	0	0
ko05214	Glioma	0	0	0	0	0	0	0	0	0
ko05215	Prostate cancer	0	0	0	0	0	0	0	0	0
ko05216	Thyroid cancer	0	0	0	0	0	0	0	0	0
ko05217	Basal cell carcinoma	0	0	0	0	0	0	0	0	0
ko05218	Melanoma	0	0	0	0	0	0	0	0	0
ko05219	Bladder cancer	1	1	0	1	0	0	1	1	1
ko05220	Chronic myeloid leukemia	0	0	0	0	0	0	0	0	0
ko05221	Acute myeloid leukemia	0	0	0	0	0	0	0	0	0
ko05222	Small cell lung cancer	0	0	0	0	0	0	1	0	1
ko05223	Non-small cell lung cancer	0	0	0	0	0	0	0	0	0
ko05224	Breast cancer	0	0	0	0	0	0	0	0	0
ko05225	Hepatocellular carcinoma	1	1	0	1	0	1	2	1	0
ko05226	Gastric cancer	0	0	0	0	0	0	0	0	0
ko05230	Central carbon metabolism in cancer	9	5	7	10	8	8	9	8	8
ko05231	Choline metabolism in cancer	3	3	2	3	2	3	1	2	2
ko05235	PD-L1 expression and PD-1 checkpoint pathway in cancer	0	0	0	0	0	0	0	0	0
ko05310	Asthma	0	0	0	0	0	0	0	0	0
ko05320	Autoimmune thyroid disease	0	0	0	0	0	0	0	0	0
ko05321	Inflammatory bowel disease	0	0	0	0	0	0	0	0	0
ko05322	Systemic lupus erythematosus	0	0	0	0	0	0	0	0	0
ko05323	Rheumatoid arthritis	1	0	0	0	1	0	0	0	0
ko05330	Allograft rejection	0	0	0	0	0	0	0	0	0
ko05332	Graft-versus-host disease	0	0	0	0	0	0	0	0	0
ko05340	Primary immunodeficiency	0	0	0	0	0	1	1	0	0
ko05410	Hypertrophic cardiomyopathy	0	0	0	0	0	0	0	0	0
ko05412	Arrhythmogenic right ventricular cardiomyopathy	0	0	0	0	0	0	0	0	0
ko05414	Dilated cardiomyopathy	0	0	0	0	0	0	0	0	0
ko05415	Diabetic cardiomyopathy	6	5	4	6	5	5	7	5	6
ko05416	Viral myocarditis	0	0	0	0	0	0	0	0	0
ko05417	Lipid and atherosclerosis	0	0	0	0	0	0	1	0	1
ko05418	Fluid shear stress and atherosclerosis	2	1	1	2	1	2	4	2	2
