ko	pathway	ERR1995225_bin.1	ERR1995225_bin.10	ERR1995225_bin.11	ERR1995225_bin.12	ERR1995225_bin.13	ERR1995225_bin.14	ERR1995225_bin.15	ERR1995225_bin.16	ERR1995225_bin.17	ERR1995225_bin.18	ERR1995225_bin.19	ERR1995225_bin.2	ERR1995225_bin.20	ERR1995225_bin.21	ERR1995225_bin.22	ERR1995225_bin.23	ERR1995225_bin.24	ERR1995225_bin.25	ERR1995225_bin.26	ERR1995225_bin.27	ERR1995225_bin.28	ERR1995225_bin.29	ERR1995225_bin.3	ERR1995225_bin.30	ERR1995225_bin.31	ERR1995225_bin.32	ERR1995225_bin.33	ERR1995225_bin.34	ERR1995225_bin.35	ERR1995225_bin.36	ERR1995225_bin.37	ERR1995225_bin.4	ERR1995225_bin.5	ERR1995225_bin.6	ERR1995225_bin.7	ERR1995225_bin.8	ERR1995225_bin.9
ko00941	Flavonoid biosynthesis	0	0	0	3	0	0	1	0	1	1	0	1	1	1	0	1	1	0	0	1	0	4	0	1	0	1	0	1	1	0	1	1	0	3	0	1	1
ko00942	Anthocyanin biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00943	Isoflavonoid biosynthesis	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	0	2	1	1	1
ko00944	Flavone and flavonol biosynthesis	1	1	0	1	0	1	1	0	0	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	0	0	1	1	1	0	1	1	1	1
ko00945	Stilbenoid, diarylheptanoid and gingerol biosynthesis	1	1	1	1	0	1	2	1	2	2	1	2	2	2	1	2	2	1	1	2	1	2	1	2	1	2	1	2	2	1	2	2	1	1	1	2	2
ko00950	Isoquinoline alkaloid biosynthesis	8	6	7	7	2	7	7	6	6	7	6	7	7	7	8	6	8	6	6	7	6	9	7	7	7	7	6	6	6	7	7	7	6	7	7	7	8
ko00960	Tropane, piperidine and pyridine alkaloid biosynthesis	9	12	10	11	5	10	10	9	11	11	9	10	9	9	10	10	10	10	10	10	10	10	11	10	11	14	9	9	10	9	9	10	10	12	9	11	10
ko00965	Betalain biosynthesis	4	0	0	0	0	0	5	4	1	4	0	1	0	4	1	1	1	0	0	1	3	5	3	1	3	2	0	2	1	0	1	4	0	1	0	1	1
ko00966	Glucosinolate biosynthesis	2	1	2	2	0	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	1	1	2	2	2	2	2	2
ko00970	Aminoacyl-tRNA biosynthesis	32	30	37	35	33	33	33	37	33	34	36	35	33	28	32	35	34	31	31	33	30	30	37	34	31	34	30	37	33	30	32	35	31	29	34	34	35
ko00980	Metabolism of xenobiotics by cytochrome P450	8	5	5	8	4	5	8	5	6	8	8	5	8	5	7	7	6	4	4	8	7	8	7	7	3	7	5	8	4	6	8	9	3	6	6	8	5
ko00981	Insect hormone biosynthesis	2	1	1	1	1	1	1	1	2	2	1	1	1	1	2	1	2	1	1	1	1	1	2	1	1	1	1	1	1	2	2	2	1	2	2	2	0
ko00982	Drug metabolism - cytochrome P450	5	3	3	5	4	2	6	4	3	5	6	2	5	2	5	5	4	2	4	6	5	5	5	6	3	5	5	6	3	4	5	7	2	3	3	5	2
ko00983	Drug metabolism - other enzymes	14	14	13	14	11	16	16	13	15	16	12	16	14	13	12	15	16	15	13	16	15	14	15	15	16	13	12	16	14	14	14	18	14	15	15	16	15
ko00984	Steroid degradation	9	10	8	6	7	8	8	8	9	9	6	10	8	11	8	9	9	8	9	10	9	10	8	9	10	9	8	10	9	6	8	8	6	6	8	8	9
ko00996	Biosynthesis of various alkaloids	0	1	0	0	1	1	0	1	0	0	1	1	0	0	0	1	0	1	1	1	1	1	0	0	1	0	0	1	0	0	1	0	0	0	0	1	1
ko00997	Biosynthesis of various other secondary metabolites	5	6	7	5	2	4	5	3	5	5	5	6	4	6	4	4	5	6	6	4	6	4	6	4	5	4	5	5	4	5	5	5	3	4	6	6	4
ko00998	Biosynthesis of various antibiotics	20	15	17	24	19	20	18	10	21	21	20	21	16	13	18	17	22	19	21	19	21	23	21	24	22	17	10	19	19	21	20	20	10	21	25	21	19
ko00999	Biosynthesis of various plant secondary metabolites	6	5	7	6	4	8	6	5	8	7	6	7	8	6	5	7	7	7	7	8	11	11	7	8	6	5	7	5	8	7	6	7	6	10	7	7	7
ko01040	Biosynthesis of unsaturated fatty acids	3	5	3	4	1	5	4	3	3	3	3	5	4	3	3	6	4	4	5	5	5	3	3	4	4	3	4	5	4	2	6	4	4	4	3	5	5
ko01051	Biosynthesis of ansamycins	8	8	9	6	5	7	6	4	8	7	8	5	9	9	6	6	8	6	6	6	8	9	7	8	6	5	8	6	7	7	8	6	8	8	10	8	5
ko01052	Type I polyketide structures	12	5	7	1	3	6	12	13	5	5	6	4	4	13	5	5	6	5	5	5	5	13	4	5	11	3	5	5	6	4	5	12	7	4	8	5	3
ko01053	Biosynthesis of siderophore group nonribosomal peptides	8	9	3	11	6	6	11	5	12	12	12	11	9	7	11	6	12	8	10	10	7	11	12	13	7	4	9	10	13	7	5	9	7	7	8	13	9
ko01054	Nonribosomal peptide structures	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0
ko01055	Biosynthesis of vancomycin group antibiotics	6	10	7	4	9	11	5	11	7	6	7	9	8	8	6	8	8	11	9	10	10	10	7	7	9	5	7	11	7	7	10	6	4	6	6	11	11
ko01056	Biosynthesis of type II polyketide backbone	4	2	4	2	4	4	4	4	4	4	4	4	1	4	4	4	4	4	4	4	4	4	4	4	2	4	2	4	4	4	4	4	3	4	2	4	4
ko01057	Biosynthesis of type II polyketide products	17	16	21	14	9	18	15	17	17	16	16	17	14	15	18	21	16	17	16	18	12	16	18	18	16	15	6	16	17	16	17	16	16	14	22	20	16
ko01059	Biosynthesis of enediyne antibiotics	21	15	17	15	20	14	22	18	21	18	20	21	15	25	21	19	18	17	22	22	17	21	22	22	14	18	15	19	18	19	18	20	11	16	19	20	20
ko01100	Metabolic pathways	1501	1344	1537	1478	1142	1590	1620	1406	1575	1674	1496	1636	1460	1598	1444	1561	1582	1550	1496	1670	1455	1818	1534	1630	1413	1596	1329	1563	1551	1428	1622	1623	1241	1534	1519	1686	1592
ko01110	Biosynthesis of secondary metabolites	705	590	679	682	504	738	736	639	726	726	722	752	646	767	699	681	701	702	721	781	647	800	735	765	626	712	587	714	697	658	723	723	540	697	717	797	703
ko01120	Microbial metabolism in diverse environments	496	448	521	471	370	519	557	508	541	560	487	569	478	535	473	553	505	496	495	577	497	603	502	519	470	550	436	526	521	459	537	540	420	504	475	552	529
ko01200	Carbon metabolism	188	172	180	172	135	188	190	168	196	194	181	201	170	186	172	199	179	185	189	208	179	222	186	187	176	203	156	184	193	171	191	190	150	185	164	199	190
ko01210	2-Oxocarboxylic acid metabolism	53	31	42	53	18	53	53	43	53	53	53	53	53	51	53	50	53	53	52	53	40	50	53	53	47	52	49	47	53	52	52	50	42	51	52	53	53
ko01212	Fatty acid metabolism	27	32	27	20	32	44	27	33	32	27	29	42	26	33	29	41	30	43	42	44	42	39	29	30	23	33	25	42	32	29	40	26	20	31	18	43	41
ko01220	Degradation of aromatic compounds	72	58	65	62	62	65	75	72	64	71	69	71	75	87	60	73	59	63	55	80	71	84	62	68	65	72	66	81	58	53	77	73	59	63	71	70	64
ko01230	Biosynthesis of amino acids	191	140	179	188	104	189	192	160	191	196	193	196	189	187	181	180	196	189	190	193	157	195	193	196	167	182	179	181	193	191	186	189	164	191	186	196	194
ko01232	Nucleotide metabolism	49	57	58	47	48	62	55	48	57	62	47	56	56	52	41	56	52	49	47	61	57	55	49	51	50	62	48	55	58	52	60	61	57	59	57	56	56
ko01240	Biosynthesis of cofactors	200	167	193	183	127	203	234	198	202	216	198	219	183	217	185	196	189	198	196	230	174	241	219	232	170	216	172	239	206	182	200	217	190	203	181	229	224
ko01250	Biosynthesis of nucleotide sugars	92	110	113	109	108	131	109	96	113	119	118	110	101	113	106	87	134	128	100	114	114	120	98	118	110	110	94	110	118	113	124	104	69	105	120	128	112
ko01501	beta-Lactam resistance	5	4	3	5	7	6	5	2	5	4	5	4	2	6	4	5	4	3	4	4	5	4	3	5	4	3	3	2	5	3	4	5	4	4	5	3	5
ko01502	Vancomycin resistance	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	6	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7
ko01503	Cationic antimicrobial peptide (CAMP) resistance	8	7	6	9	9	8	9	10	7	9	9	8	5	10	9	7	8	8	9	7	8	10	8	9	8	6	4	10	8	7	9	7	6	7	9	9	8
ko01521	EGFR tyrosine kinase inhibitor resistance	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko01522	Endocrine resistance	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko01523	Antifolate resistance	2	3	4	4	3	2	4	4	3	3	2	4	4	4	2	4	3	2	3	4	4	4	2	3	3	3	4	4	3	4	4	3	4	2	2	4	3
ko01524	Platinum drug resistance	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0
ko02010	ABC transporters	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	0	0	0	1	0	0
ko02020	Two-component system	17	27	20	20	17	21	20	24	18	23	16	18	15	25	19	13	19	18	17	16	18	26	17	21	15	24	11	17	21	13	19	18	14	25	21	18	21
ko02024	Quorum sensing	16	14	12	13	12	15	17	11	17	16	13	19	14	15	15	13	14	15	18	20	14	18	19	19	16	14	13	15	19	14	15	15	10	16	14	20	19
ko02025	Biofilm formation - Pseudomonas aeruginosa	6	5	6	6	8	6	6	5	8	8	6	8	6	7	8	6	6	7	7	8	7	8	8	9	5	7	6	8	9	7	6	7	5	7	5	8	8
ko02026	Biofilm formation - Escherichia coli	3	3	4	3	2	4	4	1	4	4	3	3	4	2	3	4	3	4	3	4	2	2	3	3	2	4	3	1	3	4	4	4	2	4	4	3	3
ko02030	Bacterial chemotaxis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko02040	Flagellar assembly	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko02060	Phosphotransferase system (PTS)	1	1	53	14	7	22	22	6	22	22	10	20	13	10	14	22	11	46	10	28	1	1	10	9	2	22	9	1	3	51	17	22	1	45	2	13	1
ko03008	Ribosome biogenesis in eukaryotes	1	1	0	0	1	1	0	0	0	1	0	1	1	1	0	1	1	0	1	1	1	1	1	1	0	1	1	0	1	1	1	1	0	0	0	1	1
ko03010	Ribosome	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko03013	Nucleocytoplasmic transport	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko03015	mRNA surveillance pathway	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko03018	RNA degradation	3	2	3	2	3	3	3	2	3	3	3	3	2	3	3	3	3	2	3	3	2	3	3	3	3	3	2	3	3	3	3	3	1	3	2	3	3
ko03020	RNA polymerase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko03022	Basal transcription factors	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko03030	DNA replication	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
ko03040	Spliceosome	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko03050	Proteasome	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko03060	Protein export	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko03070	Bacterial secretion system	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko03230	Viral genome structure	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko03240	Viral replication	0	0	0	1	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	1	0	1	1	0	0	1	0	0	1	0	0	1	0	1	0	1	1
ko03250	Viral life cycle - HIV-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko03320	PPAR signaling pathway	5	7	2	6	3	9	3	5	5	5	3	9	3	8	5	7	4	8	8	9	7	7	5	5	7	6	4	7	5	1	7	3	3	6	3	8	7
ko03410	Base excision repair	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ko03420	Nucleotide excision repair	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ko03430	Mismatch repair	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ko03440	Homologous recombination	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko03450	Non-homologous end-joining	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko03460	Fanconi anemia pathway	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04010	MAPK signaling pathway	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04011	MAPK signaling pathway - yeast	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ko04012	ErbB signaling pathway	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04013	MAPK signaling pathway - fly	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04014	Ras signaling pathway	0	0	0	0	0	1	1	0	0	0	0	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	0	0	1	1	1	1	1	1	1	0	1
ko04015	Rap1 signaling pathway	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04016	MAPK signaling pathway - plant	1	1	2	1	1	1	1	2	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	2	1	1	1	1	1	1
ko04020	Calcium signaling pathway	1	1	1	0	0	0	1	0	0	0	0	1	0	1	0	1	1	1	1	1	1	0	0	1	1	0	0	0	0	1	1	0	0	1	1	1	1
ko04022	cGMP-PKG signaling pathway	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04024	cAMP signaling pathway	0	1	0	0	0	2	1	0	0	0	0	2	0	1	1	2	1	2	2	2	1	1	1	1	1	2	0	1	1	1	2	1	1	1	1	1	2
ko04060	Cytokine-cytokine receptor interaction	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04061	Viral protein interaction with cytokine and cytokine receptor	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04062	Chemokine signaling pathway	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04064	NF-kappa B signaling pathway	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04066	HIF-1 signaling pathway	8	6	7	6	8	6	7	6	8	7	8	7	7	7	6	7	7	5	8	7	5	8	8	6	8	8	7	8	8	5	7	7	6	7	5	7	7
ko04068	FoxO signaling pathway	1	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	2	1	1	0	0	0	0
ko04070	Phosphatidylinositol signaling system	3	6	2	3	4	1	3	4	3	5	2	2	5	5	1	6	4	2	3	2	2	5	1	3	2	2	4	2	2	2	3	2	1	2	4	2	6
ko04071	Sphingolipid signaling pathway	2	2	1	0	0	2	3	1	1	1	0	3	1	3	4	2	5	3	3	3	1	2	1	3	4	2	1	1	2	4	2	2	3	3	2	3	3
ko04072	Phospholipase D signaling pathway	2	3	3	1	1	2	4	1	2	2	1	4	2	4	2	4	3	4	3	3	2	3	2	4	4	3	1	2	3	4	4	3	1	4	3	3	4
ko04075	Plant hormone signal transduction	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04080	Neuroactive ligand-receptor interaction	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04110	Cell cycle	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04111	Cell cycle - yeast	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04112	Cell cycle - Caulobacter	3	2	3	2	3	2	3	3	3	3	2	3	3	2	3	3	3	3	3	3	2	2	2	3	2	3	2	3	3	3	3	3	3	2	3	3	3
ko04113	Meiosis - yeast	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ko04114	Oocyte meiosis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04115	p53 signaling pathway	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04120	Ubiquitin mediated proteolysis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04122	Sulfur relay system	13	9	13	8	8	11	12	14	10	12	9	10	7	9	9	11	8	10	9	12	11	8	10	9	7	9	4	11	9	9	9	11	9	11	10	9	12
ko04130	SNARE interactions in vesicular transport	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04136	Autophagy - other	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04137	Mitophagy - animal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04138	Autophagy - yeast	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04139	Mitophagy - yeast	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04140	Autophagy - animal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04141	Protein processing in endoplasmic reticulum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04142	Lysosome	2	2	6	10	3	1	5	2	0	10	2	3	3	6	6	3	4	2	2	3	1	12	3	1	1	7	2	0	0	3	8	4	1	2	2	4	4
ko04144	Endocytosis	0	0	0	0	0	1	1	0	0	0	0	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	0	0	1	1	1	1	1	1	1	0	1
ko04145	Phagosome	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04146	Peroxisome	10	12	8	10	7	12	10	9	9	9	8	13	7	9	7	9	7	11	8	12	11	7	10	8	11	11	8	10	8	8	11	9	9	10	7	13	10
ko04150	mTOR signaling pathway	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04151	PI3K-Akt signaling pathway	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0
ko04152	AMPK signaling pathway	3	2	1	2	2	1	1	1	2	1	2	2	1	2	1	2	2	1	2	1	1	2	3	1	3	2	1	2	2	2	1	1	2	2	1	1	2
ko04210	Apoptosis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04211	Longevity regulating pathway	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ko04212	Longevity regulating pathway - worm	0	0	0	0	1	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	1	0	0	0	0	0
ko04213	Longevity regulating pathway - multiple species	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0
ko04214	Apoptosis - fly	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04215	Apoptosis - multiple species	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04216	Ferroptosis	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	1	2	2	2	1	1	1	1	2	2	2	1
ko04217	Necroptosis	3	3	3	3	1	2	3	1	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	2	3	2	3	3	3	3	3	3	3	3	3
ko04218	Cellular senescence	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04260	Cardiac muscle contraction	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04261	Adrenergic signaling in cardiomyocytes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04270	Vascular smooth muscle contraction	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04310	Wnt signaling pathway	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04320	Dorso-ventral axis formation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04330	Notch signaling pathway	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04340	Hedgehog signaling pathway	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04341	Hedgehog signaling pathway - fly	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04350	TGF-beta signaling pathway	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04360	Axon guidance	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04361	Axon regeneration	2	1	1	1	0	0	2	0	1	1	0	1	1	1	1	1	0	1	1	0	1	2	0	1	1	2	1	1	1	1	1	1	0	2	0	1	1
ko04370	VEGF signaling pathway	1	1	1	0	0	0	1	0	0	0	0	1	0	1	0	1	1	1	1	1	1	0	0	1	1	0	0	0	0	1	1	0	0	1	1	1	1
ko04371	Apelin signaling pathway	1	1	1	0	0	0	1	0	0	0	0	1	0	1	0	1	1	1	1	1	1	0	0	1	1	0	0	0	0	1	1	0	0	1	1	1	1
ko04380	Osteoclast differentiation	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04390	Hippo signaling pathway	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04391	Hippo signaling pathway - fly	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04392	Hippo signaling pathway - multiple species	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04510	Focal adhesion	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04512	ECM-receptor interaction	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
