Pathway	ERR1995246_bin.1	ERR1995246_bin.10	ERR1995246_bin.11	ERR1995246_bin.12	ERR1995246_bin.13	ERR1995246_bin.14	ERR1995246_bin.15	ERR1995246_bin.16	ERR1995246_bin.17	ERR1995246_bin.18	ERR1995246_bin.19	ERR1995246_bin.2	ERR1995246_bin.20	ERR1995246_bin.21	ERR1995246_bin.22	ERR1995246_bin.23	ERR1995246_bin.24	ERR1995246_bin.3	ERR1995246_bin.4	ERR1995246_bin.5	ERR1995246_bin.6	ERR1995246_bin.7	ERR1995246_bin.8	ERR1995246_bin.9
C10-C20 isoprenoid biosynthesis, non-plant eukaryotes	1	0	1	0	1	1	1	1	1	0	0	0	1	0	0	1	0	1	0	1	0	1	1	1
Ethylene biosynthesis, methionine => ethylene	3	3	3	3	1	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
Cyanogenic glycoside biosynthesis, tyrosine => dhurrin	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glucosinolate biosynthesis, tryptophan => glucobrassicin	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Castasterone biosynthesis, campesterol => castasterone	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Abscisic acid biosynthesis, beta-carotene => abscisic acid	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ethylmalonyl pathway	6	6	8	6	6	10	11	10	6	7	7	8	8	9	5	10	9	10	11	5	11	6	10	7
Dicarboxylate-hydroxybutyrate cycle	15	17	15	17	11	18	21	17	17	16	18	16	16	20	16	18	16	18	16	15	15	17	19	16
Hydroxypropionate-hydroxybutylate cycle	9	13	11	13	6	16	16	13	13	14	10	11	13	16	12	13	8	15	15	11	14	14	16	13
3-Hydroxypropionate bi-cycle	10	12	14	12	7	15	15	15	11	11	12	11	15	13	11	15	11	14	17	11	17	12	15	11
Reductive acetyl-CoA pathway (Wood-Ljungdahl pathway)	11	8	6	6	3	8	5	7	11	8	6	9	8	8	8	8	5	8	9	6	8	8	8	8
F420 biosynthesis, archaea	1	1	2	4	3	2	4	3	2	1	3	2	2	3	1	3	1	2	5	3	4	2	1	2
Fatty acid elongation in endoplasmic reticulum	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Cytochrome aa3-600 menaquinol oxidase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cytochrome o ubiquinol oxidase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Toluene degradation, anaerobic, toluene => benzoyl-CoA	3	5	5	3	2	6	6	4	2	5	5	3	7	6	3	4	4	5	8	2	6	5	5	5
Cymene degradation, p-cymene => p-cumate	2	1	2	2	2	3	3	2	2	1	3	2	1	3	1	2	2	2	2	3	2	1	3	1
Acetyl-CoA pathway, CO2 => acetyl-CoA	4	1	1	1	0	1	1	1	4	1	1	3	2	2	2	1	1	1	2	0	1	2	1	2
Leucine biosynthesis, 2-oxoisovalerate => 2-oxoisocaproate	4	4	4	4	0	4	4	1	4	4	4	4	4	4	4	4	3	4	4	4	4	4	4	4
Lysine biosynthesis, 2-oxoglutarate => 2-oxoadipate	5	5	5	5	0	5	5	0	5	5	5	5	5	5	5	5	3	5	5	5	5	5	5	5
Lysine biosynthesis, acetyl-DAP pathway, aspartate => lysine	9	9	9	9	3	9	9	9	9	9	9	8	9	9	8	9	7	8	9	8	8	8	9	9
Lysine biosynthesis, DAP dehydrogenase pathway, aspartate => lysine	8	9	8	9	4	9	9	9	8	9	8	9	8	9	8	9	9	9	9	9	9	9	9	9
Lysine biosynthesis, DAP aminotransferase pathway, aspartate => lysine	10	10	10	10	3	10	10	10	10	10	10	10	10	10	10	10	9	10	10	10	9	10	10	10
Nitrification, ammonia => nitrite	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	1	0	0	0	0	1	0
Denitrification, nitrate => nitrogen	0	1	0	0	0	1	6	1	0	1	4	1	0	5	0	1	0	1	0	0	2	0	2	3
Dissimilatory nitrate reduction, nitrate => ammonia	1	2	1	1	1	2	6	2	1	2	7	2	1	8	1	4	1	3	1	1	3	1	4	4
Assimilatory nitrate reduction, nitrate => ammonia	1	1	1	2	1	1	4	1	2	1	3	2	1	4	2	1	1	1	2	1	4	2	1	3
Photorespiration	7	8	10	5	5	8	11	9	5	7	6	5	5	11	6	8	8	8	7	5	6	7	9	5
Homoprotocatechuate degradation, homoprotocatechuate => 2-oxohept-3-enedioate	1	2	1	1	1	2	4	1	1	2	2	1	1	2	1	1	1	1	2	1	2	1	2	1
Naphthalene degradation, naphthalene => salicylate	3	3	3	4	2	4	6	3	4	3	4	3	4	4	3	3	3	3	4	4	3	3	4	3
Isoleucine biosynthesis, pyruvate => 2-oxobutanoate	4	4	4	4	0	4	4	1	4	4	4	4	4	4	4	4	3	4	4	4	4	4	4	4
Xylene degradation, xylene => methylbenzoate	3	1	2	2	1	3	3	1	1	1	2	2	1	3	2	3	2	3	2	3	2	1	3	0
Toluene degradation, toluene => benzoate	3	2	2	3	1	3	4	1	2	2	2	3	2	3	3	3	2	3	2	3	3	2	3	1
Cumate degradation, p-cumate => 2-oxopent-4-enoate + 2-methylpropanoate	2	1	3	2	1	3	7	3	3	2	4	3	2	4	1	4	2	5	5	3	4	4	3	4
Benzoate degradation, cyclohexanecarboxylic acid =>pimeloyl-CoA	1	5	3	2	1	5	5	3	2	5	5	2	5	5	2	3	3	5	5	2	5	5	5	5
Benzoyl-CoA degradation, benzoyl-CoA => 3-hydroxypimeloyl-CoA	3	5	0	3	0	4	6	0	4	5	6	3	4	9	3	2	2	3	6	5	4	6	4	4
EHEC/EPEC pathogenicity signature, T3SS and effectors	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Biphenyl degradation, biphenyl => 2-oxopent-4-enoate + benzoate	2	1	3	2	2	2	5	3	2	2	3	2	2	2	1	2	2	3	3	3	3	3	2	3
Carbazole degradation, carbazole => 2-oxopent-4-enoate + anthranilate	0	0	2	0	1	1	5	2	1	0	1	1	1	1	0	1	1	2	1	2	2	1	1	1
Trans-cinnamate degradation, trans-cinnamate => acetyl-CoA	5	6	6	4	4	6	9	6	5	6	6	5	5	6	5	7	6	6	6	5	6	5	7	6
Purine degradation, xanthine => urea	13	12	4	4	3	4	8	4	13	12	3	13	4	13	3	3	3	3	4	12	13	13	4	4
Benzene/toluene degradation, benzene => catechol / toluene => 3-methylcatechol	1	2	2	2	1	2	3	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	1
Benzene degradation, benzene => catechol	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Nucleotide sugar biosynthesis, glucose => UDP-glucose	4	4	4	4	3	4	4	4	5	4	4	4	5	4	4	4	4	5	4	4	4	5	5	5
Ascorbate degradation, ascorbate => D-xylulose-5P	4	4	5	4	2	3	7	2	4	3	3	5	5	3	2	3	1	3	3	4	5	4	3	4
Benzoate degradation, benzoate => catechol / methylbenzoate => methylcatechol	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
D-galactonate degradation, De Ley-Doudoroff pathway, D-galactonate => glycerate-3P	4	4	2	3	3	4	5	2	3	4	3	4	4	3	3	4	2	4	4	3	4	3	4	4
Nucleotide sugar biosynthesis, galactose => UDP-galactose	2	2	1	2	0	1	2	0	0	2	1	2	2	0	2	1	1	1	1	2	2	2	1	2
Betaine biosynthesis, choline => betaine	3	3	3	3	2	2	4	2	2	3	3	3	3	3	2	3	2	3	3	3	3	3	3	3
Methanogenesis, methylamine/dimethylamine/trimethylamine => methane	9	9	12	10	5	13	14	12	9	8	11	9	8	18	8	11	8	13	11	11	9	10	12	8
Helicobacter pylori pathogenicity signature, cagA pathogenicity island	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Trehalose biosynthesis, D-glucose 1P => trehalose	6	6	6	6	6	6	6	6	5	6	1	6	6	2	5	6	6	6	2	6	5	6	6	6
Methanogenesis, CO2 => methane	14	12	12	12	8	14	18	13	11	10	17	11	10	21	10	12	12	14	13	13	11	11	14	12
Catechol ortho-cleavage, catechol => 3-oxoadipate	3	3	2	2	3	3	3	3	2	3	3	2	3	3	3	3	2	3	3	2	3	3	3	3
Catechol meta-cleavage, catechol => acetyl-CoA / 4-methylcatechol => propanoyl-CoA	5	5	7	4	4	7	10	6	5	5	7	5	5	9	3	8	3	6	9	6	7	6	7	7
Isoleucine biosynthesis, threonine => 2-oxobutanoate => isoleucine	8	8	8	8	3	8	8	3	8	8	5	8	8	8	8	8	2	8	8	8	8	8	7	8
Pimeloyl-ACP biosynthesis, BioC-BioH pathway, malonyl-ACP => pimeloyl-ACP	8	8	8	7	8	9	8	7	7	7	8	6	8	8	8	9	8	9	7	5	8	8	9	8
Biotin biosynthesis, BioI pathway, long-chain-acyl-ACP => pimeloyl-ACP => biotin	4	4	3	4	3	4	4	3	3	4	3	4	4	4	3	4	2	4	4	4	4	4	4	4
Pertussis pathogenicity signature, pertussis toxin	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pertussis pathogenicity signature, T1SS	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0
ETEC pathogenicity signature, heat-labile and heat-stable enterotoxins	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Biotin biosynthesis, BioW pathway, pimelate => pimeloyl-CoA => biotin	5	5	5	5	4	6	6	5	4	5	4	5	5	6	4	6	3	6	6	5	5	5	6	5
Phosphate acetyltransferase-acetate kinase pathway, acetyl-CoA => acetate	3	3	3	4	3	3	3	3	3	3	0	3	3	3	3	3	3	3	3	3	3	3	3	3
Pentose phosphate pathway, archaea, fructose 6P => ribose 5P	3	3	4	4	2	4	5	3	3	3	4	4	4	3	2	3	4	4	4	3	4	4	3	3
Thiosulfate oxidation by SOX complex, thiosulfate => sulfate	0	1	1	0	0	1	2	1	0	1	0	0	1	2	0	1	1	1	1	0	0	0	3	1
Dissimilatory sulfate reduction, sulfate => H2S	2	4	4	4	2	4	5	4	4	4	3	4	4	5	4	3	2	3	4	4	4	4	4	3
Anoxygenic photosystem II	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Anoxygenic photosystem I	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2-Oxocarboxylic acid chain extension, 2-oxoglutarate => 2-oxoadipate => 2-oxopimelate => 2-oxosuberate	4	4	4	4	0	4	4	1	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
Cysteine biosynthesis, methionine => cysteine	6	6	5	6	5	6	6	5	6	6	5	6	6	5	5	6	5	5	5	6	6	6	5	6
Oxygenic photosynthesis in plants and cyanobacteria	8	8	8	7	7	9	11	8	8	8	8	8	8	9	7	8	8	9	9	7	8	8	8	8
Anoxygenic photosynthesis in purple bacteria	8	8	8	7	7	9	11	8	8	8	8	8	8	9	7	8	8	9	9	7	8	8	8	8
Anoxygenic photosynthesis in green nonsulfur bacteria	19	23	23	21	10	26	29	25	21	22	24	20	25	26	21	25	21	25	27	20	27	23	26	20
Anoxygenic photosynthesis in green sulfur bacteria	29	30	27	28	23	29	37	26	29	28	33	30	28	33	28	32	28	33	25	28	23	30	30	27
Nitrate assimilation	1	1	1	2	1	1	4	1	2	1	3	2	1	4	2	1	1	1	2	1	4	2	1	3
Sulfate-sulfur assimilation	5	4	6	6	4	8	10	7	6	4	4	5	5	8	7	9	4	9	7	5	6	7	9	4
Methanogen	14	16	14	18	8	18	21	15	18	15	14	17	16	23	15	17	11	18	15	14	16	17	16	17
Acetogen	13	10	8	10	6	10	8	9	13	10	6	12	11	11	11	10	7	10	11	9	10	11	10	11
Incomplete reductive citrate cycle, acetyl-CoA => oxoglutarate	16	17	16	16	15	15	17	16	16	16	17	16	16	17	15	17	16	17	16	16	14	16	16	16
Nicotinate degradation, nicotinate => fumarate	5	5	1	1	1	2	3	2	4	4	4	3	3	6	2	2	1	2	3	4	4	6	4	3
Phthalate degradation, phthalate => protocatechuate	2	2	2	2	1	2	4	1	1	2	1	2	2	2	2	2	2	2	1	2	2	2	2	1
Terephthalate degradation, terephthalate => 3,4-dihydroxybenzoate	0	0	2	0	0	2	3	2	0	1	2	0	0	1	0	2	2	2	0	1	1	1	2	0
Methicillin resistance	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-Lactam resistance, Bla system	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	2	0	1	1	1	0	1
D-Galacturonate degradation (fungi), D-galacturonate => glycerol	0	1	1	0	1	1	1	0	1	1	0	0	1	0	0	1	0	1	0	1	1	1	1	0
D-Galacturonate degradation (bacteria), D-galacturonate => pyruvate + D-glyceraldehyde 3P	4	7	2	7	1	7	8	1	7	7	5	2	7	5	1	7	2	7	2	7	7	2	3	7
Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P	4	4	3	4	1	3	4	2	2	4	2	4	4	2	4	3	3	3	2	4	4	4	3	4
Semi-phosphorylative Entner-Doudoroff pathway, gluconate/galactonate => glycerate-3P	5	4	3	4	4	5	5	2	5	4	5	5	5	4	5	3	2	3	5	4	5	5	5	5
Phthalate degradation, phthalate => protocatechuate	1	1	2	2	1	2	2	2	1	1	1	2	1	2	1	2	2	2	3	2	2	2	2	1
Anthranilate degradation, anthranilate => catechol	2	2	2	2	1	2	5	2	2	1	2	2	2	2	1	2	2	2	2	2	2	2	2	2
Salicylate degradation, salicylate => gentisate	1	1	1	1	0	1	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Multidrug resistance, efflux pump MexCD-OprJ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Multidrug resistance, efflux pump MexEF-OprN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Multidrug resistance, efflux pump MexJK-OprM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Multidrug resistance, efflux pump MexXY-OprM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Multidrug resistance, efflux pump AdeABC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vancomycin resistance, D-Ala-D-Lac type	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Vancomycin resistance, D-Ala-D-Ser type	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Xanthomonas spp. pathogenicity signature, T3SS and effectors	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Paspaline biosynthesis, geranylgeranyl-PP + indoleglycerol phosphate => paspaline	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nodulation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Penicillin biosynthesis, aminoadipate + cycteine + valine => penicillin	0	1	1	1	0	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
Cephamycin C biosynthesis, aminoadipate + cycteine + valine => cephamycin C	1	2	2	2	1	2	5	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1
Clavaminate biosynthesis, arginine + glyceraldehyde-3P => clavaminate	1	3	3	2	0	2	3	1	2	3	0	2	2	2	2	2	0	2	1	2	2	2	3	3
Carbapenem-3-carboxylate biosynthesis, pyrroline-5-carboxylate + malonyl-CoA => carbapenem-3-carboxylate	0	2	1	1	0	2	2	0	1	2	1	1	2	1	0	1	0	2	1	1	2	2	2	2
Multidrug resistance, efflux pump AcrEF-TolC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Multidrug resistance, efflux pump MdtEF-TolC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Multidrug resistance, efflux pump BpeEF-OprC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Multidrug resistance, efflux pump AbcA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Multidrug resistance, efflux pump NorB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tetracycline resistance, efflux pump Tet38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Multidrug resistance, efflux pump MepA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Multidrug resistance, efflux pump QacA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Multidrug resistance, efflux pump MexAB-OprM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cationic antimicrobial peptide (CAMP) resistance, dltABCD operon	1	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
Cationic antimicrobial peptide (CAMP) resistance, lysyl-phosphatidylglycerol (L-PG) synthase MprF	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cationic antimicrobial peptide (CAMP) resistance, VraFG transporter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nocardicin A biosynthesis, L-pHPG + arginine + serine => nocardicin A	0	2	2	2	0	2	4	2	2	2	3	0	2	3	2	2	2	2	2	2	2	2	2	1
Methylaspartate cycle	5	7	5	7	1	6	7	4	6	5	5	7	8	7	6	7	5	7	9	6	7	6	6	5
Propanoyl-CoA metabolism, propanoyl-CoA => succinyl-CoA	9	10	12	10	9	12	10	12	10	10	8	10	10	9	9	12	8	12	12	10	10	10	12	10
Cationic antimicrobial peptide (CAMP) resistance, protease PgtE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Imipenem resistance, repression of porin OprD	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Multidrug resistance, repression of porin OmpF	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Undecaprenylphosphate alpha-L-Ara4N biosynthesis, UDP-GlcA => undecaprenyl phosphate alpha-L-Ara4N	3	3	3	4	2	3	4	4	3	3	3	3	4	4	3	3	3	3	4	3	4	3	3	3
Ornithine biosynthesis, mediated by LysW, glutamate => ornithine	5	5	5	5	3	5	5	4	5	5	5	5	5	5	5	5	3	5	5	5	5	5	5	5
Multidrug resistance, efflux pump MexPQ-OpmE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tylosin biosynthesis, methylmalonyl-CoA + malonyl-CoA => tylactone => tylosin	8	0	8	0	0	8	8	8	0	0	8	0	0	0	0	0	8	0	0	8	0	0	8	0
Erythromycin biosynthesis, propanoyl-CoA + methylmalonyl-CoA => deoxyerythronolide B => erythromycin A/B	2	3	1	2	1	2	2	1	1	2	2	2	2	2	2	2	1	2	1	0	1	1	2	2
Oleandomycin biosynthesis, malonyl-CoA + methylmalonyl-CoA => 8,8a-deoxyoleandolide => oleandomycin	0	0	1	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0
Pikromycin/methymycin biosynthesis, methylmalonyl-CoA + malonyl-CoA => narbonolide/10-deoxymethynolide => pikromycin/methymycin	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Avermectin biosynthesis, 2-methylbutanoyl-CoA/isobutyryl-CoA => 6,8a-Seco-6,8a-deoxy-5-oxoavermectin 1a/1b aglycone => avermectin A1a/B1a/A1b/B1b	3	3	4	3	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	1	3	3	4	3
Type II polyketide backbone biosynthesis, acyl-CoA + malonyl-CoA => polyketide	5	5	5	5	5	5	6	5	5	5	6	6	5	6	6	5	5	5	7	3	6	5	5	5
Dihydrokalafungin biosynthesis, octaketide => dihydrokalafungin	2	3	1	1	1	2	3	2	2	3	0	3	3	3	1	2	1	2	3	1	4	3	2	3
Tetracycline/oxytetracycline biosynthesis, pretetramide => tetracycline/oxytetracycline	1	1	1	1	1	2	5	1	2	1	3	2	1	3	1	3	1	3	2	2	2	1	1	2
Nogalavinone/aklavinone biosynthesis, deoxynogalonate/deoxyaklanonate => nogalavinone/aklavinone	2	1	2	2	1	2	2	2	1	2	2	2	1	2	2	2	2	2	2	1	1	2	2	2
Mithramycin biosynthesis, 4-demethylpremithramycinone => mithramycin	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tetracenomycin C/8-demethyltetracenomycin C biosynthesis, tetracenomycin F2 => tetracenomycin C/8-demethyltetracenomycin C	1	0	0	1	0	0	0	0	1	1	2	0	0	1	0	0	0	0	0	0	0	0	0	1
Elloramycin biosynthesis, 8-demethyltetracenomycin C => elloramycin A	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	0	3	3	3	3	3	3	3
Cycloserine biosynthesis, arginine/serine => cycloserine	5	6	1	5	1	6	5	6	5	6	0	5	5	6	5	6	6	6	6	0	5	5	6	5
Fumitremorgin alkaloid biosynthesis, tryptophan + proline => fumitremorgin C/A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacilysin biosynthesis, prephenate => bacilysin	5	4	4	5	2	4	6	5	5	5	5	4	5	6	3	5	5	5	4	5	6	5	4	6
Terpentecin biosynthesis, GGAP => terpentecin	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	2	0	0	0	0
Rebeccamycin biosynthesis, tryptophan => rebeccamycin	6	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	1	1	1	6	0	0	0
Pyrrolnitrin biosynthesis, tryptophan => pyrrolnitrin	1	1	1	1	0	1	3	1	1	1	2	2	1	1	0	1	1	2	2	2	1	1	1	1
dTDP-L-rhamnose biosynthesis	5	5	5	4	5	5	4	5	5	5	5	4	5	5	4	5	5	5	4	5	5	5	5	5
dTDP-6-deoxy-D-allose biosynthesis	2	2	2	1	2	2	1	2	2	2	2	1	2	1	1	2	2	2	1	2	2	2	2	2
dTDP-beta-L-noviose biosynthesis	2	2	2	0	2	2	0	2	2	2	2	0	2	1	0	2	2	2	1	2	3	2	2	2
dTDP-D-mycaminose biosynthesis	1	1	1	0	0	2	2	2	2	1	0	1	2	1	1	2	3	0	1	1	2	2	1	2
dTDP-D-desosamine biosynthesis	5	3	2	5	2	3	5	3	5	4	1	4	4	3	5	4	4	1	3	4	5	4	3	5
dTDP-L-mycarose biosynthesis	3	3	3	1	3	4	1	2	3	3	3	1	3	1	1	3	3	3	1	3	4	3	3	3
dTDP-L-oleandrose biosynthesis	2	2	3	1	3	2	2	2	2	2	2	1	2	2	1	2	2	2	2	2	2	2	2	4
dTDP-L-megosamine biosynthesis	3	2	2	2	2	3	2	2	4	3	2	2	4	2	2	2	2	2	1	3	3	3	3	3
dTDP-L-olivose biosynthesis	1	1	3	1	2	2	2	2	1	1	0	1	1	2	0	1	1	1	2	1	2	1	1	2
dTDP-D-forosamine biosynthesis	4	2	1	2	1	3	4	2	4	2	0	3	3	2	1	3	3	1	2	2	4	3	3	3
dTDP-D-angolosamine biosynthesis	1	1	2	1	2	1	2	2	2	1	1	1	1	2	1	1	1	1	2	2	1	1	1	2
Complete nitrification, comammox, ammonia => nitrite => nitrate	0	1	0	0	0	1	2	1	0	1	3	1	0	3	0	2	0	2	0	0	1	0	1	2
Staurosporine biosynthesis, tryptophan => staurosporine	3	1	2	2	0	2	3	2	1	2	3	2	3	3	2	2	2	2	2	1	3	2	1	3
Violacein biosynthesis, tryptophan => violacein	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Nicotine degradation, pyridine pathway, nicotine => 2,6-dihydroxypyridine/succinate semialdehyde	6	7	2	1	1	2	2	2	7	7	2	8	1	9	1	1	0	0	2	8	8	6	1	1
Nicotine degradation, pyrrolidine pathway, nicotine => succinate semialdehyde	2	4	0	2	0	2	2	2	6	3	4	5	1	4	1	1	2	4	2	3	4	4	2	1
Acarbose biosynthesis, sedoheptulopyranose-7P => acarbose	5	4	4	4	2	6	6	4	4	5	2	6	5	4	4	5	5	6	3	5	5	4	5	5
Validamycin A biosynthesis, sedoheptulopyranose-7P => validamycin A	7	6	6	6	4	8	7	6	6	6	5	5	6	5	6	7	5	7	5	6	6	6	6	6
Pentalenolactone biosynthesis, farnesyl-PP => pentalenolactone	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Chlortetracycline biosynthesis, pretetramide => chlortetracycline	2	2	2	2	1	3	6	2	3	2	4	3	2	4	1	4	2	4	3	3	3	2	2	3
9-membered enediyne core biosynthesis, malonyl-CoA => 3-hydroxyhexadeca-4,6,8,10,12,14-hexaenoyl-ACP => 9-membered enediyne core	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
10-membered enediyne core biosynthesis, malonyl-CoA => 3-hydroxyhexadeca-4,6,8,10,12,14-hexaenoyl-ACP => 10-membered enediyne core	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
C-1027 benzoxazolinate moiety biosynthesis, chorismate => benzoxazolinyl-CoA	3	2	4	5	1	6	5	3	3	2	2	5	3	5	5	5	2	4	3	2	1	3	5	2
C-1027 beta-amino acid moiety biosynthesis, tyrosine => 3-chloro-4,5-dihydroxy-beta-phenylalanyl-PCP	1	2	3	1	1	3	4	3	2	2	2	1	2	3	1	3	3	3	2	2	2	2	3	1
Maduropeptin beta-hydroxy acid moiety biosynthesis, tyrosine => 3-(4-hydroxyphenyl)-3-oxopropanoyl-PCP	1	2	3	2	1	3	3	3	2	2	3	1	2	2	2	3	2	3	2	2	2	2	3	1
3,6-Dimethylsalicylyl-CoA biosynthesis, malonyl-CoA => 6-methylsalicylate => 3,6-dimethylsalicylyl-CoA	1	2	2	2	1	3	2	2	2	2	3	2	2	2	2	2	2	3	2	2	2	2	2	1
Neocarzinostatin naphthoate moiety biosynthesis, malonyl-CoA => 2-hydroxy-5-methyl-1-naphthoate => 2-hydroxy-7-methoxy-5-methyl-1-naphthoyl-CoA	1	2	3	2	2	3	3	3	2	2	3	1	2	3	2	3	2	3	3	1	2	2	2	1
Kedarcidin 2-hydroxynaphthoate moiety biosynthesis, malonyl-CoA => 3,6,8-trihydroxy-2-naphthoate => 3-hydroxy-7,8-dimethoxy-6-isopropoxy-2-naphthoyl-CoA	2	0	1	2	0	2	0	1	2	0	0	2	2	0	0	2	0	0	2	0	2	2	0	2
Kedarcidin 2-aza-3-chloro-beta-tyrosine moiety biosynthesis, azatyrosine => 2-aza-3-chloro-beta-tyrosyl-PCP	3	1	3	2	1	3	1	1	3	1	0	3	3	1	0	3	1	1	3	1	3	3	1	3
Calicheamicin biosynthesis, calicheamicinone => calicheamicin	2	5	1	2	1	1	1	2	1	1	2	2	2	2	2	1	2	1	2	0	1	1	3	1
