ko	pathway	ERR1995215_bin.1	ERR1995215_bin.10	ERR1995215_bin.11	ERR1995215_bin.12	ERR1995215_bin.13	ERR1995215_bin.14	ERR1995215_bin.15	ERR1995215_bin.16	ERR1995215_bin.17	ERR1995215_bin.18	ERR1995215_bin.19	ERR1995215_bin.2	ERR1995215_bin.20	ERR1995215_bin.21	ERR1995215_bin.22	ERR1995215_bin.23	ERR1995215_bin.24	ERR1995215_bin.25	ERR1995215_bin.26	ERR1995215_bin.27	ERR1995215_bin.28	ERR1995215_bin.29	ERR1995215_bin.3	ERR1995215_bin.30	ERR1995215_bin.31	ERR1995215_bin.32	ERR1995215_bin.33	ERR1995215_bin.34	ERR1995215_bin.35	ERR1995215_bin.36	ERR1995215_bin.37	ERR1995215_bin.38	ERR1995215_bin.39	ERR1995215_bin.4	ERR1995215_bin.40	ERR1995215_bin.41	ERR1995215_bin.42	ERR1995215_bin.43	ERR1995215_bin.5	ERR1995215_bin.6	ERR1995215_bin.7	ERR1995215_bin.8	ERR1995215_bin.9
ko00785	Lipoic acid metabolism	0	1	0	1	0	5	3	4	0	3	0	0	0	7	4	0	0	4	0	0	1	0	3	0	0	0	3	1	1	5	6	1	1	4	1	0	0	0	0	1	1	1	1
ko00790	Folate biosynthesis	29	33	31	41	13	35	46	30	22	22	29	26	46	47	22	26	27	26	34	29	29	43	26	28	34	33	43	28	31	46	50	48	46	27	48	28	32	26	28	39	34	47	52
ko00791	Atrazine degradation	3	4	5	7	3	4	2	4	4	5	4	2	6	1	4	3	4	3	7	5	6	6	0	7	4	6	4	2	6	6	6	6	7	5	6	6	8	3	4	6	6	1	7
ko00830	Retinol metabolism	6	6	6	6	2	6	7	8	6	6	6	2	8	8	8	6	8	8	8	7	8	8	8	8	8	7	8	8	8	8	8	6	6	8	8	7	7	8	8	7	8	5	8
ko00860	Porphyrin metabolism	62	64	36	76	26	58	53	42	58	41	41	35	59	69	44	58	56	59	40	38	62	45	41	63	44	65	40	64	71	41	71	73	53	47	73	50	44	33	50	67	59	54	56
ko00900	Terpenoid backbone biosynthesis	29	19	29	30	16	20	28	27	27	25	26	24	27	30	25	24	27	19	26	26	28	27	26	29	28	28	25	28	24	28	29	30	30	21	28	26	29	19	26	28	28	29	29
ko00901	Indole alkaloid biosynthesis	0	2	0	2	0	0	0	2	0	0	0	1	2	2	1	0	1	0	2	1	1	2	1	1	1	0	3	1	1	1	1	0	1	1	3	1	0	1	2	0	2	1	3
ko00902	Monoterpenoid biosynthesis	6	6	3	7	1	6	7	3	3	4	5	6	7	8	3	3	3	3	6	5	5	4	4	5	8	6	7	8	5	6	5	5	6	4	4	3	6	5	7	6	5	6	8
ko00903	Limonene and pinene degradation	10	5	5	8	1	10	5	7	10	9	10	8	8	9	7	10	8	10	8	9	5	6	7	6	7	7	6	8	11	7	9	10	9	7	8	6	7	6	6	10	6	9	8
ko00904	Diterpenoid biosynthesis	5	0	5	0	0	5	5	5	5	5	0	0	5	5	5	5	0	5	0	5	9	5	0	5	5	5	0	5	5	5	5	5	9	5	5	5	5	5	0	5	5	5	0
ko00905	Brassinosteroid biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00906	Carotenoid biosynthesis	13	13	12	13	12	14	14	15	15	14	14	12	14	15	13	14	13	14	13	15	13	14	12	12	14	12	13	14	12	13	16	14	13	12	14	13	13	13	15	13	14	12	14
ko00908	Zeatin biosynthesis	1	1	0	0	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	0	1	1	1	2	1	1	2	1	2
ko00909	Sesquiterpenoid and triterpenoid biosynthesis	1	1	1	1	0	0	1	1	2	1	2	1	0	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	3	1	1	2	1	1	1	1	1	0	0	1	1
ko00910	Nitrogen metabolism	16	19	13	24	8	15	14	9	13	13	13	12	18	20	15	16	12	15	15	15	18	16	11	12	15	20	14	12	22	13	27	17	16	16	17	15	15	15	15	18	19	16	23
ko00920	Sulfur metabolism	41	39	31	47	22	33	37	33	38	35	34	25	38	51	36	36	37	31	32	40	40	34	36	37	35	39	26	34	42	36	53	40	41	35	32	37	37	37	33	40	41	42	40
ko00930	Caprolactam degradation	10	7	3	10	2	8	6	10	11	11	8	6	11	16	9	8	10	10	16	8	7	10	8	7	9	5	8	11	11	9	12	12	9	9	12	11	6	11	9	10	7	9	14
ko00940	Phenylpropanoid biosynthesis	1	1	1	2	0	2	4	1	1	1	1	0	0	3	2	2	1	0	2	1	2	0	1	1	1	1	1	1	2	1	1	2	2	3	2	1	1	2	3	2	1	2	3
ko00941	Flavonoid biosynthesis	0	1	3	3	0	0	1	0	0	0	0	0	0	1	0	0	0	3	1	0	1	3	0	3	3	0	0	0	1	0	0	1	1	0	1	0	0	1	1	1	0	1	1
ko00942	Anthocyanin biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00943	Isoflavonoid biosynthesis	1	1	2	2	0	0	1	1	1	1	1	0	1	1	1	0	1	2	1	1	1	2	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ko00944	Flavone and flavonol biosynthesis	1	1	1	0	1	0	1	1	1	0	1	0	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0
ko00945	Stilbenoid, diarylheptanoid and gingerol biosynthesis	1	2	1	0	1	1	2	1	1	1	1	1	1	2	1	1	1	1	2	1	2	1	1	1	1	0	1	1	2	1	1	2	2	1	2	1	1	2	2	2	1	2	2
ko00950	Isoquinoline alkaloid biosynthesis	7	6	7	7	7	6	6	8	7	6	6	6	7	8	6	6	6	6	7	7	6	7	6	6	8	7	7	7	7	7	6	6	7	7	6	7	7	7	8	7	7	7	7
ko00960	Tropane, piperidine and pyridine alkaloid biosynthesis	10	11	10	11	7	12	10	10	9	11	11	8	9	10	12	14	12	11	9	11	10	11	11	11	9	10	9	12	11	9	11	9	10	11	10	9	10	9	9	10	10	10	9
ko00965	Betalain biosynthesis	0	1	0	1	0	0	4	1	0	3	0	0	0	5	0	0	3	0	1	3	1	0	3	0	0	3	1	1	1	3	0	1	1	0	1	0	0	4	2	1	0	4	2
ko00966	Glucosinolate biosynthesis	2	2	0	2	0	2	1	1	0	2	1	0	2	2	2	1	2	1	2	1	2	2	2	2	2	2	2	1	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2
ko00970	Aminoacyl-tRNA biosynthesis	33	33	30	34	34	30	31	30	31	31	30	20	33	31	29	29	31	27	35	30	34	35	29	34	36	34	33	32	34	35	32	35	34	28	37	34	36	34	30	33	36	30	33
ko00980	Metabolism of xenobiotics by cytochrome P450	4	5	4	6	3	3	4	6	6	4	5	1	7	8	8	4	7	6	7	5	6	8	8	8	7	6	8	7	8	8	8	6	5	8	7	7	7	7	8	6	8	4	7
ko00981	Insect hormone biosynthesis	1	2	1	1	1	1	0	1	1	0	1	1	1	2	1	1	1	1	1	1	0	1	1	1	1	2	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1
ko00982	Drug metabolism - cytochrome P450	2	3	4	5	2	2	3	5	4	4	3	3	6	6	5	2	5	4	6	4	4	6	5	5	5	4	5	5	5	5	5	4	2	6	5	4	4	5	5	5	5	1	5
ko00983	Drug metabolism - other enzymes	16	15	15	12	10	13	13	15	15	12	14	11	14	17	13	14	14	15	14	14	13	11	12	12	14	13	14	15	15	14	13	15	16	12	14	14	14	11	15	16	14	16	14
ko00984	Steroid degradation	8	9	8	8	4	7	10	7	8	10	9	4	9	10	7	8	7	6	8	10	8	7	9	9	8	8	7	8	9	7	7	9	10	8	10	9	7	7	7	9	8	10	10
ko00996	Biosynthesis of various alkaloids	1	0	0	0	0	1	0	0	1	1	1	1	0	1	0	1	0	1	1	1	0	0	0	0	0	0	0	0	1	0	1	1	1	0	1	0	0	0	0	1	0	1	1
ko00997	Biosynthesis of various other secondary metabolites	4	4	6	8	3	3	6	6	3	4	4	2	5	5	6	6	3	5	5	5	6	6	5	4	4	3	2	4	6	3	5	5	6	4	5	6	4	4	5	4	4	3	5
ko00998	Biosynthesis of various antibiotics	20	24	16	23	8	11	18	13	22	11	14	7	19	19	17	13	20	12	12	13	21	24	20	19	17	12	12	21	20	14	23	21	22	21	18	24	21	19	19	19	21	21	14
ko00999	Biosynthesis of various plant secondary metabolites	8	7	5	8	4	6	4	5	6	6	5	5	6	11	7	5	8	5	7	6	5	6	5	5	6	6	7	6	7	8	7	7	7	8	5	8	7	6	6	7	7	6	11
ko01040	Biosynthesis of unsaturated fatty acids	4	3	4	3	1	3	6	2	4	5	6	2	4	3	2	5	4	4	4	3	3	3	3	3	3	4	4	4	5	3	4	6	5	3	5	3	4	3	4	5	3	3	5
ko01051	Biosynthesis of ansamycins	7	6	6	7	2	8	7	7	6	6	7	6	7	8	8	9	7	8	6	6	8	5	9	7	8	6	7	9	7	8	7	7	6	8	6	10	6	9	8	6	7	8	7
ko01052	Type I polyketide structures	6	5	4	4	0	7	13	2	4	1	2	2	6	13	4	6	12	3	2	11	4	1	11	3	2	10	2	6	4	4	6	5	4	10	6	8	4	5	5	5	5	6	5
ko01053	Biosynthesis of siderophore group nonribosomal peptides	7	12	8	10	4	10	6	8	6	8	9	3	12	12	7	8	5	8	3	8	11	11	8	9	8	13	10	12	5	8	11	12	10	6	5	8	8	6	8	10	12	11	10
ko01054	Nonribosomal peptide structures	1	1	1	0	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	0	0	1	1	0	1	0	0	1	1	1	1	1	0	1	1	1	0	1	1
ko01055	Biosynthesis of vancomycin group antibiotics	12	8	4	9	0	6	9	5	7	8	8	5	8	10	4	7	4	8	8	8	8	4	5	5	5	8	6	5	9	6	11	11	7	4	11	6	8	4	5	9	5	10	10
ko01056	Biosynthesis of type II polyketide backbone	4	4	2	1	1	2	4	2	3	2	2	2	4	4	2	2	2	2	1	2	4	2	2	2	2	4	3	4	4	2	4	4	4	1	4	2	4	2	4	4	4	4	4
ko01057	Biosynthesis of type II polyketide products	18	15	16	18	2	17	16	14	17	9	13	8	17	18	17	14	13	10	14	13	15	14	16	14	16	14	13	20	18	16	15	17	16	18	17	24	14	15	16	18	16	13	19
ko01059	Biosynthesis of enediyne antibiotics	14	22	12	22	4	13	20	13	15	12	13	5	22	29	16	8	11	13	14	12	18	14	14	15	19	17	15	20	16	15	18	20	20	16	19	18	22	18	18	22	20	17	18
ko01100	Metabolic pathways	1592	1518	1284	1525	815	1314	1478	1280	1386	1261	1271	982	1556	1855	1378	1346	1384	1353	1444	1310	1499	1476	1341	1479	1444	1476	1326	1571	1629	1462	1691	1647	1595	1488	1446	1526	1447	1379	1457	1626	1543	1583	1685
ko01110	Biosynthesis of secondary metabolites	738	698	556	707	344	572	708	561	623	548	550	435	691	847	581	566	586	579	590	580	728	668	598	625	688	678	576	741	744	680	785	769	737	628	663	722	658	598	644	768	726	735	754
ko01120	Microbial metabolism in diverse environments	524	509	440	545	263	440	486	456	477	443	436	322	496	606	463	491	493	477	524	462	471	485	449	496	460	483	409	512	553	475	564	539	549	538	489	482	482	481	476	567	516	517	598
ko01200	Carbon metabolism	191	180	159	195	107	163	176	156	169	174	171	120	179	219	168	178	167	186	169	160	175	174	160	174	170	170	136	194	197	166	205	190	193	187	175	167	176	174	173	203	184	185	194
ko01210	2-Oxocarboxylic acid metabolism	52	52	25	53	16	40	29	38	25	36	27	21	53	52	38	35	29	36	44	32	53	53	44	37	53	51	53	51	53	52	52	53	53	45	29	52	53	46	51	53	53	51	53
ko01212	Fatty acid metabolism	43	26	14	24	3	24	37	14	36	25	34	15	30	39	10	33	14	31	25	24	29	19	16	21	14	25	16	41	41	14	33	43	42	12	40	20	26	15	26	44	28	39	45
ko01220	Degradation of aromatic compounds	65	61	57	79	27	65	81	72	73	70	55	34	61	95	64	67	84	63	75	72	61	67	73	75	59	71	67	61	76	71	76	67	68	82	73	71	64	74	68	72	73	85	84
ko01230	Biosynthesis of amino acids	186	177	141	184	103	159	148	145	131	139	135	117	192	198	155	152	137	148	172	145	192	185	159	158	186	182	185	195	187	178	188	191	194	165	140	185	181	163	176	192	190	194	194
ko01232	Nucleotide metabolism	62	56	56	47	44	57	51	57	59	46	57	48	49	59	57	58	62	53	55	50	47	45	48	48	46	44	48	55	52	48	45	63	58	57	53	57	45	43	55	60	51	54	54
ko01240	Biosynthesis of cofactors	202	206	150	226	107	201	220	162	167	160	167	130	205	245	161	188	180	173	171	160	202	185	151	190	187	201	183	204	221	188	245	241	219	171	225	178	185	160	181	229	205	218	217
ko01250	Biosynthesis of nucleotide sugars	131	120	94	122	50	70	112	89	99	83	88	62	114	123	102	68	110	94	103	94	119	101	109	109	122	115	86	110	121	116	121	126	109	107	108	121	110	104	112	112	108	119	115
ko01501	beta-Lactam resistance	6	3	3	1	1	4	5	4	4	4	4	3	4	8	3	2	5	3	3	5	4	5	4	4	5	4	3	5	4	4	7	5	5	4	3	5	4	5	4	4	4	4	4
ko01502	Vancomycin resistance	7	7	7	6	6	7	7	7	7	7	7	7	7	7	5	7	7	7	7	7	7	7	7	6	7	7	7	6	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7
ko01503	Cationic antimicrobial peptide (CAMP) resistance	8	7	9	6	8	6	9	9	8	8	6	4	8	10	6	6	7	8	5	8	9	9	9	9	8	8	6	7	8	7	11	8	7	7	10	9	8	7	9	7	7	10	8
ko01521	EGFR tyrosine kinase inhibitor resistance	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko01522	Endocrine resistance	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko01523	Antifolate resistance	2	3	3	2	1	4	4	3	1	2	3	4	4	4	1	3	1	3	4	3	3	4	1	1	4	2	4	1	4	4	4	4	4	1	4	2	4	4	3	4	4	3	4
ko01524	Platinum drug resistance	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko02010	ABC transporters	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	1	0	0	0	0	1	0	1	1	0	0	0	0	1	1	0	0	1	0	1	1	1	1	0	0	0	0
ko02020	Two-component system	21	16	19	23	8	15	22	15	19	21	25	13	20	28	17	17	17	16	17	18	21	19	17	23	18	24	13	17	18	18	27	19	17	21	21	21	19	18	17	16	23	26	17
ko02024	Quorum sensing	16	17	13	13	8	13	13	12	12	10	15	9	17	21	10	14	8	13	11	12	17	14	11	16	13	18	13	17	16	15	18	18	19	11	13	14	16	14	11	19	18	20	19
ko02025	Biofilm formation - Pseudomonas aeruginosa	6	8	5	7	5	5	7	5	5	4	5	2	8	8	5	4	4	5	4	5	8	6	4	7	4	9	5	7	6	5	8	9	8	5	7	5	7	4	5	8	10	8	7
ko02026	Biofilm formation - Escherichia coli	4	4	2	1	2	2	2	2	3	2	3	2	4	3	2	3	2	2	4	2	4	3	4	4	3	2	4	4	3	3	2	4	3	3	1	4	2	3	3	4	2	3	4
ko02030	Bacterial chemotaxis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko02040	Flagellar assembly	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko02060	Phosphotransferase system (PTS)	23	13	1	1	10	1	1	2	3	1	1	1	21	3	2	1	1	1	50	1	11	13	12	2	1	1	14	26	13	2	1	14	21	9	1	2	10	6	15	22	10	3	55
ko03008	Ribosome biogenesis in eukaryotes	1	1	0	1	1	1	1	0	0	0	1	0	0	1	0	0	0	0	1	1	1	0	0	1	0	0	1	0	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1
ko03010	Ribosome	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko03013	Nucleocytoplasmic transport	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko03015	mRNA surveillance pathway	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko03018	RNA degradation	3	3	3	2	3	1	3	2	2	2	2	3	3	3	2	2	3	2	3	3	3	2	3	3	2	3	2	3	3	2	3	3	3	3	3	2	2	3	3	3	3	3	3
ko03020	RNA polymerase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko03022	Basal transcription factors	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko03030	DNA replication	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2
ko03040	Spliceosome	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko03050	Proteasome	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko03060	Protein export	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko03070	Bacterial secretion system	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko03230	Viral genome structure	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko03240	Viral replication	0	0	0	1	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	1	1	1	1	0	1	1	1	0	1	1	1	0	0	0	0	0	0	0	0	1	0	0	1
ko03250	Viral life cycle - HIV-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko03320	PPAR signaling pathway	9	5	4	4	3	4	7	4	7	5	8	2	5	7	4	6	3	6	4	5	5	5	4	4	4	5	3	9	7	5	6	9	9	4	7	3	6	3	3	9	6	7	9
ko03410	Base excision repair	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ko03420	Nucleotide excision repair	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ko03430	Mismatch repair	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ko03440	Homologous recombination	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko03450	Non-homologous end-joining	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko03460	Fanconi anemia pathway	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04010	MAPK signaling pathway	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04011	MAPK signaling pathway - yeast	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0
ko04012	ErbB signaling pathway	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04013	MAPK signaling pathway - fly	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04014	Ras signaling pathway	1	0	1	0	0	0	1	0	0	0	0	0	1	0	1	0	1	1	1	1	0	0	1	0	0	1	0	1	0	0	1	1	1	0	0	1	0	0	1	1	1	1	0
ko04015	Rap1 signaling pathway	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04016	MAPK signaling pathway - plant	1	1	1	2	0	1	2	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	3	1	1	1	2	1	1	1	2	1	1	1	1
ko04020	Calcium signaling pathway	0	0	1	0	0	0	1	1	1	1	1	1	1	1	0	1	0	1	0	1	0	0	1	0	1	1	0	0	1	1	2	0	1	0	0	1	0	0	1	1	1	1	1
ko04022	cGMP-PKG signaling pathway	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ko04024	cAMP signaling pathway	2	0	1	0	0	0	2	0	1	1	1	0	1	0	1	1	1	2	1	1	0	0	1	0	0	1	0	2	1	0	1	2	2	0	1	1	0	0	1	2	1	1	1
ko04060	Cytokine-cytokine receptor interaction	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04061	Viral protein interaction with cytokine and cytokine receptor	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04062	Chemokine signaling pathway	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04064	NF-kappa B signaling pathway	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04066	HIF-1 signaling pathway	6	6	8	3	5	5	7	5	6	6	6	7	7	7	5	7	9	6	7	8	5	6	8	5	5	8	5	7	7	7	9	8	7	7	8	5	5	7	7	7	6	6	7
ko04068	FoxO signaling pathway	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	1	0	0	1	0	0	0	2	3	0	0	0	0	0	1	0	2	0	1	0	1
ko04070	Phosphatidylinositol signaling system	1	3	3	4	4	2	5	3	2	2	5	2	2	5	2	3	2	6	2	6	3	3	6	3	2	3	5	2	2	2	5	2	1	1	2	4	2	1	2	2	1	2	2
ko04071	Sphingolipid signaling pathway	2	1	4	1	0	1	3	2	1	1	2	3	5	2	1	3	1	4	3	3	0	0	2	1	3	2	1	3	2	2	3	3	3	1	1	2	1	1	2	3	3	2	2
ko04072	Phospholipase D signaling pathway	2	2	4	0	1	0	4	3	2	3	3	2	4	3	3	3	3	4	2	4	2	1	3	2	2	4	1	3	3	3	2	3	3	2	2	3	0	0	4	3	3	4	2
ko04075	Plant hormone signal transduction	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04080	Neuroactive ligand-receptor interaction	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04110	Cell cycle	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04111	Cell cycle - yeast	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04112	Cell cycle - Caulobacter	2	3	2	1	3	3	2	2	2	2	2	3	3	2	2	2	2	2	2	2	3	2	2	2	3	3	3	2	3	2	2	3	3	2	2	3	3	2	3	3	3	2	3
ko04113	Meiosis - yeast	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0
ko04114	Oocyte meiosis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04115	p53 signaling pathway	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04120	Ubiquitin mediated proteolysis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04122	Sulfur relay system	11	10	11	14	8	11	9	14	9	8	10	10	13	9	8	9	10	9	11	10	10	8	9	10	10	10	7	12	9	10	11	9	10	11	10	10	8	8	6	12	9	9	12
ko04130	SNARE interactions in vesicular transport	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04136	Autophagy - other	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04137	Mitophagy - animal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04138	Autophagy - yeast	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04139	Mitophagy - yeast	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04140	Autophagy - animal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
