ko	pathway	ERR1995231_bin.1	ERR1995231_bin.10	ERR1995231_bin.11	ERR1995231_bin.12	ERR1995231_bin.13	ERR1995231_bin.14	ERR1995231_bin.15	ERR1995231_bin.16	ERR1995231_bin.17	ERR1995231_bin.18	ERR1995231_bin.19	ERR1995231_bin.2	ERR1995231_bin.20	ERR1995231_bin.21	ERR1995231_bin.22	ERR1995231_bin.23	ERR1995231_bin.24	ERR1995231_bin.25	ERR1995231_bin.26	ERR1995231_bin.27	ERR1995231_bin.28	ERR1995231_bin.29	ERR1995231_bin.3	ERR1995231_bin.30	ERR1995231_bin.31	ERR1995231_bin.32	ERR1995231_bin.33	ERR1995231_bin.4	ERR1995231_bin.5	ERR1995231_bin.6	ERR1995231_bin.7	ERR1995231_bin.8	ERR1995231_bin.9
ko00983	Drug metabolism - other enzymes	14	13	15	11	16	17	17	13	14	15	15	15	15	16	21	13	13	15	14	14	16	14	16	14	15	17	15	14	13	14	15	18	14
ko00984	Steroid degradation	10	8	9	9	9	10	10	10	9	10	8	10	9	9	11	10	6	8	8	8	9	8	10	8	9	9	9	11	6	8	9	8	9
ko00996	Biosynthesis of various alkaloids	0	0	1	1	1	1	1	0	0	1	0	1	0	0	1	1	0	0	0	0	1	0	0	1	1	1	0	0	1	0	1	0	1
ko00997	Biosynthesis of various other secondary metabolites	6	5	6	4	4	5	5	7	5	6	5	4	5	5	15	4	4	4	4	5	4	4	5	6	5	6	5	6	6	6	5	5	5
ko00998	Biosynthesis of various antibiotics	14	18	20	16	22	20	19	21	19	24	21	19	21	21	25	18	23	21	19	21	19	18	22	13	20	21	20	17	20	17	21	20	24
ko00999	Biosynthesis of various plant secondary metabolites	6	7	5	7	7	11	11	6	7	7	7	7	8	7	8	5	6	5	6	5	7	7	7	7	6	7	7	6	6	7	7	6	7
ko01040	Biosynthesis of unsaturated fatty acids	3	3	5	5	5	3	3	3	2	6	4	6	3	4	6	4	3	3	3	3	6	4	4	4	6	5	4	3	3	3	6	4	6
ko01051	Biosynthesis of ansamycins	9	7	6	7	9	8	10	9	6	8	6	7	8	8	9	5	5	9	8	8	5	6	9	6	8	8	8	10	8	9	6	7	8
ko01052	Type I polyketide structures	13	5	3	5	6	5	14	13	4	7	4	5	5	6	14	3	1	6	6	4	2	13	14	13	5	5	4	7	6	7	5	13	5
ko01053	Biosynthesis of siderophore group nonribosomal peptides	7	13	12	11	7	12	10	7	9	10	11	12	12	13	15	4	11	12	12	10	9	10	11	8	9	12	11	8	12	3	5	9	8
ko01054	Nonribosomal peptide structures	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
ko01055	Biosynthesis of vancomycin group antibiotics	7	6	10	7	10	11	11	9	8	9	5	8	8	8	13	7	4	6	5	8	10	4	6	11	10	10	7	6	6	6	10	5	9
ko01056	Biosynthesis of type II polyketide backbone	4	4	4	4	4	4	4	4	4	4	4	4	4	4	5	4	2	4	4	4	2	4	4	4	4	4	4	4	4	4	4	4	4
ko01057	Biosynthesis of type II polyketide products	15	16	18	19	18	17	18	15	18	18	17	16	16	16	23	16	14	17	16	14	16	19	17	18	19	20	13	15	16	17	19	17	18
ko01059	Biosynthesis of enediyne antibiotics	22	22	22	25	17	26	23	25	21	23	22	23	19	18	23	20	15	19	19	18	16	23	22	19	19	19	18	25	19	16	20	20	18
ko01100	Metabolic pathways	1583	1516	1712	1487	1654	1802	1806	1644	1719	1621	1569	1628	1656	1546	2232	1563	1471	1575	1506	1553	1650	1653	1729	1609	1644	1739	1513	1600	1471	1507	1601	1626	1620
ko01110	Biosynthesis of secondary metabolites	731	730	733	671	739	836	836	796	767	768	674	748	755	696	935	664	671	732	714	701	708	731	787	707	736	799	675	765	719	667	705	724	716
ko01120	Microbial metabolism in diverse environments	518	493	616	504	567	585	576	534	594	536	535	542	567	501	877	550	475	522	488	500	560	567	610	583	534	587	502	518	474	540	540	536	519
ko01200	Carbon metabolism	178	178	204	191	205	224	223	189	203	200	194	201	208	178	264	192	171	184	183	187	197	200	199	195	190	205	179	184	179	183	189	193	182
ko01210	2-Oxocarboxylic acid metabolism	50	53	52	46	53	52	52	50	52	53	53	53	53	53	52	51	52	53	53	52	53	53	53	52	52	53	53	47	53	41	53	53	53
ko01212	Fatty acid metabolism	32	28	43	42	44	40	39	35	29	45	28	44	32	31	44	39	19	29	28	29	33	28	31	33	40	43	29	33	28	28	41	26	41
ko01220	Degradation of aromatic compounds	87	61	89	68	80	81	82	86	81	66	67	71	81	60	157	78	64	61	66	68	68	77	85	85	75	75	67	82	64	67	70	67	71
ko01230	Biosynthesis of amino acids	184	189	199	172	195	199	199	188	197	194	190	195	193	194	206	171	185	191	188	194	196	191	197	183	192	197	194	183	192	176	189	193	186
ko01232	Nucleotide metabolism	55	49	61	45	63	58	58	53	56	49	60	49	58	51	76	54	46	59	50	47	60	60	63	54	62	66	46	55	49	56	58	62	47
ko01240	Biosynthesis of cofactors	206	199	231	181	209	242	255	218	230	211	217	210	215	184	266	199	186	223	209	210	229	231	231	217	206	235	183	216	196	195	211	218	210
ko01250	Biosynthesis of nucleotide sugars	109	110	109	100	105	129	128	125	120	119	102	103	124	119	125	105	109	111	99	125	113	109	123	101	124	128	112	112	113	109	115	114	125
ko01501	beta-Lactam resistance	2	4	2	4	3	8	8	7	3	4	3	4	4	4	4	3	5	4	4	4	5	5	4	7	4	4	5	3	5	6	4	4	4
ko01502	Vancomycin resistance	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7
ko01503	Cationic antimicrobial peptide (CAMP) resistance	10	10	9	7	8	9	10	10	10	9	8	8	7	8	12	7	9	7	7	8	8	8	7	9	8	9	9	11	9	6	8	7	7
ko01521	EGFR tyrosine kinase inhibitor resistance	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko01522	Endocrine resistance	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko01523	Antifolate resistance	4	2	3	2	2	4	4	4	3	2	4	4	3	3	4	3	4	3	4	4	3	4	4	4	4	4	3	4	2	4	4	3	4
ko01524	Platinum drug resistance	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0
ko02010	ABC transporters	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	1	0	1	0	0	1	0	0	0	0	1
ko02020	Two-component system	22	21	17	19	15	29	28	26	25	18	17	19	20	19	44	26	20	19	19	21	21	20	23	26	19	19	20	24	16	22	15	19	18
ko02024	Quorum sensing	12	17	20	16	17	19	21	15	18	19	16	18	19	15	27	14	14	18	17	17	17	16	18	16	16	20	15	15	13	12	16	16	17
ko02025	Biofilm formation - Pseudomonas aeruginosa	5	8	8	8	7	8	8	7	8	8	6	8	9	6	9	5	6	8	10	8	5	6	9	8	7	8	6	7	6	6	7	7	7
ko02026	Biofilm formation - Escherichia coli	2	3	4	3	4	2	2	2	4	3	4	4	4	3	5	3	3	3	3	4	4	4	3	1	4	3	3	2	3	4	3	4	4
ko02030	Bacterial chemotaxis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko02040	Flagellar assembly	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko02060	Phosphotransferase system (PTS)	1	14	11	54	22	3	1	10	48	10	49	29	12	11	59	2	13	11	21	8	22	22	10	14	15	13	11	10	10	53	11	21	29
ko03008	Ribosome biogenesis in eukaryotes	1	0	1	1	0	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1
ko03010	Ribosome	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko03013	Nucleocytoplasmic transport	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko03015	mRNA surveillance pathway	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko03018	RNA degradation	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	2	3	3	3	3	3	3	2	3	3	3	3	3	3	3	3	3
ko03020	RNA polymerase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko03022	Basal transcription factors	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko03030	DNA replication	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
ko03040	Spliceosome	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko03050	Proteasome	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko03060	Protein export	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko03070	Bacterial secretion system	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko03230	Viral genome structure	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko03240	Viral replication	0	0	0	1	1	1	1	1	0	0	1	0	0	0	0	1	1	1	0	0	1	1	1	0	1	1	0	0	0	0	1	1	0
ko03250	Viral life cycle - HIV-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko03320	PPAR signaling pathway	7	5	8	9	9	7	7	8	5	9	4	9	5	4	8	7	6	5	6	5	6	4	5	5	7	8	4	7	3	2	7	3	7
ko03410	Base excision repair	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ko03420	Nucleotide excision repair	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ko03430	Mismatch repair	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ko03440	Homologous recombination	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko03450	Non-homologous end-joining	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko03460	Fanconi anemia pathway	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04010	MAPK signaling pathway	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04011	MAPK signaling pathway - yeast	1	0	0	0	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ko04012	ErbB signaling pathway	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04013	MAPK signaling pathway - fly	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04014	Ras signaling pathway	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	0	0	1	1	1	1	1	0	0	1	1	1	1	0	0	1	1	1
ko04015	Rap1 signaling pathway	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04016	MAPK signaling pathway - plant	2	1	1	1	1	3	3	2	1	1	1	1	1	1	3	1	1	1	1	1	1	1	1	2	2	1	1	1	1	2	1	1	1
ko04020	Calcium signaling pathway	1	0	0	1	1	1	1	1	1	1	1	1	0	1	2	0	0	0	0	0	1	1	0	0	1	1	1	1	0	1	1	0	1
ko04022	cGMP-PKG signaling pathway	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04024	cAMP signaling pathway	1	1	2	2	2	1	1	1	1	2	0	2	1	1	0	1	0	1	1	1	2	1	0	0	2	2	1	1	0	0	2	1	2
ko04060	Cytokine-cytokine receptor interaction	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04061	Viral protein interaction with cytokine and cytokine receptor	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04062	Chemokine signaling pathway	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04064	NF-kappa B signaling pathway	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04066	HIF-1 signaling pathway	7	6	8	7	7	9	8	7	7	8	8	8	8	7	10	5	6	7	6	6	8	7	7	6	7	7	6	7	8	7	6	7	6
ko04068	FoxO signaling pathway	2	0	0	0	0	1	1	2	0	0	0	0	0	0	1	0	1	0	1	0	0	0	1	0	2	0	0	0	0	0	0	1	0
ko04070	Phosphatidylinositol signaling system	5	1	2	3	2	4	5	5	2	3	2	3	3	2	6	1	3	3	2	2	6	2	6	5	3	2	3	5	2	2	6	2	2
ko04071	Sphingolipid signaling pathway	2	4	2	3	3	3	3	3	4	3	2	4	2	5	1	1	0	2	2	1	3	3	2	1	3	4	5	2	0	1	3	2	5
ko04072	Phospholipase D signaling pathway	4	2	3	4	4	3	4	4	4	4	3	4	3	3	2	0	1	3	3	2	4	4	2	1	4	4	4	4	1	3	4	3	4
ko04075	Plant hormone signal transduction	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04080	Neuroactive ligand-receptor interaction	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04110	Cell cycle	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04111	Cell cycle - yeast	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04112	Cell cycle - Caulobacter	2	3	3	3	3	2	2	2	3	3	3	3	3	3	3	2	2	3	3	3	3	3	3	2	3	3	3	2	2	3	3	3	3
ko04113	Meiosis - yeast	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04114	Oocyte meiosis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04115	p53 signaling pathway	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04120	Ubiquitin mediated proteolysis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04122	Sulfur relay system	10	9	12	8	12	12	12	9	10	9	11	8	10	8	16	9	8	9	8	10	11	12	12	15	9	12	8	9	9	14	11	11	8
ko04130	SNARE interactions in vesicular transport	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04136	Autophagy - other	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04137	Mitophagy - animal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04138	Autophagy - yeast	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04139	Mitophagy - yeast	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04140	Autophagy - animal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04141	Protein processing in endoplasmic reticulum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04142	Lysosome	13	7	3	3	7	13	13	9	7	2	5	3	1	4	7	1	10	1	3	1	4	8	3	3	9	4	2	9	3	1	6	4	8
ko04144	Endocytosis	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	0	0	1	1	1	1	1	0	0	1	1	1	1	0	0	1	1	1
ko04145	Phagosome	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04146	Peroxisome	9	7	17	9	13	8	10	9	11	10	10	11	11	7	18	12	10	8	9	8	11	9	9	8	11	14	7	8	7	8	9	9	10
ko04150	mTOR signaling pathway	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04151	PI3K-Akt signaling pathway	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04152	AMPK signaling pathway	2	1	2	2	2	2	1	2	1	2	2	2	2	2	3	1	2	1	2	1	2	1	1	1	1	1	1	1	2	1	2	1	1
ko04210	Apoptosis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04211	Longevity regulating pathway	1	0	0	0	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ko04212	Longevity regulating pathway - worm	1	0	0	0	0	1	2	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	1	0
ko04213	Longevity regulating pathway - multiple species	1	0	0	0	0	1	1	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ko04214	Apoptosis - fly	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04215	Apoptosis - multiple species	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04216	Ferroptosis	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	1	2	2	2	2	1	1	1	1
ko04217	Necroptosis	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	1	3	3	3	3	3	3	3	3	3
ko04218	Cellular senescence	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04260	Cardiac muscle contraction	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04261	Adrenergic signaling in cardiomyocytes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04270	Vascular smooth muscle contraction	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04310	Wnt signaling pathway	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04320	Dorso-ventral axis formation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04330	Notch signaling pathway	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04340	Hedgehog signaling pathway	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04341	Hedgehog signaling pathway - fly	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04350	TGF-beta signaling pathway	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04360	Axon guidance	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04361	Axon regeneration	1	1	2	2	2	0	1	1	2	1	1	1	1	0	1	1	1	1	1	0	1	1	1	0	2	1	1	1	1	1	1	1	1
ko04370	VEGF signaling pathway	1	0	0	1	1	1	1	1	1	1	1	1	0	1	1	0	0	0	0	0	1	1	0	0	1	1	1	1	0	1	1	0	1
ko04371	Apelin signaling pathway	1	0	0	1	1	1	1	1	1	1	1	1	0	1	2	0	0	0	0	0	1	1	0	0	1	1	1	1	0	1	1	0	1
ko04380	Osteoclast differentiation	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ko04390	Hippo signaling pathway	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04391	Hippo signaling pathway - fly	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04392	Hippo signaling pathway - multiple species	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04510	Focal adhesion	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04512	ECM-receptor interaction	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04514	Cell adhesion molecules	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04520	Adherens junction	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04530	Tight junction	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04540	Gap junction	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04550	Signaling pathways regulating pluripotency of stem cells	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04610	Complement and coagulation cascades	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04611	Platelet activation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04612	Antigen processing and presentation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04613	Neutrophil extracellular trap formation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04614	Renin-angiotensin system	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04620	Toll-like receptor signaling pathway	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04621	NOD-like receptor signaling pathway	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04622	RIG-I-like receptor signaling pathway	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ko04623	Cytosolic DNA-sensing pathway	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04624	Toll and Imd signaling pathway	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04625	C-type lectin receptor signaling pathway	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04626	Plant-pathogen interaction	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1
ko04630	JAK-STAT signaling pathway	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04640	Hematopoietic cell lineage	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04650	Natural killer cell mediated cytotoxicity	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04657	IL-17 signaling pathway	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04658	Th1 and Th2 cell differentiation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04659	Th17 cell differentiation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04660	T cell receptor signaling pathway	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04662	B cell receptor signaling pathway	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04664	Fc epsilon RI signaling pathway	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04666	Fc gamma R-mediated phagocytosis	2	1	1	2	2	2	2	2	2	2	1	2	1	2	0	0	0	1	1	1	2	2	0	0	2	2	2	2	0	1	2	1	2
ko04668	TNF signaling pathway	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
